stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
9626.HK,254.60000610351562,130,271.0,2131.9992065429688,2022-02-04 18:34:35.696988,2022-02-09 18:34:35.696988
9626.HK,271.0,125,283.20001220703125,1525.0015258789062,2022-02-09 18:34:35.696988,2022-02-10 18:34:35.696988
2269.HK,58.29999923706055,592,61.650001525878906,1983.2013549804688,2022-02-10 18:34:35.696988,2022-02-15 18:34:35.696988
2269.HK,61.650001525878906,571,64.80000305175781,1798.6508712768555,2022-02-15 18:34:35.696988,2022-02-17 18:34:35.696988
3690.HK,219.39999389648438,160,188.0,-5023.9990234375,2022-02-16 18:34:35.696988,2022-02-18 18:34:35.696988
2382.HK,193.64749145507812,186,182.65829467773438,-2043.9906005859375,2022-02-17 18:34:35.696988,2022-02-22 18:34:35.696988
3690.HK,180.5,184,171.3000030517578,-1692.7994384765625,2022-02-21 18:34:35.696988,2022-02-22 18:34:35.696988
0388.HK,424.26171875,78,407.65081787109375,-1295.6502685546875,2022-02-18 18:34:35.696988,2022-02-23 18:34:35.696988
3690.HK,171.3000030517578,191,172.1999969482422,171.89883422851562,2022-02-22 18:34:35.696988,2022-02-28 18:34:35.696988
9626.HK,238.8000030517578,135,250.1999969482422,1538.9991760253906,2022-02-25 18:34:35.696988,2022-03-01 18:34:35.696988
0388.HK,368.95721435546875,88,347.6561584472656,-1874.492919921875,2022-02-28 18:34:35.696988,2022-03-04 18:34:35.696988
0388.HK,347.6561584472656,93,332.21783447265625,-1435.7641296386719,2022-03-04 18:34:35.696988,2022-03-07 18:34:35.696988
9626.HK,171.3000030517578,186,185.1999969482422,2585.3988647460938,2022-03-08 18:34:35.696988,2022-03-10 18:34:35.696988
9626.HK,185.1999969482422,179,166.1999969482422,-3401.0,2022-03-10 18:34:35.696988,2022-03-11 18:34:35.696988
0388.HK,332.21783447265625,96,329.8189392089844,-230.2939453125,2022-03-07 18:34:35.696988,2022-03-14 18:34:35.696988
9626.HK,166.1999969482422,189,127.5999984741211,-7295.399711608887,2022-03-11 18:34:35.696988,2022-03-15 18:34:35.696988
9618.HK,158.13064575195312,184,214.48727416992188,10369.61962890625,2022-03-15 18:34:35.696988,2022-03-16 18:34:35.696988
0700.HK,365.28204345703125,89,388.17437744140625,2037.417724609375,2022-03-16 18:34:35.696988,2022-03-17 18:34:35.696988
9626.HK,208.39999389648438,159,190.10000610351562,-2909.6980590820312,2022-03-17 18:34:35.696988,2022-03-18 18:34:35.696988
2382.HK,136.22645568847656,237,143.15658569335938,1642.4408111572266,2022-03-21 18:34:35.696988,2022-03-22 18:34:35.696988
2382.HK,143.15658569335938,229,128.10830688476562,-3446.0558471679688,2022-03-22 18:34:35.696988,2022-03-24 18:34:35.696988
