stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
9626.HK,232.60000610351562,214,242.39999389648438,2097.1973876953125,2022-01-31 15:44:19.402792,2022-02-01 15:44:19.402792
9626.HK,242.39999389648438,214,254.60000610351562,2610.8026123046875,2022-02-02 15:44:19.402792,2022-02-04 15:44:19.402792
9626.HK,254.60000610351562,214,249.8000030517578,-1027.2006530761719,2022-02-05 15:44:19.402792,2022-02-08 15:44:19.402792
0388.HK,431.4923095703125,124,434.22821044921875,339.251708984375,2022-02-09 15:44:19.402792,2022-02-12 15:44:19.402792
2269.HK,56.70000076293945,952,61.650001525878906,4712.400726318359,2022-02-13 15:44:19.402792,2022-02-15 15:44:19.402792
2269.HK,61.650001525878906,952,64.80000305175781,2998.8014526367188,2022-02-16 15:44:19.402792,2022-02-17 15:44:19.402792
3690.HK,220.8000030517578,279,188.0,-9151.20085144043,2022-02-18 15:44:19.402792,2022-02-19 15:44:19.402792
0388.HK,424.26171875,123,408.6278991699219,-1922.9598083496094,2022-02-20 15:44:19.402792,2022-02-22 15:44:19.402792
3690.HK,171.3000030517578,295,170.1999969482422,-324.5018005371094,2022-02-23 15:44:19.402792,2022-02-26 15:44:19.402792
0388.HK,381.0733642578125,132,368.95721435546875,-1599.331787109375,2022-02-27 15:44:19.402792,2022-02-28 15:44:19.402792
0388.HK,368.95721435546875,132,355.4730529785156,-1779.9093017578125,2022-03-01 15:44:19.402792,2022-03-02 15:44:19.402792
0388.HK,355.4730529785156,132,347.6561584472656,-1031.830078125,2022-03-03 15:44:19.402792,2022-03-06 15:44:19.402792
0388.HK,347.6561584472656,132,332.6086730957031,-1986.26806640625,2022-03-07 15:44:19.402792,2022-03-08 15:44:19.402792
9626.HK,171.3000030517578,256,185.1999969482422,3558.3984375,2022-03-09 15:44:19.402792,2022-03-10 15:44:19.402792
9626.HK,185.1999969482422,256,166.1999969482422,-4864.0,2022-03-11 15:44:19.402792,2022-03-12 15:44:19.402792
9626.HK,166.1999969482422,256,127.5999984741211,-9881.599609375,2022-03-13 15:44:19.402792,2022-03-15 15:44:19.402792
9618.HK,158.13064575195312,207,248.47705078125,18701.705841064453,2022-03-16 15:44:19.402792,2022-03-17 15:44:19.402792
9961.HK,179.0,287,172.5,-1865.5,2022-03-18 15:44:19.402792,2022-03-21 15:44:19.402792
2382.HK,136.22645568847656,363,128.10830688476562,-2946.8880157470703,2022-03-22 15:44:19.402792,2022-03-24 15:44:19.402792
1044.HK,33.650211334228516,1385,34.79737854003906,1588.8265800476074,2022-03-25 15:44:19.402792,2022-03-28 15:44:19.402792
2382.HK,123.65322875976562,390,123.25721740722656,-154.44442749023438,2022-03-29 15:44:19.402792,2022-04-01 15:44:19.402792
0316.HK,191.19873046875,251,184.58163452148438,-1660.8910827636719,2022-04-02 15:44:19.402792,2022-04-04 15:44:19.402792
9888.HK,145.6999969482422,318,137.5,-2607.5990295410156,2022-04-05 15:44:19.402792,2022-04-07 15:44:19.402792
0316.HK,166.297607421875,263,171.3474884033203,1328.1186981201172,2022-04-08 15:44:19.402792,2022-04-09 15:44:19.402792
0316.HK,171.34750366210938,263,166.12347412109375,-1373.9197692871094,2022-04-10 15:44:19.402792,2022-04-11 15:44:19.402792
0316.HK,166.12347412109375,263,176.39736938476562,2702.034454345703,2022-04-12 15:44:19.402792,2022-04-14 15:44:19.402792
0388.HK,338.12872314453125,137,338.12872314453125,0.0,2022-04-15 15:44:19.402792,2022-04-18 15:44:19.402792
0388.HK,338.12872314453125,137,322.6962890625,-2114.2434692382812,2022-04-19 15:44:19.402792,2022-04-20 15:44:19.402792
9626.HK,182.1999969482422,243,169.89999389648438,-2988.9007415771484,2022-04-21 15:44:19.402792,2022-04-22 15:44:19.402792
9626.HK,169.89999389648438,243,159.8000030517578,-2454.2977752685547,2022-04-23 15:44:19.402792,2022-04-25 15:44:19.402792
9626.HK,159.8000030517578,243,169.6999969482422,2405.698516845703,2022-04-26 15:44:19.402792,2022-04-27 15:44:19.402792
9626.HK,169.6999969482422,243,203.60000610351562,8237.702224731445,2022-04-28 15:44:19.402792,2022-04-29 15:44:19.402792
0700.HK,375.6333312988281,131,378.22119140625,339.0096740722656,2022-04-30 15:44:19.402792,2022-05-03 15:44:19.402792
0011.HK,138.9058074951172,359,137.82371520996094,-388.47113037109375,2022-05-04 15:44:19.402792,2022-05-07 15:44:19.402792
9626.HK,163.3000030517578,303,155.3000030517578,-2424.0,2022-05-08 15:44:19.402792,2022-05-10 15:44:19.402792
9626.HK,155.3000030517578,303,147.6999969482422,-2302.8018493652344,2022-05-11 15:44:19.402792,2022-05-12 15:44:19.402792
9866.HK,100.9000015258789,443,106.5999984741211,2525.098648071289,2022-05-13 15:44:19.402792,2022-05-14 15:44:19.402792
9618.HK,194.9529266357422,242,209.7990264892578,3592.7561645507812,2022-05-15 15:44:19.402792,2022-05-17 15:44:19.402792
9618.HK,209.7990264892578,242,199.8000030517578,-2419.763671875,2022-05-18 15:44:19.402792,2022-05-19 15:44:19.402792
0011.HK,134.6613311767578,359,136.24325561523438,567.9108734130859,2022-05-20 15:44:19.402792,2022-05-23 15:44:19.402792
0700.HK,346.79998779296875,141,334.0,-1804.7982788085938,2022-05-24 15:44:19.402792,2022-05-25 15:44:19.402792
0700.HK,334.0,141,341.79998779296875,1099.7982788085938,2022-05-26 15:44:19.402792,2022-05-29 15:44:19.402792
9626.HK,158.5,304,179.8000030517578,6475.200927734375,2022-05-30 15:44:19.402792,2022-05-31 15:44:19.402792
6098.HK,30.747900009155273,1782,29.600000381469727,-2045.5571365356445,2022-06-01 15:44:19.402792,2022-06-02 15:44:19.402792
6060.HK,25.049999237060547,2106,26.0,2000.7016067504883,2022-06-03 15:44:19.402792,2022-06-06 15:44:19.402792
6060.HK,26.0,2106,28.100000381469727,4422.600803375244,2022-06-07 15:44:19.402792,2022-06-08 15:44:19.402792
0960.HK,33.726470947265625,1754,31.418371200561523,-4048.406955718994,2022-06-09 15:44:19.402792,2022-06-10 15:44:19.402792
0316.HK,213.93125915527344,257,213.0224609375,-233.56114196777344,2022-06-11 15:44:19.402792,2022-06-14 15:44:19.402792
0316.HK,213.0224609375,257,208.8419952392578,-1074.3796844482422,2022-06-15 15:44:19.402792,2022-06-18 15:44:19.402792
0316.HK,208.8419952392578,257,217.0211944580078,2102.05419921875,2022-06-19 15:44:19.402792,2022-06-21 15:44:19.402792
9999.HK,142.5127716064453,392,147.1067352294922,1800.833740234375,2022-06-22 15:44:19.402792,2022-06-24 15:44:19.402792
0316.HK,197.20936584472656,292,202.6621551513672,1592.2144775390625,2022-06-25 15:44:19.402792,2022-06-28 15:44:19.402792
0316.HK,202.6621551513672,292,189.03018188476562,-3980.5361938476562,2022-06-29 15:44:19.402792,2022-06-30 15:44:19.402792
0700.HK,354.3999938964844,156,347.0,-1154.3990478515625,2022-07-01 15:44:19.402792,2022-07-04 15:44:19.402792
0700.HK,347.0,156,352.6000061035156,873.6009521484375,2022-07-05 15:44:19.402792,2022-07-08 15:44:19.402792
0700.HK,352.6000061035156,156,337.79998779296875,-2308.8028564453125,2022-07-09 15:44:19.402792,2022-07-12 15:44:19.402792
9618.HK,230.8000030517578,228,244.0,3009.5993041992188,2022-07-13 15:44:19.402792,2022-07-14 15:44:19.402792
1211.HK,283.0,197,294.20001220703125,2206.4024047851562,2022-07-15 15:44:19.402792,2022-07-16 15:44:19.402792
1211.HK,294.20001220703125,197,288.0,-1221.4024047851562,2022-07-17 15:44:19.402792,2022-07-20 15:44:19.402792
0388.HK,356.13323974609375,159,347.823486328125,-1321.2507934570312,2022-07-21 15:44:19.402792,2022-07-24 15:44:19.402792
1211.HK,285.3999938964844,194,289.20001220703125,737.2035522460938,2022-07-25 15:44:19.402792,2022-07-28 15:44:19.402792
0700.HK,320.79998779296875,175,306.79998779296875,-2450.0,2022-07-29 15:44:19.402792,2022-07-30 15:44:19.402792
