Date,Stock,Gain,Total
2022-01-30 15:44:19.402792,,,50000
2022-01-31 15:44:19.402792,9626.HK,2097.1973876953125,52097.19738769531
2022-02-01 15:44:19.402792,,,52097.19738769531
2022-02-02 15:44:19.402792,9626.HK,2610.8026123046875,54708.0
2022-02-03 15:44:19.402792,,,54708.0
2022-02-04 15:44:19.402792,,,54708.0
2022-02-05 15:44:19.402792,9626.HK,3509.598693847656,58217.598693847656
2022-02-06 15:44:19.402792,,,58217.598693847656
2022-02-07 15:44:19.402792,,,58217.598693847656
2022-02-08 15:44:19.402792,,,58217.598693847656
2022-02-09 15:44:19.402792,,,58217.598693847656
2022-02-10 15:44:19.402792,2269.HK,-4630.49783706665,53587.100856781006
2022-02-11 15:44:19.402792,,,53587.100856781006
2022-02-12 15:44:19.402792,2269.HK,4677.750720977783,58264.85157775879
2022-02-13 15:44:19.402792,,,58264.85157775879
2022-02-14 15:44:19.402792,,,58264.85157775879
2022-02-15 15:44:19.402792,,,58264.85157775879
2022-02-16 15:44:19.402792,2269.HK,2976.7514419555664,61241.603019714355
2022-02-17 15:44:19.402792,,,61241.603019714355
2022-02-18 15:44:19.402792,3690.HK,-9085.600845336914,52156.00217437744
2022-02-19 15:44:19.402792,,,52156.00217437744
2022-02-20 15:44:19.402792,,,52156.00217437744
2022-02-21 15:44:19.402792,,,52156.00217437744
2022-02-22 15:44:19.402792,3690.HK,-2966.40087890625,49189.60129547119
2022-02-23 15:44:19.402792,,,49189.60129547119
2022-02-24 15:44:19.402792,,,49189.60129547119
2022-02-25 15:44:19.402792,3690.HK,1791.7991180419922,50981.40041351318
2022-02-26 15:44:19.402792,,,50981.40041351318
2022-02-27 15:44:19.402792,,,50981.40041351318
2022-02-28 15:44:19.402792,,,50981.40041351318
2022-03-01 15:44:19.402792,,,50981.40041351318
2022-03-02 15:44:19.402792,,,50981.40041351318
2022-03-03 15:44:19.402792,0388.HK,-3325.4962463378906,47655.90416717529
2022-03-04 15:44:19.402792,,,47655.90416717529
2022-03-05 15:44:19.402792,,,47655.90416717529
2022-03-06 15:44:19.402792,,,47655.90416717529
2022-03-07 15:44:19.402792,,,47655.90416717529
2022-03-08 15:44:19.402792,0388.HK,1524.2845153808594,49180.18868255615
2022-03-09 15:44:19.402792,,,49180.18868255615
2022-03-10 15:44:19.402792,,,49180.18868255615
2022-03-11 15:44:19.402792,,,49180.18868255615
2022-03-12 15:44:19.402792,,,49180.18868255615
2022-03-13 15:44:19.402792,,,49180.18868255615
2022-03-14 15:44:19.402792,9626.HK,-11386.999549865724,37793.18913269043
2022-03-15 15:44:19.402792,,,37793.18913269043
2022-03-16 15:44:19.402792,9618.HK,21502.444396972656,59295.633529663086
2022-03-17 15:44:19.402792,,,59295.633529663086
2022-03-18 15:44:19.402792,9961.HK,2780.397979736328,62076.031509399414
2022-03-19 15:44:19.402792,,,62076.031509399414
2022-03-20 15:44:19.402792,,,62076.031509399414
2022-03-21 15:44:19.402792,,,62076.031509399414
2022-03-22 15:44:19.402792,,,62076.031509399414
2022-03-23 15:44:19.402792,,,62076.031509399414
2022-03-24 15:44:19.402792,,,62076.031509399414
2022-03-25 15:44:19.402792,,,62076.031509399414
2022-03-26 15:44:19.402792,2382.HK,1615.7068634033203,63691.738372802734
2022-03-27 15:44:19.402792,,,63691.738372802734
2022-03-28 15:44:19.402792,,,63691.738372802734
2022-03-29 15:44:19.402792,,,63691.738372802734
2022-03-30 15:44:19.402792,,,63691.738372802734
2022-03-31 15:44:19.402792,,,63691.738372802734
2022-04-01 15:44:19.402792,0316.HK,3099.4092712402344,66791.14764404297
2022-04-02 15:44:19.402792,,,66791.14764404297
2022-04-03 15:44:19.402792,0316.HK,-6229.194152832031,60561.95349121094
2022-04-04 15:44:19.402792,,,60561.95349121094
2022-04-05 15:44:19.402792,,,60561.95349121094
2022-04-06 15:44:19.402792,,,60561.95349121094
2022-04-07 15:44:19.402792,,,60561.95349121094
2022-04-08 15:44:19.402792,0316.HK,1584.6185913085938,62146.57208251953
2022-04-09 15:44:19.402792,,,62146.57208251953
2022-04-10 15:44:19.402792,,,62146.57208251953
2022-04-11 15:44:19.402792,,,62146.57208251953
2022-04-12 15:44:19.402792,,,62146.57208251953
2022-04-13 15:44:19.402792,,,62146.57208251953
2022-04-14 15:44:19.402792,0388.HK,-1783.830810546875,60362.741271972656
2022-04-15 15:44:19.402792,,,60362.741271972656
2022-04-16 15:44:19.402792,,,60362.741271972656
2022-04-17 15:44:19.402792,,,60362.741271972656
2022-04-18 15:44:19.402792,,,60362.741271972656
2022-04-19 15:44:19.402792,,,60362.741271972656
2022-04-20 15:44:19.402792,0388.HK,-1383.38037109375,58979.360900878906
2022-04-21 15:44:19.402792,,,58979.360900878906
2022-04-22 15:44:19.402792,,,58979.360900878906
2022-04-23 15:44:19.402792,,,58979.360900878906
2022-04-24 15:44:19.402792,,,58979.360900878906
2022-04-25 15:44:19.402792,,,58979.360900878906
2022-04-26 15:44:19.402792,9626.HK,3653.0977478027344,62632.45864868164
2022-04-27 15:44:19.402792,,,62632.45864868164
2022-04-28 15:44:19.402792,9626.HK,12509.103378295898,75141.56202697754
2022-04-29 15:44:19.402792,,,75141.56202697754
2022-04-30 15:44:19.402792,0700.HK,-2189.697265625,72951.86476135254
2022-05-01 15:44:19.402792,,,72951.86476135254
2022-05-02 15:44:19.402792,,,72951.86476135254
2022-05-03 15:44:19.402792,,,72951.86476135254
2022-05-04 15:44:19.402792,,,72951.86476135254
2022-05-05 15:44:19.402792,,,72951.86476135254
2022-05-06 15:44:19.402792,9626.HK,-6389.89875793457,66561.96600341797
2022-05-07 15:44:19.402792,,,66561.96600341797
2022-05-08 15:44:19.402792,9626.HK,-3256.0,63305.96600341797
2022-05-09 15:44:19.402792,,,63305.96600341797
