ticker, buy_date, buy_price, hold_till, sold_date, sold_price
0004.HK, 2023-02-27, 17.50, 2023-03-13, 2023-03-13, 18.00
9969.HK, 2023-03-03, 9.34, 2023-03-17, 2023-03-13, 8.36
1128.HK, 2023-03-13, 7.42, 2023-03-27, 2023-03-21, 7.37
0823.HK, 2023-03-14, 48.5, 2023-03-28, 2023-03-21, 49.20
3759.HK, 2023-03-15, 38.5, 2023-03-29, 2023-03-31, 34.65
0489.HK, 2023-03-22, 3.62, 2023-04-05, 2023-04-11, 3.65
0189.HK, 2023-03-23, 8.22, 2023-04-06, 2023-04-11, 8.24
0011.HK, 2023-04-11, 110.64, 2023-10-26,,
2600.HK, 2023-04-14, 4.43, 2023-04-29, 2023-04-18, 4.8
3690.HK, 2023-04-19, 136.36, 2023-08-04, 2023-07-28, 142.00
9988.HK, 2023-05-08, 82.09, 2023-08-02, 2023-07-25, 95.00
1816.HK, 2023-06-21, 1.91, 2023-08-01, 2023-07-31, 1.90
9888.HK, 2023-07-28, 149.22, 2023-12-30,,
1299.HK, 2023-07-28, 78.2, 2023-12-30,,
0175.HK, 2023-07-31, 11.26, 2023-12-30, 2023-08-16, 9.64
