stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
9938.HK,0.11999999731779099,277777,0.11599999666213989,-1111.1081821247935,2022-01-31,2022-02-10
9913.HK,3.380000114440918,9861,3.2899999618530273,-887.4915046691895,2022-02-04,2022-02-14
6117.HK,0.5287519693374634,63047,0.5287519693374634,0.0,2022-02-07,2022-02-17
9938.HK,0.11599999666213989,277780,0.11599999666213989,0.0,2022-02-10,2022-02-21
9633.HK,46.50314712524414,697,46.99681091308594,344.0836601257324,2022-02-14,2022-02-24
9913.HK,3.2699999809265137,10203,3.259999990463257,-102.0299026966095,2022-02-17,2022-02-28
6199.HK,2.421461582183838,13308,2.4020121097564697,-258.8335790634155,2022-02-21,2022-03-03
9908.HK,10.789701461791992,3035,10.47581958770752,-952.6314878463745,2022-02-24,2022-03-07
6117.HK,0.5004259347915649,66487,0.46265798807144165,-2511.0774735808372,2022-02-28,2022-03-07
9633.HK,44.57786178588867,717,39.542484283447266,-3610.3656692504883,2022-03-03,2022-03-07
9633.HK,39.542484283447266,766,36.580501556396484,-2268.8787689208984,2022-03-07,2022-03-10
6117.HK,0.46737900376319885,64857,0.434332013130188,-2143.3286714851856,2022-03-09,2022-03-11
9633.HK,36.580501556396484,766,33.421051025390625,-2420.1391067504883,2022-03-10,2022-03-14
9908.HK,10.260025024414062,2954,9.642068862915039,-1825.4425010681152,2022-03-08,2022-03-15
6117.HK,0.434332013130188,64857,0.3729589879512787,-3980.4702940285206,2022-03-11,2022-03-15
9633.HK,33.421051025390625,766,37.96276092529297,3478.9497833251953,2022-03-14,2022-03-17
6117.HK,0.3776800036430359,69739,0.42016899585723877,2963.1398280262947,2022-03-16,2022-03-23
9908.HK,9.642068862915039,2731,9.583216667175293,-160.72534656524658,2022-03-15,2022-03-25
9633.HK,37.96276092529297,766,37.56782913208008,-302.5177536010742,2022-03-17,2022-03-28
9633.HK,37.56782913208008,766,42.158905029296875,3516.7641372680664,2022-03-28,2022-03-30
6117.HK,0.42016899585723877,69739,0.46265798807144165,2963.1398280262947,2022-03-23,2022-04-04
9908.HK,9.583216667175293,2731,9.41646671295166,-455.3941249847412,2022-03-25,2022-04-04
9633.HK,42.158905029296875,766,40.677913665771484,-1134.4393844604492,2022-03-30,2022-04-11
9908.HK,9.41646671295166,3078,9.514554977416992,301.915678024292,2022-04-04,2022-04-14
9913.HK,3.0199999809265137,9601,2.9800000190734863,-384.0396337509155,2022-04-06,2022-04-19
9633.HK,40.677913665771484,766,42.0601692199707,1058.8077545166016,2022-04-11,2022-04-21
9908.HK,9.514554977416992,3078,9.396848678588867,-362.29998779296875,2022-04-14,2022-04-25
9633.HK,42.0601692199707,766,39.93741989135742,-1626.0259857177734,2022-04-21,2022-04-28
6117.HK,0.4437739849090576,64478,0.46265798807144165,1217.6027559041977,2022-04-19,2022-04-29
9908.HK,9.396848678588867,3078,8.680805206298828,-2203.9818077087402,2022-04-25,2022-05-04
6199.HK,2.392287254333496,12787,2.392287254333496,0.0,2022-04-28,2022-05-10
9633.HK,41.467777252197266,719,39.7893180847168,-1206.812141418457,2022-04-29,2022-05-10
9908.HK,8.680805206298828,3080,8.484628677368164,-604.2237091064453,2022-05-04,2022-05-16
9908.HK,8.484628677368164,3080,7.062349796295166,-4380.618953704834,2022-05-16,2022-05-18
9633.HK,39.7893180847168,743,41.36904525756836,1173.737289428711,2022-05-10,2022-05-20
9908.HK,7.062349796295166,3080,7.876481533050537,2507.525749206543,2022-05-18,2022-05-20
6199.HK,2.392287254333496,12388,2.421461582183838,361.4115734100342,2022-05-11,2022-05-23
9908.HK,7.876481533050537,3491,8.523863792419434,2260.0114674568176,2022-05-20,2022-05-30
9633.HK,41.27030944824219,696,42.405738830566406,790.2588500976562,2022-05-23,2022-06-02
6199.HK,2.421461582183838,11882,2.3436636924743652,-924.3945255279541,2022-05-24,2022-06-06
9908.HK,8.523863792419434,3491,9.004496574401855,1677.8890419006348,2022-05-30,2022-06-09
9633.HK,42.405738830566406,696,40.18424987792969,-1546.1563110351562,2022-06-02,2022-06-13
6199.HK,2.3436636924743652,11882,2.25614070892334,-1039.9480905532837,2022-06-06,2022-06-16
