Date,Stock,Gain,Total
2022-01-30,,,100000
2022-01-31,9938.HK,-1111.1081821247935,98888.8918178752
2022-02-01,,,98888.8918178752
2022-02-02,,,98888.8918178752
2022-02-03,,,98888.8918178752
2022-02-04,9913.HK,-887.4915046691895,98001.40031320602
2022-02-05,,,98001.40031320602
2022-02-06,,,98001.40031320602
2022-02-07,6117.HK,0.0,98001.40031320602
2022-02-08,,,98001.40031320602
2022-02-09,,,98001.40031320602
2022-02-10,9938.HK,0.0,98001.40031320602
2022-02-11,,,98001.40031320602
2022-02-12,,,98001.40031320602
2022-02-13,,,98001.40031320602
2022-02-14,9633.HK,344.0836601257324,98345.48397333175
2022-02-15,,,98345.48397333175
2022-02-16,,,98345.48397333175
2022-02-17,9913.HK,-102.0299026966095,98243.45407063514
2022-02-18,,,98243.45407063514
2022-02-19,,,98243.45407063514
2022-02-20,,,98243.45407063514
2022-02-21,6199.HK,-258.8335790634155,97984.62049157172
2022-02-22,,,97984.62049157172
2022-02-23,,,97984.62049157172
2022-02-24,9908.HK,-952.6314878463744,97031.98900372535
2022-02-25,,,97031.98900372535
2022-02-26,,,97031.98900372535
2022-02-27,,,97031.98900372535
2022-02-28,6117.HK,-2511.077473580837,94520.91153014451
2022-03-01,,,94520.91153014451
2022-03-02,,,94520.91153014451
2022-03-03,9633.HK,-3610.365669250488,90910.54586089402
2022-03-04,,,90910.54586089402
2022-03-05,,,90910.54586089402
2022-03-06,,,90910.54586089402
2022-03-07,9633.HK,-2268.8787689208984,88641.66709197313
2022-03-08,9908.HK,-1825.4425010681152,86816.22459090501
2022-03-09,6117.HK,-2143.3286714851856,84672.89591941983
2022-03-10,9633.HK,-2420.1391067504883,82252.75681266934
2022-03-11,6117.HK,-3980.4702940285206,78272.28651864082
2022-03-12,,,78272.28651864082
2022-03-13,,,78272.28651864082
2022-03-14,9633.HK,3478.9497833251958,81751.23630196601
2022-03-15,9908.HK,-160.72534656524658,81590.51095540076
2022-03-16,6117.HK,2963.1398280262947,84553.65078342706
2022-03-17,9633.HK,-302.5177536010742,84251.13302982599
2022-03-18,,,84251.13302982599
2022-03-19,,,84251.13302982599
2022-03-20,,,84251.13302982599
2022-03-21,,,84251.13302982599
2022-03-22,,,84251.13302982599
2022-03-23,6117.HK,2963.1398280262947,87214.27285785228
2022-03-24,,,87214.27285785228
2022-03-25,9908.HK,-455.3941249847412,86758.87873286754
2022-03-26,,,86758.87873286754
2022-03-27,,,86758.87873286754
2022-03-28,9633.HK,3516.7641372680664,90275.6428701356
2022-03-29,,,90275.6428701356
2022-03-30,9633.HK,-1134.4393844604492,89141.20348567516
2022-03-31,,,89141.20348567516
2022-04-01,,,89141.20348567516
