stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
9618.HK,259.8069763183594,192,273.0903625488281,2550.41015625,2022-01-30 16:46:55.873462,2022-01-31 16:46:55.873462
0388.HK,429.9289245605469,122,432.46942138671875,309.94061279296875,2022-02-01 16:46:55.873462,2022-02-06 16:46:55.873462
0388.HK,435.4007568359375,121,434.22821044921875,-141.87811279296875,2022-02-07 16:46:55.873462,2022-02-12 16:46:55.873462
2269.HK,56.70000076293945,929,61.650001525878906,4598.550708770752,2022-02-13 16:46:55.873462,2022-02-15 16:46:55.873462
3690.HK,219.39999389648438,261,188.0,-8195.398406982422,2022-02-16 16:46:55.873462,2022-02-18 16:46:55.873462
0388.HK,424.26171875,115,385.5680847167969,-4449.767913818359,2022-02-19 16:46:55.873462,2022-02-24 16:46:55.873462
0700.HK,422.01519775390625,105,421.4179992675781,-62.705841064453125,2022-02-25 16:46:55.873462,2022-03-02 16:46:55.873462
0700.HK,416.83953857421875,107,386.1837158203125,-3280.1730346679688,2022-03-03 16:46:55.873462,2022-03-07 16:46:55.873462
0700.HK,381.4062194824219,108,366.0782775878906,-1655.417724609375,2022-03-08 16:46:55.873462,2022-03-13 16:46:55.873462
0700.HK,330.2467956542969,120,296.60504150390625,-4037.010498046875,2022-03-14 16:46:55.873462,2022-03-15 16:46:55.873462
0700.HK,365.28204345703125,97,388.17437744140625,2220.556396484375,2022-03-16 16:46:55.873462,2022-03-17 16:46:55.873462
0772.HK,29.299999237060547,1292,31.25,2519.4009857177734,2022-03-18 16:46:55.873462,2022-03-22 16:46:55.873462
1044.HK,34.46278762817383,1171,34.79737854003906,391.80595779418945,2022-03-23 16:46:55.873462,2022-03-28 16:46:55.873462
0316.HK,176.39736938476562,231,191.19873046875,3419.1144104003906,2022-03-29 16:46:55.873462,2022-04-01 16:46:55.873462
0316.HK,191.19873046875,231,173.35003662109375,-4123.048278808594,2022-04-02 16:46:55.873462,2022-04-06 16:46:55.873462
0388.HK,350.98907470703125,114,339.7115478515625,-1285.6380615234375,2022-04-07 16:46:55.873462,2022-04-12 16:46:55.873462
0700.HK,371.85113525390625,104,372.64739990234375,82.8115234375,2022-04-13 16:46:55.873462,2022-04-18 16:46:55.873462
0388.HK,327.4447326660156,118,331.9953308105469,536.9705810546875,2022-04-19 16:46:55.873462,2022-04-24 16:46:55.873462
0700.HK,325.8674011230469,120,375.6333312988281,5971.91162109375,2022-04-25 16:46:55.873462,2022-04-29 16:46:55.873462
0700.HK,375.6333312988281,120,364.6848449707031,-1313.818359375,2022-04-30 16:46:55.873462,2022-05-05 16:46:55.873462
0669.HK,92.76596069335938,474,97.61742401123047,2299.5936126708984,2022-05-06 16:46:55.873462,2022-05-10 16:46:55.873462
0700.HK,348.7597351074219,132,348.3616027832031,-52.553466796875,2022-05-11 16:46:55.873462,2022-05-16 16:46:55.873462
9618.HK,209.7990264892578,220,211.60000610351562,396.21551513671875,2022-05-17 16:46:55.873462,2022-05-22 16:46:55.873462
0700.HK,346.79998779296875,134,341.79998779296875,-670.0,2022-05-23 16:46:55.873462,2022-05-28 16:46:55.873462
0700.HK,341.79998779296875,134,362.3999938964844,2760.4008178710938,2022-05-29 16:46:55.873462,2022-05-31 16:46:55.873462
6060.HK,25.049999237060547,1947,26.149999618530273,2141.7007427215576,2022-06-02 16:46:55.873462,2022-06-07 16:46:55.873462
0960.HK,33.726470947265625,1510,31.418371200561523,-3485.2306175231934,2022-06-08 16:46:55.873462,2022-06-10 16:46:55.873462
0316.HK,213.93125915527344,221,207.20616149902344,-1486.24658203125,2022-06-11 16:46:55.873462,2022-06-16 16:46:55.873462
1211.HK,293.0,156,296.6000061035156,561.6009521484375,2022-06-17 16:46:55.873462,2022-06-22 16:46:55.873462
9999.HK,142.21316528320312,327,152.79925537109375,3461.6514587402344,2022-06-23 16:46:55.873462,2022-06-27 16:46:55.873462
0316.HK,202.6621551513672,246,189.03018188476562,-3353.4654235839844,2022-06-28 16:46:55.873462,2022-06-30 16:46:55.873462
