stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
9626.HK,232.60000610351562,214,257.20001220703125,5264.401306152344,2022-01-31 15:44:19.402792,2022-02-07 15:44:19.402792
2269.HK,58.29999923706055,947,64.80000305175781,6155.503612518311,2022-02-11 15:44:19.402792,2022-02-17 15:44:19.402792
3690.HK,180.5,340,170.1999969482422,-3502.0010375976562,2022-02-22 15:44:19.402792,2022-02-24 15:44:19.402792
3690.HK,170.1999969482422,340,146.1999969482422,-8160.0,2022-02-25 15:44:19.402792,2022-03-07 15:44:19.402792
0388.HK,332.21783447265625,149,378.4905090332031,6894.628509521484,2022-03-08 15:44:19.402792,2022-03-17 15:44:19.402792
9961.HK,179.0,316,205.60000610351562,8405.601928710938,2022-03-18 15:44:19.402792,2022-03-24 15:44:19.402792
0316.HK,176.39736938476562,368,166.29762268066406,-3716.706787109375,2022-03-30 15:44:19.402792,2022-04-07 15:44:19.402792
0316.HK,171.34750366210938,357,192.0694122314453,7397.72135925293,2022-04-09 15:44:19.402792,2022-04-29 15:44:19.402792
9626.HK,155.3000030517578,442,175.5,8928.398651123047,2022-05-11 15:44:19.402792,2022-05-20 15:44:19.402792
0316.HK,209.93255615234375,369,196.66407775878906,-4896.06852722168,2022-06-14 15:44:19.402792,2022-06-23 15:44:19.402792
0316.HK,197.20936584472656,369,212.65895080566406,5700.8968505859375,2022-06-25 15:44:19.402792,2022-07-16 15:44:19.402792
1211.HK,294.20001220703125,266,291.3999938964844,-744.8048706054688,2022-07-17 15:44:19.402792,2022-08-07 15:44:19.402792
9618.HK,221.1999969482422,351,246.1999969482422,8775.0,2022-08-12 15:44:19.402792,2022-08-25 15:44:19.402792
1211.HK,262.20001220703125,329,242.1999969482422,-6580.005020141602,2022-08-26 15:44:19.402792,2022-08-31 15:44:19.402792
1211.HK,232.60000610351562,343,215.0,-6036.802093505859,2022-09-02 15:44:19.402792,2022-09-05 15:44:19.402792
0316.HK,149.89999389648438,492,142.1999969482422,-3788.3984985351562,2022-09-06 15:44:19.402792,2022-09-08 15:44:19.402792
0316.HK,142.1999969482422,492,132.6999969482422,-4674.0,2022-09-09 15:44:19.402792,2022-09-26 15:44:19.402792
0388.HK,279.6000061035156,233,258.3999938964844,-4939.602844238281,2022-09-27 15:44:19.402792,2022-10-13 15:44:19.402792
9961.HK,187.39999389648438,322,168.1999969482422,-6182.399017333984,2022-10-14 15:44:19.402792,2022-10-24 15:44:19.402792
0700.HK,206.1999969482422,263,227.39999389648438,5575.599197387695,2022-10-25 15:44:19.402792,2022-11-01 15:44:19.402792
0388.HK,226.39999389648438,264,259.6000061035156,8764.80322265625,2022-11-02 15:44:19.402792,2022-11-07 15:44:19.402792
