stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,cup_len,handle_len,cup_depth,handle_depth,rrr
PEP,175.66,1138,169.91,-6543.5,-3.27,2022-08-18 10:53:29.151813,2022-08-29 10:53:29.151813,7,57,36,0.11209154047591938,0.03250597745645001,3.4483362521891365
ORLY,695.68,285,718.19,6415.3500000000295,3.24,2022-09-13 10:53:29.151813,2022-10-03 10:53:29.151813,14,117,27,0.2670480680772769,0.08421975620975167,3.1708482676224587
ORLY,710.77,281,813.22,28788.45000000001,14.41,2022-10-07 10:53:29.151813,2022-10-27 10:53:29.151813,14,117,51,0.2613785050016179,0.09972283579779675,2.621049661399548
TMUS,148.83,1382,139.53,-12852.600000000015,-6.25,2022-11-04 10:53:29.151813,2022-12-22 10:53:29.151813,34,406,68,0.3271517839145332,0.12423570516696888,2.6333153055705805
MDLZ,66.85,3039,63.16,-11213.909999999993,-5.52,2023-01-11 10:53:29.151813,2023-01-19 10:53:29.151813,6,113,33,0.16409872849663437,0.051907255048616506,3.1613832853025836
AZN,68.81,2952,68.16,-1918.8000000000168,-0.94,2023-01-05 10:53:29.151813,2023-01-20 10:53:29.151813,11,148,21,0.2185728818485685,0.05318994332219149,4.1092896174863425
AEP,94.54,2149,91.88,-5716.340000000023,-2.81,2023-01-10 10:53:29.151813,2023-02-02 10:53:29.151813,14,92,27,0.2576687116564417,0.07721599323037864,3.3369863013698637
CSCO,47.36,4290,46.55,-3474.9000000000096,-1.71,2023-01-17 10:53:29.151813,2023-02-10 10:53:29.151813,15,117,30,0.22571790540540537,0.08298141891891891,2.720101781170483
CSX,31.78,6254,30.37,-8818.140000000001,-4.44,2023-01-20 10:53:29.151813,2023-02-21 10:53:29.151813,19,124,36,0.2740717432347389,0.08779106356198875,3.121863799283152
XEL,67.77,2926,65.61,-6320.15999999999,-3.19,2023-02-07 10:53:29.151813,2023-02-22 10:53:29.151813,11,121,22,0.2921646746347941,0.08735428655747383,3.344594594594593
NKE,126.32,1549,123.26,-4739.939999999981,-2.42,2023-05-03 10:53:29.151813,2023-05-04 10:53:29.151813,1,46,41,0.11953768207726405,0.02303673210892979,5.189003436426096
EA,127.67,1523,129.89,3381.0599999999768,1.74,2023-06-02 10:53:29.151813,2023-07-05 10:53:29.151813,22,83,41,0.170596067987781,0.056238740502858986,3.0334261838440084
JPM,144.64,1350,153.38,11799.000000000013,6.04,2023-07-05 10:53:29.151813,2023-07-17 10:53:29.151813,8,21,42,0.07936946902654861,0.027585730088495443,2.877192982456152
EXC,40.96,4769,41.96,4769.0,2.44,2023-07-07 10:53:29.151813,2023-07-27 10:53:29.151813,14,52,19,0.11083984375000015,0.04296874999999995,2.579545454545461
LULU,383.69,519,378.2,-2849.310000000005,-1.43,2023-07-17 10:53:29.151813,2023-08-04 10:53:29.151813,14,42,27,0.16192759780030752,0.06153405092652926,2.631512071156288
EXC,41.96,4756,39.92,-9702.239999999996,-4.86,2023-07-27 10:53:29.151813,2023-08-04 10:53:29.151813,6,52,40,0.10819828408007641,0.04194470924690176,2.5795454545454612
