stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,cup_len,handle_len,cup_depth,handle_depth,rrr,,
MXN=X,12.9462,15448,13.0979,2343.4616,1.17,2013-08-23,2013-09-09,11,41,22,0.079158363,0.026463364,2.991243433,,
SGD=X,1.2753,156825,1.2454,-4689.0675,-2.34,2013-08-21,2013-09-19,21,402,43,0.063984945,0.023367051,2.738255034,,
HKD=X,7.7541,25732,7.753,-28.3052,-0.01,2013-10-02,2013-10-29,18,75,35,0.001805496,0.00064482,2.8,,
GBPUSD=X,1.6164,123441,1.6089,-925.8075,-0.46,2013-10-24,2013-11-08,11,106,22,0.057720861,0.022271715,2.591666667,,
CNY=X,6.0845,32792,6.0824,-68.8632,-0.03,2013-11-01,2013-11-29,20,480,38,0.045624127,0.016057195,2.841351075,,
HKD=X,7.7536,25703,7.7518,-46.2654,-0.02,2013-11-18,2013-12-19,23,110,45,0.001805613,0.000619067,2.916666667,,
JPY=X,98.171,2030,104.879,13617.24,6.83,2013-11-08,2013-12-27,33,111,57,0.099061841,0.03829033,2.587124235,,
EURUSD=X,1.375,148256,1.3607,-2120.0608,-1.04,2013-12-30,2014-01-10,8,48,15,0.038109091,0.013018182,2.927374302,,
MYR=X,3.2925,60538,3.2963,230.0444,0.12,2013-12-26,2014-01-16,14,86,27,0.105785877,0.036962794,2.861955629,,
INR=X,62.23,3276,61.54,-2260.44,-1.11,2014-01-06,2014-01-16,8,36,15,0.051904226,0.017354973,2.990740741,,
HKD=X,7.7543,25705,7.7621,200.499,0.1,2013-12-23,2014-01-27,22,110,80,0.00180545,0.000619011,2.916666667,,
RUB=X,33.3992,6005,34.5037,6632.5225,3.31,2014-01-16,2014-01-27,7,91,43,0.06031881,0.024015545,2.511656901,,
JPY=X,104.934,1942,101.142,-7364.064,-3.61,2013-12-31,2014-02-04,22,111,110,0.092677302,0.035822517,2.587124235,,
HKD=X,7.7637,26076,7.7588,-127.7724,-0.06,2014-01-29,2014-02-07,5,110,119,0.001803264,0.000618262,2.916666667,,
ZAR=X,10.7895,18702,10.9636,3256.0182,1.61,2014-01-10,2014-02-12,21,100,34,0.088576857,0.027665786,3.201675042,,
RUB=X,34.6154,5848,35.7281,6507.0696,3.21,2014-01-28,2014-02-20,15,91,55,0.05819953,0.023171767,2.511656901,,
EURSEK=X,8.9765,22634,8.8463,-2946.9468,-1.45,2014-02-24,2014-03-03,5,49,21,0.038467109,0.013357099,2.879899917,,
MYR=X,3.3371,60663,3.2918,-2748.0339,-1.36,2014-01-27,2014-03-11,29,86,58,0.10437206,0.03646879,2.861955629,,
GBPJPY=X,172.6,1172,169.163,-4028.164,-1.99,2014-03-10,2014-03-14,4,47,17,0.063458864,0.016529548,3.839116719,,
EURCHF=X,1.2205,164480,1.2201,-65.792,-0.03,2014-04-24,2014-05-12,10,85,19,0.022941417,0.008766899,2.61682243,,
MYR=X,3.2685,61419,3.2195,-3009.531,-1.5,2014-04-28,2014-05-27,19,55,35,0.529661924,0.033776962,15.68115942,,
AUDUSD=X,0.9371,214199,0.9344,-578.3373,-0.29,2014-05-15,2014-06-10,17,169,34,0.116743144,0.027531747,4.240310078,,
EURCHF=X,1.2216,164314,1.2178,-624.3932,-0.31,2014-05-16,2014-06-17,21,85,41,0.02292076,0.008759005,2.61682243,,
