stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,cup_len,handle_len,cup_depth,handle_depth,rrr
1109.HK,29.471,3393,30.988,5147.180999999998,5.15,2020-08-20 11:16:09.963974,2020-09-17 11:16:09.963974,20,126,39,0.3218418105934647,0.12646330290794341,2.5449423128521595
3633.HK,7.012,14385,7.129,1683.0449999999998,1.67,2020-08-28 11:16:09.963974,2020-09-17 11:16:09.963974,14,24,27,0.12435824301197945,0.03879064460924134,3.205882352941173
8830.T,3051.3,33,3009.98,-1363.5600000000054,-1.35,2020-09-07 11:16:09.963974,2020-09-23 11:16:09.963974,12,64,22,0.25810965817848136,0.06550978271556396,3.9400170093551403
7270.T,1998.02,50,1837.78,-8012.0,-8.02,2020-09-09 11:16:09.963974,2020-09-24 11:16:09.963974,11,28,26,0.17529854556010452,0.06599533538202816,2.656226300621874
9502.T,1195.45,86,1182.58,-1106.8200000000102,-1.08,2020-09-18 11:16:09.963974,2020-10-06 11:16:09.963974,10,41,20,0.1438203187084362,0.044200928520640885,3.253785011355026
5713.T,3115.05,32,2877.9,-7588.800000000003,-7.61,2020-09-16 11:16:09.963974,2020-10-16 11:16:09.963974,20,234,39,0.5110897096354793,0.10997576282884702,4.647294062700683
4502.T,3511.51,28,3114.43,-11118.24000000001,-11.31,2020-08-21 11:16:09.963974,2020-10-23 11:16:09.963974,43,109,85,0.3935144709825687,0.13648829136183585,2.8831372058087115
6954.T,4131.48,24,4201.74,1686.2400000000052,1.7,2020-09-11 11:16:09.963974,2020-10-27 11:16:09.963974,29,215,57,0.47419084686359386,0.1688014948638261,2.809162603957557
6113.T,915.41,109,847.67,-7383.660000000001,-7.4,2020-10-09 11:16:09.963974,2020-10-28 11:16:09.963974,12,97,24,0.3182617624889393,0.0843228717186835,3.7743230988469967
6501.T,3369.76,28,3876.13,14178.359999999997,15.03,2020-10-28 11:16:09.963974,2020-11-11 11:16:09.963974,10,99,41,0.20110037510089748,0.07052134276625037,2.851624305672449
6988.T,5973.37,16,7539.33,25055.36,26.22,2020-08-27 11:16:09.963974,2020-11-16 11:16:09.963974,54,209,79,0.3612516887452142,0.07573446814779602,4.769977232034303
3407.T,870.45,112,919.36,5477.919999999996,5.62,2020-10-27 11:16:09.963974,2020-11-27 11:16:09.963974,23,98,42,0.2450801309667414,0.08556493767591478,2.8642588614393123
2282.T,4090.74,24,4407.56,7603.680000000015,7.74,2020-11-12 11:16:09.963974,2020-12-11 11:16:09.963974,21,257,41,0.45391298395889257,0.14122872634291098,3.214027313797105
0780.HK,14.92,6879,13.78,-7842.060000000004,-7.64,2020-12-17 11:16:09.963974,2020-12-22 11:16:09.963974,3,32,35,0.18096514745308306,0.06568364611260057,2.7551020408163245
1928.HK,34.6,2951,33.45,-3393.649999999996,-3.32,2020-12-09 11:16:09.963974,2020-12-24 11:16:09.963974,11,77,21,0.2615606936416184,0.08670520231213862,3.0166666666666693
1929.HK,8.894,11532,8.645,-2871.468000000006,-2.8,2020-12-15 11:16:09.963974,2020-12-28 11:16:09.963974,8,65,16,0.16730380031481903,0.06431302001349215,2.601398601398606
4578.T,4085.56,25,4092.89,183.24999999999818,0.18,2020-12-16 11:16:09.963974,2021-01-04 11:16:09.963974,11,57,19,0.1788053534888729,0.05695669626685199,3.1393210141813497
8053.T,1172.38,87,1177.62,455.879999999981,0.45,2020-12-18 11:16:09.963974,2021-01-06 11:16:09.963974,11,84,22,0.1970180316962078,0.07706545659257229,2.556502490315444
1658.HK,3.583,28262,4.434,24050.962,23.75,2021-01-08 11:16:09.963974,2021-01-21 11:16:09.963974,9,148,37,0.4298074239464136,0.14485068378453814,2.9672447013487466
8604.T,486.06,209,493.85,1628.1100000000042,1.6,2020-11-27 11:16:09.963974,2021-02-02 11:16:09.963974,45,210,89,0.3878327778463564,0.13311113854256673,2.9136012364760435
1721.T,2914.5,34,2974.08,2025.7199999999975,2.04,2021-01-07 11:16:09.963974,2021-02-04 11:16:09.963974,20,127,40,0.1916658088866015,0.06918167781780755,2.7704706640876844
9020.T,6554.92,15,7437.87,13244.249999999996,13.47,2021-01-20 11:16:09.963974,2021-02-08 11:16:09.963974,13,81,46,0.2616294325483759,0.0908828788146918,2.8787537978614495
S63.SI,3.474,29149,3.4027,-2078.3237000000104,-2.05,2021-01-15 11:16:09.963974,2021-02-22 11:16:09.963974,24,274,48,0.3895509499136443,0.09228554979850309,4.2211478477854065
0083.HK,9.29,11491,11.073,20488.453000000016,19.19,2021-01-22 11:16:09.963974,2021-02-22 11:16:09.963974,19,230,36,0.21883745963401513,0.07104413347685685,3.08030303030303
9433.T,2964.07,34,3090.42,4295.899999999997,4.26,2021-01-19 11:16:09.963974,2021-03-08 11:16:09.963974,32,108,64,0.21631405466132717,0.0763848357157558,2.831897884369061
1808.T,1275.81,84,1465.11,15901.199999999997,14.84,2021-03-10 11:16:09.963974,2021-03-19 11:16:09.963974,7,151,24,0.23798998283443468,0.06762762480306626,3.5191237830319912
1928.T,1873.18,56,2158.32,15967.840000000006,15.22,2021-02-18 11:16:09.963974,2021-03-26 11:16:09.963974,26,142,33,0.20853308277901755,0.05897457799036933,3.5359826197157602
