stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,cup_len,handle_len,cup_depth,handle_depth,rrr
8830.T,3051.3,66,3009.98,-2727.12,-1.35,2020-09-07,2020-09-23,12,64,22,0.258109658,0.065509783,3.940017009
7270.T,1998.02,102,1837.78,-16344.48,-8.02,2020-09-09,2020-09-24,11,28,26,0.175298546,0.065995335,2.656226301
1109.HK,31.118,6450,32.357,7991.55,3.98,2020-09-01,2020-10-12,27,126,53,0.304807507,0.119769908,2.544942313
6113.T,915.41,211,847.67,-14293.14,-7.4,2020-10-09,2020-10-28,12,97,24,0.318261762,0.084322872,3.774323099
7741.T,10322.72,19,12811.8,47292.52,24.11,2020-09-04,2020-11-09,43,167,56,0.326165972,0.096162639,3.391815929
6501.T,3369.76,56,3876.13,28356.72,15.03,2020-10-28,2020-11-11,10,99,41,0.201100375,0.070521343,2.851624306
6988.T,5973.37,33,7539.33,51676.68,26.22,2020-08-27,2020-11-16,54,209,79,0.361251689,0.075734468,4.769977232
3407.T,870.45,231,919.36,11298.21,5.62,2020-10-27,2020-11-27,23,98,42,0.245080131,0.085564938,2.864258861
2282.T,4090.74,53,4407.56,16791.46,7.74,2020-11-12,2020-12-11,21,257,41,0.453912984,0.141228726,3.214027314
1928.HK,34.6,6477,33.45,-7448.55,-3.32,2020-12-09,2020-12-24,11,77,21,0.261560694,0.086705202,3.016666667
1929.HK,8.894,25555,8.645,-6363.195,-2.8,2020-12-15,2020-12-28,8,65,16,0.1673038,0.06431302,2.601398601
4578.T,4085.56,55,4092.89,403.15,0.18,2020-12-16,2021-01-04,11,57,19,0.178805353,0.056956696,3.139321014
8053.T,1172.38,196,1177.62,1027.04,0.45,2020-12-18,2021-01-06,11,84,22,0.197018032,0.077065457,2.55650249
8604.T,486.06,461,493.85,3591.19,1.6,2020-11-27,2021-02-02,45,210,89,0.387832778,0.133111139,2.913601236
1721.T,2914.5,76,2974.08,4528.08,2.04,2021-01-07,2021-02-04,20,127,40,0.191665809,0.069181678,2.770470664
S63.SI,3.474,64487,3.4027,-4597.9231,-2.05,2021-01-15,2021-02-22,24,274,48,0.38955095,0.09228555,4.221147848
0083.HK,9.29,24300,11.073,43326.9,19.19,2021-01-22,2021-02-22,19,230,36,0.21883746,0.071044133,3.08030303
9433.T,2964.07,75,3090.42,9476.25,4.26,2021-01-19,2021-03-08,32,108,64,0.216310681,0.076384836,2.831853717
1808.T,1275.81,188,1465.11,35588.4,14.84,2021-03-10,2021-03-19,7,151,24,0.237989983,0.067627625,3.519123783
1928.T,1873.18,121,2158.32,34501.94,15.22,2021-02-18,2021-03-26,26,142,33,0.208533083,0.058974578,3.53598262
9434.T,1285.92,196,1271.9,-2747.92,-1.09,2021-03-19,2021-04-13,14,182,28,0.198410477,0.048852184,4.0614454
8750.T,1637.93,138,1791.61,21207.84,9.38,2021-02-10,2021-04-21,45,366,90,0.464439872,0.182046852,2.551210678
0728.HK,2.318,108933,2.026,-31808.436,-12.6,2021-05-10,2021-06-17,26,119,58,0.376186368,0.125107852,3.006896552
9434.T,1251.82,201,1312.49,12194.67,4.85,2021-05-13,2021-07-15,42,182,84,0.203815245,0.050182934,4.0614454
4324.T,3746.15,64,3503.56,-15525.76,-6.48,2021-07-06,2021-07-20,10,84,32,0.240991418,0.057787328,4.170315965
4704.T,5495.3,45,5542.67,2131.65,0.86,2021-07-15,2021-07-29,10,129,19,0.206896803,0.056895893,3.636410158
6976.T,5464.42,44,5512.69,2123.88,0.88,2021-08-04,2021-08-23,13,111,26,0.233064076,0.090106544,2.586538852
2638.HK,6.98,35300,6.908,-2541.6,-1.03,2021-08-20,2021-09-09,14,223,141,0.035673352,0.010028653,3.557142857
0003.HK,11.648,20963,11.612,-754.668,-0.31,2021-07-30,2021-09-13,31,407,61,0.226991758,0.087912088,2.58203125
8604.T,521.58,468,479.22,-19824.48,-8.12,2021-10-22,2021-11-02,7,111,36,0.179454734,0.071609341,2.506024096
S63.SI,3.5718,70777,3.5249,-3319.4413,-1.31,2021-06-11,2021-11-03,98,274,195,0.378884596,0.086427012,4.383867833
4503.T,1852.24,132,1897.66,5995.44,2.45,2021-10-13,2021-11-08,17,71,34,0.147210945,0.057897465,2.542614696
1801.T,3519.98,67,3296.42,-14978.52,-6.35,2021-11-05,2021-11-08,1,64,46,0.126117194,0.049594032,2.54299135
8053.T,1388.24,177,1502.84,20284.2,8.26,2021-08-16,2021-11-26,71,417,136,0.341338673,0.119179681,2.864067694
4578.T,4543.86,53,3918.14,-33163.16,-13.77,2021-08-24,2021-11-26,65,416,147,0.390546804,0.137083889,2.848962096
0659.HK,6.487,36467,6.48,-255.269,-0.11,2021-11-15,2021-11-26,9,42,17,0.132418684,0.049329428,2.684375
0659.HK,6.48,36515,6.348,-4819.98,-2.04,2021-11-26,2021-12-16,14,42,28,0.132561728,0.049382716,2.684375
0006.HK,43.795,5495,44.564,4225.655,1.76,2021-12-17,2022-01-03,10,121,20,0.130859687,0.042356433,3.089487871
6861.T,71841.29,3,73320.41,4437.36,2.06,2021-12-10,2022-01-05,17,52,33,0.204215292,0.078623588,2.597379444
0002.HK,73.609,3213,71.571,-6548.094,-2.77,2022-01-05,2022-01-12,5,121,39,0.089771631,0.025961499,3.457875458
6886.HK,11.773,19940,12.878,22033.7,9.39,2022-01-12,2022-01-20,6,91,28,0.143039157,0.035420029,4.038369305
6674.T,2452.53,96,2338.73,-10924.8,-4.64,2022-01-06,2022-01-26,14,49,28,0.2025174,0.064884018,3.121221643
U14.SI,7.09,34146,7.23,4780.44,1.97,2022-01-24,2022-02-11,11,207,17,0.098730606,0.032440056,3.043478261
