STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,CUP LEN,HANDLE LEN,CUP DEPTH,HANDLE DEPTH,RRR,THRESHOLD
2380.HK,1.3269116878509521,188407,1.3442569971084595,3267.9776812791824,1.31,2020-10-27 08:20:21.810972,2020-12-04 08:20:21.810972,28,70,65,0.14421556351174486,0.13071905132737288,1.1032482415326845,0.06
2638.HK,6.864485263824463,36419,6.614710330963135,-9096.553279876709,-3.64,2020-10-28 08:20:21.810972,2020-12-15 08:20:21.810972,34,126,69,0.06631788672979616,0.03638645144428864,1.8225983600334206,0.06
0014.HK,20.725862503051758,12062,24.047048568725586,40060.146324157715,16.02,2020-11-02 08:20:21.810972,2020-12-17 08:20:21.810972,33,79,64,0.21866887064762483,0.12170378243879944,1.7967302762967596,0.06
0998.HK,2.622653007507324,96584,2.4168052673339844,-19881.598136901855,-7.85,2020-12-04 08:20:21.810972,2020-12-23 08:20:21.810972,13,86,19,0.1715116177430353,0.0697674472677097,2.458332997119928,0.06
0968.HK,14.141561508178711,20511,18.15241813659668,82266.68030548096,28.36,2020-12-17 08:20:21.810972,2021-01-19 08:20:21.810972,21,48,21,0.21837553775402463,0.15046603812926165,1.451327757872003,0.06
0586.HK,33.098628997802734,7278,33.64197540283203,3954.4751358032227,1.64,2020-12-15 08:20:21.810972,2021-01-26 08:20:21.810972,28,142,87,0.13158739101908887,0.10943921678565728,1.2023787713759868,0.03
1038.HK,34.08817672729492,6847,34.6325798034668,3727.527862548828,1.6,2020-12-29 08:20:21.810972,2021-01-29 08:20:21.810972,22,77,47,0.13526027449920552,0.045454595689658116,2.9757227502956343,0.06
2688.HK,90.07838439941406,2775,111.44009399414062,59278.74412536621,23.71,2020-11-03 08:20:21.810972,2021-02-24 08:20:21.810972,77,208,76,0.3748878833761953,0.2025184006081244,1.8511299825125913,0.06
1044.HK,47.503753662109375,4991,47.032135009765625,-2353.8486938476562,-0.99,2021-02-01 08:20:21.810972,2021-03-11 08:20:21.810972,26,51,20,0.12996398769987402,0.0965703966888675,1.3457953177783322,0.06
1717.HK,11.542346000671387,21213,10.068090438842773,-31273.383233070374,-12.77,2021-01-26 08:20:21.810972,2021-03-18 08:20:21.810972,35,83,19,0.2647974149619949,0.11370720826756886,2.328765423023049,0.06
1398.HK,4.092905521392822,90975,4.380126953125,26129.96975183487,7.02,2021-01-20 08:20:21.810972,2021-04-12 08:20:21.810972,53,146,50,0.2592592553469552,0.1559452720040284,1.6625015431071097,0.09
0384.HK,26.985593795776367,7914,25.574583053588867,-11166.739013671875,-5.23,2021-03-18 08:20:21.810972,2021-04-22 08:20:21.810972,22,31,27,0.17156849906468838,0.12418308806637324,1.3815770064679713,0.06
0939.HK,4.949208736419678,62492,5.036454677581787,5452.173355102539,1.76,2021-02-24 08:20:21.810972,2021-04-27 08:20:21.810972,41,146,85,0.27724355821576474,0.1378204934812542,2.011627960492496,0.06
2096.HK,7.677011013031006,51907,7.591816425323486,-4422.195464134216,-1.11,2021-04-15 08:20:21.810972,2021-05-05 08:20:21.810972,14,28,27,0.14056718791002606,0.12453775790777705,1.1287114066572417,0.06
0570.HK,4.349153518676758,72367,4.311002731323242,-2760.8580284118652,-0.88,2021-04-27 08:20:21.810972,2021-05-17 08:20:21.810972,14,27,24,0.10526317929553146,0.10307009907937292,1.0212775599882724,0.06
0008.HK,3.5434536933898926,88050,3.4218246936798096,-10709.433424472809,-3.43,2021-05-20 08:20:21.810972,2021-05-26 08:20:21.810972,4,58,39,0.06742944896796627,0.023926601568225993,2.818179120661712,0.03
3319.HK,34.08979415893555,11559,35.06629180908203,11287.336338043213,2.86,2021-05-05 08:20:21.810972,2021-06-11 08:20:21.810972,26,47,27,0.24578658403568343,0.17134842676464587,1.434425682666357,0.03
0467.HK,1.4054763317108154,144007,1.1661038398742676,-34471.31443190575,-17.03,2021-04-22 08:20:21.810972,2021-06-17 08:20:21.810972,38,83,35,0.28481015426026396,0.16455699379203437,1.7307690648518073,0.06
6160.HK,210.8000030517578,1429,201.39999389648438,-13432.613082885742,-4.46,2021-05-26 08:20:21.810972,2021-06-23 08:20:21.810972,19,37,25,0.17836814781394325,0.15702082716099158,1.1359521602256273,0.06
2013.HK,18.020000457763672,15931,15.300000190734863,-43332.32425403595,-15.09,2021-06-25 08:20:21.810972,2021-07-05 08:20:21.810972,5,56,19,0.32963370862868835,0.14095454223104745,2.3385816690345815,0.06
2638.HK,6.631936550140381,35395,6.866710662841797,8309.82971906662,3.54,2021-03-11 08:20:21.810972,2021-07-08 08:20:21.810972,79,77,56,0.04935069719022723,0.02467535866647928,1.9999991836904338,0.03
