STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,CUP LEN,HANDLE LEN,CUP DEPTH,HANDLE DEPTH,RRR
6971.T,5707.41845703125,58,5372.7353515625,-19411.6201171875,-5.86,2020-10-19 15:50:12.783556,2020-10-30 15:50:12.783556,8,67,62,0.10489901010908638,0.07245464989759655,1.4477885167804263
8354.T,1652.133544921875,190,1658.347900390625,1180.7275390625,0.38,2020-11-06 15:50:12.783556,2020-12-07 15:50:12.783556,21,99,49,0.2149070369425809,0.11301772623105294,1.9015338930392733
5201.T,2953.929931640625,114,3084.31640625,14864.05810546875,4.41,2020-10-21 15:50:12.783556,2020-12-10 15:50:12.783556,35,60,36,0.1336378744803173,0.07610350097357993,1.7560016657671371
8031.T,1700.4991455078125,185,1684.3209228515625,-2992.97119140625,-0.95,2020-12-08 15:50:12.783556,2020-12-24 15:50:12.783556,12,208,97,0.3136895277082801,0.1775020306826373,1.7672447267329445
4208.T,1677.9329833984375,209,1625.1953125,-11022.173217773438,-3.14,2020-12-10 15:50:12.783556,2020-12-24 15:50:12.783556,10,137,45,0.1728603981001637,0.12467251206000576,1.3865157222224316
8058.T,2274.29931640625,143,2270.723388671875,-511.357666015625,-0.16,2020-12-24 15:50:12.783556,2021-01-06 15:50:12.783556,7,56,27,0.11772787356102367,0.053459099428635554,2.2022045791882965
6146.T,8680.434244791666,38,10666.50390625,75470.64713541669,22.88,2020-10-16 15:50:12.783556,2021-01-29 15:50:12.783556,72,165,99,0.3734923429599879,0.17980602558036773,2.077195921296021
9449.T,3032.4833984375,107,2845.3525390625,-20023.001953125,-6.17,2021-01-07 15:50:12.783556,2021-01-29 15:50:12.783556,16,111,83,0.2029908992455333,0.16552406390946686,1.2263528000167931
5423.T,684.953369140625,519,671.0126953125,-7235.209716796875,-2.04,2021-01-29 15:50:12.783556,2021-02-22 15:50:12.783556,14,162,99,0.26172594044211017,0.20081418683320545,1.3033239561879038
8020.T,1149.52099609375,284,1208.87353515625,16856.12109375,5.16,2020-12-29 15:50:12.783556,2021-02-25 15:50:12.783556,39,71,48,0.10731261075608378,0.10402410296732577,1.0316129406065722
8283.T,5646.72314453125,61,5446.75537109375,-12198.0341796875,-3.54,2021-03-03 15:50:12.783556,2021-03-24 15:50:12.783556,15,251,97,0.22383670621636667,0.1787521317097678,1.2522183879731335
9744.T,1637.2371826171875,217,1773.252685546875,29515.364135742188,8.31,2021-02-01 15:50:12.783556,2021-04-08 15:50:12.783556,43,78,24,0.143510095019709,0.07129803442401154,2.012819794810193
5393.T,2306.460205078125,149,2533.994384765625,33902.5927734375,9.87,2021-03-02 15:50:12.783556,2021-04-08 15:50:12.783556,24,25,21,0.06949338591269623,0.06910071006728445,1.0056826600628188
9602.T,4550.17236328125,83,4256.61328125,-24365.40380859375,-6.45,2021-04-08 15:50:12.783556,2021-04-22 15:50:12.783556,10,389,170,0.40568842963024654,0.19487866212186725,2.0817488441938785
4819.T,4291.68359375,78,4470.01513671875,13909.8603515625,4.16,2021-03-24 15:50:12.783556,2021-04-23 15:50:12.783556,19,66,29,0.2207054382712556,0.15472120955145133,1.4264717740450559
3254.T,1668.4169921875,231,1595.3408203125,-16880.595703125,-4.38,2021-04-09 15:50:12.783556,2021-04-23 15:50:12.783556,10,376,143,0.5602530191310676,0.18816941297546014,2.977386230163413
9143.T,2485.317626953125,144,2288.114990234375,-28397.1796875,-7.93,2021-04-23 15:50:12.783556,2021-04-28 15:50:12.783556,3,42,21,0.12574782262811995,0.07099453047269251,1.771232541308064
5344.T,11703.8837890625,30,11199.7470703125,-15124.1015625,-4.31,2021-04-22 15:50:12.783556,2021-05-06 15:50:12.783556,10,78,17,0.2022118614694106,0.08023657176381616,2.520195679155387
8279.T,6902.61572265625,52,6834.65771484375,-3533.81640625,-0.98,2021-04-27 15:50:12.783556,2021-05-06 15:50:12.783556,7,91,28,0.11371668889472202,0.05443036258337494,2.0892142454596714
3659.T,3579.37646484375,92,3440.564208984375,-12770.7275390625,-3.88,2021-04-28 15:50:12.783556,2021-05-06 15:50:12.783556,6,46,21,0.08864255253030974,0.08033238823717836,1.103447245569196
4694.T,3622.59326171875,93,3334.486328125,-26793.94482421875,-7.95,2021-05-10 15:50:12.783556,2021-05-13 15:50:12.783556,3,48,35,0.12483709480197518,0.09647985540647598,1.2939187592687436
3107.T,1681.317626953125,201,1584.8714599609375,-19385.679565429688,-5.74,2021-05-11 15:50:12.783556,2021-05-31 15:50:12.783556,13,74,48,0.2039037825004432,0.12727073406133013,1.602126239031391
5857.T,2075.30615234375,162,2070.820068359375,-726.74560546875,-0.22,2021-05-07 15:50:12.783556,2021-06-08 15:50:12.783556,21,66,27,0.19205614755546205,0.09857315807545892,1.9483615144849147
6305.T,3374.385498046875,94,3295.370849609375,-7427.376953125,-2.34,2021-05-31 15:50:12.783556,2021-06-09 15:50:12.783556,7,181,59,0.3590349573825341,0.13911846796985516,2.58078573335304
7733.T,2358.8203125,132,2264.566162109375,-12441.5478515625,-4.0,2021-06-09 15:50:12.783556,2021-06-23 15:50:12.783556,9,95,91,0.20665926039715235,0.17389760190940817,1.1883962638243357
2914.T,1824.7684326171875,170,1835.333984375,1796.143798828125,0.58,2021-05-13 15:50:12.783556,2021-06-30 15:50:12.783556,32,49,43,0.11953498649388024,0.061627914858022256,1.9396240610973725
9602.T,4501.24609375,74,4481.67529296875,-1448.2392578125,-0.43,2021-06-08 15:50:12.783556,2021-07-01 15:50:12.783556,15,172,59,0.19699689466243037,0.13804349187074041,1.4270639781185197
8058.T,2763.524658203125,113,2742.53369140625,-2371.979248046875,-0.76,2021-06-30 15:50:12.783556,2021-07-01 15:50:12.783556,0,27,25,0.10204758520156637,0.06671077783713529,1.5297016240869021
7313.T,1557.0146484375,206,1456.298828125,-20747.458984375,-6.47,2021-07-01 15:50:12.783556,2021-07-09 15:50:12.783556,6,461,104,0.4445235573486609,0.20760927375045723,2.141154628203028
