STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,CUP LEN,HANDLE LEN,CUP DEPTH,HANDLE DEPTH,RRR,1000000
1925.T,2574.505859,129,2594.544678,2585.007568,0.78,2020-10-29,2020-11-05,5,97,42,0.231467667,0.096805018,2.391070943,1002585.008
8750.T,1504.001709,221,1449.253174,-12099.42627,-3.64,2020-10-26,2020-12-16,37,83,53,0.226534347,0.108604139,2.085872138,990485.5813
8035.T,9327.798828,36,13119.32422,136494.9141,40.65,2020-11-06,2021-02-03,61,47,16,0.115057027,0.077161589,1.491117892,1126980.495
3407.T,854.4783936,390,1054.05603,77835.27832,23.36,2020-10-27,2021-02-18,78,98,42,0.245085746,0.085557773,2.864564351,1204815.774
2670.T,1713.385742,240,1721.636353,1980.146484,0.48,2021-03-04,2021-03-26,16,90,22,0.147598301,0.075336569,1.959185329,1206795.92
5019.T,2019.371826,159,2518.901611,79425.23584,24.74,2020-12-16,2021-04-02,72,69,19,0.127485208,0.062001784,2.056153875,1286221.156
5929.T,1154.919922,409,1283.757202,52694.44763,11.16,2021-02-04,2021-04-06,38,51,19,0.123622045,0.077952765,1.585858365,1338915.604
3038.T,3032.857422,154,2807.133301,-34761.51465,-7.44,2021-04-15,2021-05-11,18,36,28,0.1003279,0.086885212,1.154717793,1304154.089
4812.T,4063.979492,113,3546.396973,-58486.82471,-12.74,2021-04-14,2021-05-13,21,42,22,0.149764212,0.097877395,1.530120533,1245667.264
7951.T,5989.179688,66,6085.935059,6385.854492,1.62,2021-05-21,2021-06-18,19,127,35,0.149425519,0.087237565,1.712857527,1252053.119
2914.T,1824.343872,237,1835.333984,2604.656616,0.6,2021-05-11,2021-06-30,34,49,38,0.119562604,0.061642391,1.939616584,1254657.775
9682.T,2537.125488,165,2415.994873,-19986.55151,-4.77,2021-07-07,2021-08-04,20,85,21,0.078666415,0.059679208,1.318154463,1234671.224
9503.T,976.5946045,410,976.5946045,0,0,2021-08-06,2021-09-06,21,34,20,0.065207246,0.036795605,1.772147665,1234671.224
6849.T,3121.531006,135,3576.286621,61392.00806,14.57,2021-07-09,2021-10-01,58,61,22,0.11938465,0.058461599,2.042103732,1296063.232
9434.T,1265.363037,326,1343.758057,25556.77637,6.2,2021-03-26,2021-10-04,128,182,34,0.196747446,0.048446476,4.061130197,1321620.008
5019.T,2468.687988,162,2873.720459,65615.26025,16.41,2021-09-06,2021-11-02,38,55,24,0.10428988,0.068786857,1.516130909,1387235.269
6055.T,1354.227417,341,1489.650146,46179.15076,10,2021-10-13,2021-11-18,25,62,28,0.164492789,0.096376831,1.706766936,1433414.419
4503.T,1837.834961,250,1727.762451,-27518.12744,-5.99,2021-10-12,2021-11-29,33,71,34,0.145966655,0.057404502,2.542773656,1405896.292
8876.T,2354.407227,216,2049.206055,-65923.45313,-12.96,2021-11-18,2021-11-29,7,46,20,0.178600851,0.101646057,1.757085876,1339972.839
9759.T,2085.895996,223,2010.856812,-16733.73816,-3.6,2021-11-02,2021-11-30,20,259,45,0.217601824,0.14253192,1.526688366,1323239.101
4684.T,20854.35547,21,19341.75391,-31764.63281,-7.25,2021-12-14,2022-01-07,17,33,21,0.104819722,0.098268753,1.066663802,1291474.468
6326.T,2433.624512,182,2473.650879,7284.798828,1.64,2021-12-08,2022-01-24,32,51,32,0.126519217,0.116357901,1.08732811,1298759.267
8113.T,4804.800781,91,4363.223633,-40183.52051,-9.19,2021-12-03,2022-01-28,39,206,81,0.196418424,0.172611712,1.137920601,1258575.746
1719.T,806.710083,509,791.2314453,-7878.626587,-1.92,2022-01-17,2022-02-10,15,30,28,0.072234774,0.065462743,1.103448631,1250697.12
8905.T,1569.70166,270,1512.178223,-15531.32813,-3.66,2022-02-03,2022-02-25,16,52,26,0.095495573,0.05945952,1.60606028,1235165.791
7313.T,1442.231445,294,1254.796753,-55105.79956,-13,2022-02-07,2022-03-07,20,74,18,0.153008999,0.092189454,1.659723457,1180059.992
9759.T,2035.553467,197,1933.918091,-20022.16907,-4.99,2022-02-14,2022-03-08,16,323,85,0.222983469,0.169855387,1.312784205,1160037.823
