STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,CUP LEN,HANDLE LEN,CUP DEPTH,HANDLE DEPTH,RRR,THRESHOLD,1000000
1925.T,2574.506104,129,2594.544434,2584.94458,0.78,2020-10-29,2020-11-05,5,97,42,0.23146774,0.096805104,2.391069569,0.05,1002584.945
8252.T,1997.451172,171,1707.965454,-49502.05774,-14.49,2020-11-12,2020-12-17,25,123,33,0.319052024,0.115474524,2.762964621,0.05,953082.8868
8035.T,9327.797526,35,13119.32552,132703.4798,40.65,2020-11-06,2021-02-03,61,47,16,0.115056905,0.077161528,1.491117507,0.05,1085786.367
4578.T,4152.311523,70,4271.126953,8317.080078,2.86,2020-12-18,2021-02-17,39,57,19,0.175932187,0.056039075,3.139455555,0.05,1094103.447
3407.T,854.4784546,390,1054.055786,77835.1593,23.36,2020-10-27,2021-02-18,78,98,42,0.245085731,0.085557767,2.864564381,0.05,1171938.606
2670.T,1713.38562,207,1721.63623,1707.876343,0.48,2021-03-04,2021-03-26,16,90,22,0.147598314,0.075336646,1.959183509,0.05,1173646.482
5929.T,1154.919922,399,1283.757324,51406.12354,11.16,2021-02-04,2021-04-06,38,51,19,0.12362204,0.077952554,1.585862589,0.05,1225052.606
1808.T,1249.837402,285,1329.378418,22669.18945,6.36,2021-03-10,2021-04-21,27,151,24,0.237992393,0.067632878,3.518886062,0.05,1247721.795
4812.T,4063.979492,126,3546.396973,-65215.39746,-12.74,2021-04-14,2021-05-13,21,42,22,0.149764212,0.097877396,1.530120516,0.05,1182506.398
3038.T,3042.80127,124,2827.020752,-26756.78418,-7.09,2021-04-21,2021-05-17,18,36,33,0.100000029,0.086601272,1.154717793,0.02,1155749.614
9435.T,20910.02734,16,19079.23828,-29292.625,-8.76,2021-05-24,2021-06-16,16,62,36,0.087984895,0.081777737,1.075902795,0.02,1126456.989
2914.T,1824.768311,246,1835.333984,2599.155762,0.58,2021-05-13,2021-06-30,32,49,43,0.119534794,0.061627852,1.939622926,0.02,1129056.144
4974.T,2844.468018,113,2710.757813,-15109.25317,-4.7,2021-06-16,2021-07-08,15,69,15,0.118302699,0.073385205,1.612078327,0.05,1113946.891
9682.T,2537.125732,178,2415.994873,-21561.29297,-4.77,2021-07-07,2021-08-04,20,85,21,0.078666311,0.059679205,1.318152798,0.02,1092385.598
9503.T,976.5945435,441,976.5945435,0,0,2021-08-06,2021-09-06,21,34,20,0.065207064,0.036795545,1.772145635,0.02,1092385.598
6849.T,3121.531006,98,3576.286621,44566.05029,14.57,2021-07-09,2021-10-01,58,61,22,0.119384572,0.058461599,2.04210239,0.02,1136951.649
9434.T,1265.362915,281,1343.757935,22029.00049,6.2,2021-03-26,2021-10-04,128,182,34,0.196747514,0.048446383,4.061139344,0.05,1158980.649
5019.T,2468.687988,174,2873.720215,70475.60742,16.41,2021-09-06,2021-11-02,38,55,24,0.104289981,0.068787057,1.516127956,0.05,1229456.257
6055.T,1354.227417,269,1489.650146,36428.71423,10,2021-10-13,2021-11-18,25,62,28,0.164492699,0.096376831,1.706766005,0.02,1265884.971
5802.T,1456.484863,250,1452.725098,-939.9414063,-0.26,2021-10-14,2021-11-29,32,57,15,0.148919997,0.067420418,2.208826364,0.02,1264945.029
8876.T,2354.407227,170,2049.206055,-51884.19922,-12.96,2021-11-18,2021-11-29,7,46,20,0.178600851,0.101646162,1.757084061,0.05,1213060.83
9759.T,2085.895996,240,2010.856812,-18009.4043,-3.6,2021-11-02,2021-11-30,20,259,45,0.217601882,0.142531803,1.526690029,0.05,1195051.426
6326.T,2433.624756,163,2473.650879,6524.258057,1.64,2021-12-08,2022-01-24,32,51,32,0.126519206,0.116357886,1.08732816,0.05,1201575.684
1719.T,806.710083,496,791.2313843,-7677.43457,-1.92,2022-01-17,2022-02-10,15,30,28,0.072234774,0.065462819,1.103447359,0.02,1193898.249
8303.T,1978.266235,201,2122.751953,29041.62927,7.3,2021-12-14,2022-02-24,48,174,88,0.319696109,0.145072601,2.20369737,0.02,1222939.879
9715.T,2977.485352,136,2707.722412,-36687.75977,-9.06,2022-03-02,2022-03-08,4,37,19,0.156856697,0.081664135,1.9207538,0.02,1186252.119
1942.T,825.6455688,470,776.2844238,-23199.73816,-5.98,2022-03-23,2022-04-08,11,51,26,0.076049954,0.063564144,1.196428517,0.05,1163052.381
8308.T,519.7984619,702,490.402771,-20635.77502,-5.66,2022-04-14,2022-05-12,16,42,20,0.178644761,0.075430424,2.368338288,0.02,1142416.606
5020.T,429.3387451,952,485.5211487,53485.64819,13.09,2022-03-04,2022-06-22,72,119,17,0.116869262,0.063766241,1.83277641,0.02,1195902.254
6988.T,8645.459961,39,8645.459961,0,0,2022-05-13,2022-06-22,27,72,46,0.193842919,0.092991403,2.084525154,0.02,1195902.254
8410.T,233.2826843,1669,243.2444153,16626.12897,4.27,2022-03-24,2022-08-04,88,145,42,0.123913993,0.0750989,1.650010755,0.05,1212528.383
6268.T,3251.823486,124,3197.154785,-6778.918945,-1.68,2022-06-28,2022-08-29,43,64,19,0.190801162,0.090504491,2.10819551,0.05,1205749.464
6954.T,4339.980859,92,4425.755469,7891.264063,1.98,2022-06-29,2022-08-29,42,75,19,0.158161124,0.09768292,1.619127722,0.02,1213640.728
6113.T,1031.697876,390,985.5306396,-18005.22217,-4.47,2022-08-30,2022-09-22,16,54,25,0.113242007,0.052054845,2.175436452,0.05,1195635.506
8053.T,1807.376831,222,1710.056396,-21605.13647,-5.38,2022-08-29,2022-09-26,19,41,37,0.120256372,0.039743605,3.025804317,0.05,1174030.369
5802.T,1474.37207,278,1473.894043,-132.8916016,-0.03,2022-08-05,2022-09-27,36,76,56,0.117040742,0.075526822,1.549657983,0.05,1173897.478
4088.T,1725.466797,229,1618.422974,-24513.03552,-6.2,2022-10-07,2022-10-20,9,52,24,0.114196783,0.056538722,2.019797749,0.02,1149384.442
3738.T,1566.145508,249,1570.934937,1192.567749,0.31,2022-10-03,2022-10-27,17,73,70,0.069933273,0.049610793,1.409638281,0.02,1150577.01
5947.T,3566.702148,109,3066.513672,-54520.54395,-14.02,2022-10-06,2022-11-04,21,212,49,0.28458821,0.090520015,3.1439258,0.02,1096056.466
1942.T,828.2034912,432,829.1732788,418.9482422,0.12,2022-11-04,2022-12-02,20,202,100,0.106438752,0.050853923,2.093029349,0.02,1096475.414
6501.T,6896.946289,55,7040.447266,7892.553711,2.08,2022-11-02,2022-12-07,25,268,74,0.380466368,0.154171671,2.467809838,0.05,1104367.968
9434.T,1423.718872,252,1406.159546,-4424.950195,-1.23,2022-11-09,2022-12-09,22,43,34,0.046274165,0.032333431,1.431155413,0.05,1099943.018
9531.T,2541.938232,143,2404.086914,-19712.73853,-5.42,2022-12-14,2023-01-06,14,28,15,0.109230729,0.086923112,1.256636203,0.05,1080230.279
7956.T,2084.365479,178,1960.936768,-21970.31055,-5.92,2022-12-08,2023-01-12,22,133,86,0.277569533,0.175000079,1.586110903,0.02,1058259.969
8056.T,3191.77002,114,3001.435059,-21698.18555,-5.96,2022-12-12,2023-02-03,33,205,43,0.205905873,0.090214077,2.28241401,0.05,1036561.783
5332.T,4890.303711,70,4231.430176,-46121.14746,-13.47,2023-01-11,2023-03-14,41,190,96,0.194550313,0.192614768,1.010048788,0.02,990440.6357
8425.T,3209.845703,109,3349.195068,15189.08081,4.34,2023-01-13,2023-03-14,39,89,64,0.107037106,0.056886243,1.881599152,0.02,1005629.716
9502.T,1338.891113,257,1345.682495,1745.385132,0.51,2023-02-03,2023-03-20,31,160,28,0.175408557,0.086956471,2.01719957,0.05,1007375.102
8113.T,5285.242188,63,5156.722656,-8096.730469,-2.43,2023-03-24,2023-05-10,29,57,39,0.108086704,0.066541022,1.624361958,0.05,999278.3711
9434.T,1475.921753,231,1472.962646,-683.5535889,-0.2,2023-03-28,2023-05-23,36,72,18,0.034083621,0.027974263,1.218392086,0.05,998594.8175
6981.T,2524.873047,132,2681.740479,20706.50098,6.21,2023-03-23,2023-06-23,60,83,44,0.176851725,0.082581694,2.141536664,0.05,1019301.319
6762.T,4823.214355,67,5310.977051,32680.10059,10.11,2023-05-10,2023-06-27,32,115,60,0.192676637,0.104451013,1.844660306,0.05,1051981.419
6954.T,4766,71,4943,12567,3.71,2023-05-25,2023-06-27,21,205,75,0.24956443,0.097126189,2.569486491,0.05,1064548.419
8905.T,1812.503174,195,1708.002075,-20377.71423,-5.77,2023-06-27,2023-07-13,12,111,39,0.086695465,0.067446285,1.285400154,0.05,1044170.705
4061.T,2657.062988,133,2656.08374,-130.2399902,-0.04,2023-06-29,2023-07-21,16,32,16,0.093220296,0.045320525,2.056911212,0.05,1044040.465
1820.T,3470.166748,103,3452.541748,-1815.375,-0.51,2023-07-04,2023-08-04,23,35,19,0.110045191,0.028498848,3.861390929,0.05,1042225.09
4348.T,2294.401367,145,2845.892578,79966.22559,24.04,2023-07-18,2023-09-15,43,33,23,0.086184539,0.080987428,1.064171825,0.05,1122191.315
1878.T,14939.49219,24,15632.86523,16640.95313,4.64,2023-08-04,2023-09-22,35,216,32,0.237493006,0.064845261,3.662457366,0.05,1138832.269
2897.T,13100,30,11940,-34800,-8.85,2023-10-06,2023-10-16,6,86,63,0.126290033,0.081159372,1.556074541,0.02,1104032.269
