stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,cup_len,handle_len,cup_depth,handle_depth,rrr
CSCO,43.87,4558,38.97,-22334.2,-11.17,2020-08-12,2020-08-13,1,113,67,0.365397766,0.095965352,3.80760095
WDAY,191.6,1020,243.88,53325.6,27.29,2020-08-24,2020-08-28,4,140,42,0.49191023,0.132985386,3.698979592
MCHP,51.87,3769,53.25,5201.22,2.66,2020-08-21,2020-10-16,38,142,75,0.541931752,0.145556198,3.723178808
CTSH,67.38,3099,71.23,11931.15,5.71,2020-09-17,2020-10-23,24,174,48,0.442267735,0.060255269,7.339901478
NXPI,126.24,1654,127.42,1951.72,0.93,2020-10-05,2020-10-27,15,200,29,0.606622307,0.115969582,5.230874317
ADI,111.28,1877,112.8,2853.04,1.37,2020-08-31,2020-11-02,42,106,83,0.402318476,0.144051042,2.792888334
MDLZ,54.52,3682,55.06,1988.28,0.99,2020-10-16,2020-11-17,21,196,41,0.318231842,0.089875275,3.540816327
XEL,67.06,3116,64.14,-9098.72,-4.35,2020-10-08,2020-11-19,29,167,57,0.341634357,0.094542201,3.613564669
CMCSA,44.9,4775,47.13,10648.25,4.97,2020-11-12,2020-12-21,27,242,54,0.328285078,0.131180401,2.502546689
DOW,45.53,4709,48.56,14268.27,6.65,2020-11-13,2020-12-23,28,262,55,0.608829343,0.139248847,4.372239748
MDLZ,54.17,3796,54.19,75.92,0.04,2020-11-19,2021-01-14,38,196,76,0.320287982,0.119438804,2.681607419
IBM,105.18,2156,107.28,4527.6,2,2020-12-31,2021-01-15,10,62,19,0.231602966,0.04744248,4.881763527
JNJ,146.58,1548,159.67,20263.32,8.93,2021-01-04,2021-01-26,16,35,45,0.123686724,0.047277937,2.616161616
PEP,134.83,1525,131.05,-5764.5,-2.8,2020-12-03,2021-02-08,45,197,90,0.303344953,0.100941927,3.005143277
KDP,28.8,7144,30.77,14073.68,6.84,2020-12-04,2021-03-08,62,264,124,0.413888889,0.151388889,2.733944954
