stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
6158.HK,0.7900000214576721,42196,0.699999988079071,-3797.641408443451,2022-02-23 15:11:48.066772,2022-02-24 15:11:48.066772
2137.HK,13.0,2272,16.18000030517578,7224.960693359375,2022-02-24 15:11:48.066772,2022-03-01 15:11:48.066772
0336.HK,4.6491193771362305,7169,4.204936504364014,-3184.347014904022,2022-02-21 15:11:48.066772,2022-03-02 15:11:48.066772
0354.HK,7.2122883796691895,4622,6.637682914733887,-2655.8264589309692,2022-02-22 15:11:48.066772,2022-03-03 15:11:48.066772
6158.HK,0.6700000166893005,54869,0.6000000238418579,-3840.8296075463295,2022-03-01 15:11:48.066772,2022-03-07 15:11:48.066772
1810.HK,14.819999694824219,2034,13.680000305175781,-2318.758758544922,2022-03-02 15:11:48.066772,2022-03-07 15:11:48.066772
0486.HK,3.6060616970062256,8508,4.742218017578125,9666.41797542572,2022-03-03 15:11:48.066772,2022-03-07 15:11:48.066772
1811.HK,4.440899848937988,7588,3.9987752437591553,-3354.841504096985,2022-03-09 15:11:48.066772,2022-03-11 15:11:48.066772
6158.HK,0.6000000238418579,56163,0.5199999809265137,-4493.042410254478,2022-03-07 15:11:48.066772,2022-03-14 15:11:48.066772
3690.HK,135.39999389648438,224,112.5999984741211,-5107.198974609375,2022-03-11 15:11:48.066772,2022-03-14 15:11:48.066772
0992.HK,7.257473945617676,4643,7.826687335968018,2642.857771396637,2022-03-08 15:11:48.066772,2022-03-22 15:11:48.066772
6158.HK,0.6499999761581421,55913,0.5899999737739563,-3354.78013330698,2022-03-22 15:11:48.066772,2022-03-25 15:11:48.066772
0175.HK,10.414488792419434,2613,11.440157890319824,2680.0733528137207,2022-03-14 15:11:48.066772,2022-03-28 15:11:48.066772
0384.HK,8.574833869934082,3175,9.574121475219727,3172.7381467819214,2022-03-15 15:11:48.066772,2022-03-29 15:11:48.066772
6158.HK,0.5899999737739563,55913,0.7200000286102295,7268.693066060543,2022-03-25 15:11:48.066772,2022-04-04 15:11:48.066772
1316.HK,4.7989115715026855,6229,4.473728656768799,-2025.5643758773804,2022-03-28 15:11:48.066772,2022-04-11 15:11:48.066772
0003.HK,9.228198051452637,3294,8.74856185913086,-1579.9216175079346,2022-03-29 15:11:48.066772,2022-04-12 15:11:48.066772
0586.HK,22.49901008605957,1789,21.249065399169922,-2236.151044845581,2022-04-04 15:11:48.066772,2022-04-19 15:11:48.066772
0020.HK,5.050000190734863,7535,4.460000038146973,-4445.651149749756,2022-04-19 15:11:48.066772,2022-04-25 15:11:48.066772
0003.HK,8.74856185913086,3240,8.441595077514648,-994.5723724365234,2022-04-12 15:11:48.066772,2022-04-26 15:11:48.066772
2382.HK,106.82292175292969,265,109.2979736328125,655.8887481689453,2022-04-13 15:11:48.066772,2022-04-27 15:11:48.066772
0285.HK,13.559815406799316,2478,13.65922737121582,246.34284782409668,2022-04-25 15:11:48.066772,2022-05-10 15:11:48.066772
0003.HK,8.441595077514648,3240,8.06747817993164,-1212.1387481689453,2022-04-26 15:11:48.066772,2022-05-10 15:11:48.066772
0020.HK,4.599999904632568,6297,4.53000020980835,-440.78807830810547,2022-04-28 15:11:48.066772,2022-05-12 15:11:48.066772
0586.HK,19.47029685974121,1540,19.326072692871094,-222.10521697998047,2022-05-10 15:11:48.066772,2022-05-24 15:11:48.066772
3968.HK,40.70225143432617,737,45.81414794921875,3767.46773147583,2022-05-11 15:11:48.066772,2022-05-25 15:11:48.066772
