STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
2688.HK,37.98430252075195,5265,41.31477355957031,17534.930019378662,8.77,2013-11-14 09:39:20.633768,2013-11-19 09:39:20.633768,3,27.61315833836204,15.975375336948101,594.8073957417593
0467.HK,0.6830830574035645,292806,0.6947594285011292,3418.9115155935287,1.71,2013-11-18 09:39:20.633768,2013-11-21 09:39:20.633768,3,13.999846861424903,11.99977107698295,658.2681256341149
3888.HK,18.484514236450195,10819,17.475582122802734,-10915.63653755188,-5.46,2013-11-11 09:39:20.633768,2013-11-22 09:39:20.633768,9,19.847723791062975,14.254674942381001,449.9484571537221
0867.HK,4.885123252868652,40942,5.175042152404785,11869.85958480835,5.93,2013-11-15 09:39:20.633768,2013-12-06 09:39:20.633768,15,24.456732859956176,18.8857020689342,656.7784503005901
0992.HK,5.812929153442383,34456,5.88250732421875,2397.385452270508,1.2,2013-11-29 09:39:20.633768,2013-12-06 09:39:20.633768,5,78.61519099258452,76.21502447236534,259.05729538208277
0011.HK,84.15462493896484,2380,84.28776550292969,316.8745422363281,0.16,2013-11-22 09:39:20.633768,2013-12-09 09:39:20.633768,11,31.428855044344004,23.292934423249513,364.85327697061433
3311.HK,8.952020645141602,23310,8.483597755432129,-10918.937559127808,-5.23,2013-11-20 09:39:20.633768,2013-12-16 09:39:20.633768,18,64.074641826521,42.13772801988213,606.8517079226399
0535.HK,0.4914206266403198,411994,0.4595102369785309,-13146.889078319073,-6.49,2013-12-18 09:39:20.633768,2013-12-19 09:39:20.633768,1,19.64098836703411,17.408047710999444,336.53649814166295
0493.HK,1.2321207523345947,166293,1.2595012187957764,4553.179909229279,2.22,2013-12-13 09:39:20.633768,2013-12-27 09:39:20.633768,8,22.758598593290394,16.520621678638886,520.2105753060715
0390.HK,3.0006699562072754,69744,2.764744997024536,-16454.350353240967,-7.86,2013-12-27 09:39:20.633768,2014-01-06 09:39:20.633768,5,10.047477041123795,6.96205093214387,590.9779290897525
0512.HK,0.7498327493667603,256951,0.9819239974021912,59636.07827395201,30.95,2014-01-08 09:39:20.633768,2014-01-10 09:39:20.633768,2,76.27602768324661,75.24012944094635,37.90890051073583
0220.HK,5.525707244873047,36247,5.173750877380371,-12757.362452507019,-6.37,2013-11-27 09:39:20.633768,2014-01-14 09:39:20.633768,31,46.72497646846934,38.818946528679746,26.359891993003785
0291.HK,11.456790924072266,17092,10.860767364501953,-10187.234680175781,-5.2,2013-12-24 09:39:20.633768,2014-01-14 09:39:20.633768,12,16.7461285923562,12.16037766105361,541.0879880444912
0881.HK,9.247730255126953,27261,9.99296760559082,20315.915410995483,8.06,2014-01-10 09:39:20.633768,2014-01-16 09:39:20.633768,4,24.35211858994081,16.452112678786037,449.4565963930485
0014.HK,21.90375328063965,9243,20.779661178588867,-10389.983299255371,-5.13,2013-12-17 09:39:20.633768,2014-01-24 09:39:20.633768,25,15.808827186510626,9.618919812467652,296.8617728887758
1066.HK,8.92870807647705,21930,8.317618370056152,-13401.197261810303,-6.84,2013-12-23 09:39:20.633768,2014-01-24 09:39:20.633768,21,55.08724407312809,45.06608406747889,510.1959467942107
1339.HK,2.618281364440918,71205,2.4804768562316895,-9812.370007038116,-5.26,2014-01-15 09:39:20.633768,2014-01-24 09:39:20.633768,7,10.382194782643179,6.9429804733908025,579.8704627265579
0371.HK,3.168041229248047,72385,2.9808998107910156,-13546.231575012207,-5.91,2014-01-21 09:39:20.633768,2014-01-24 09:39:20.633768,3,49.195449992876675,43.310411849141374,510.46857375448525
0270.HK,4.711711406707764,48669,4.393859386444092,-15469.539974212646,-6.75,2014-01-17 09:39:20.633768,2014-02-04 09:39:20.633768,10,42.142717492816146,29.632542308700646,473.58893612719686
1316.HK,3.559915781021118,55364,3.861461639404297,16694.784903526306,8.47,2014-02-06 09:39:20.633768,2014-02-11 09:39:20.633768,3,26.442592598413693,24.82743781561145,550.0424409040829
3800.HK,2.3281731605529785,88207,2.390376567840576,5486.7759466171265,2.67,2014-02-12 09:39:20.633768,2014-02-17 09:39:20.633768,3,40.66666285873593,32.0366975319793,516.3851482037801
6823.HK,4.067265033721924,50491,4.204780578613281,6943.297377109528,3.38,2014-02-11 09:39:20.633768,2014-02-21 09:39:20.633768,8,71.21957966905633,65.7073820731735,461.92921298230357
2319.HK,16.823461532592773,11715,17.740270614624023,10740.418395996094,5.45,2014-02-10 09:39:20.633768,2014-02-24 09:39:20.633768,10,31.76472825043739,24.244341907844706,452.1865136561505
0384.HK,8.722213745117188,22596,9.739012718200684,22975.589595794678,11.66,2014-02-07 09:39:20.633768,2014-02-27 09:39:20.633768,14,27.872322796222157,27.0914293535445,385.7459036214907
1308.HK,1.5399153232574463,137757,1.5443788766860962,614.8857296705246,0.29,2014-02-21 09:39:20.633768,2014-03-03 09:39:20.633768,6,51.16292225944201,47.53503113401954,57.58194394615305
1359.HK,2.596853494644165,84679,2.4507105350494385,-12375.23967552185,-5.63,2014-02-27 09:39:20.633768,2014-03-04 09:39:20.633768,3,14.992913314502994,11.008498899400015,574.332750679377
0836.HK,11.927718162536621,17663,11.291406631469727,-11239.170573234558,-5.33,2014-02-17 09:39:20.633768,2014-03-10 09:39:20.633768,15,43.9583027899914,34.61308916173802,404.467713486825
0880.HK,19.18403434753418,10824,19.223346710205078,425.5170135498047,0.2,2014-02-26 09:39:20.633768,2014-03-10 09:39:20.633768,8,60.76226092181719,55.066869187072044,90.0482082396271
1238.HK,0.7839586138725281,259701,0.7368032932281494,-12246.283926665783,-6.02,2014-03-11 09:39:20.633768,2014-03-13 09:39:20.633768,2,15.757560079686579,11.939393639499375,312.78745693935247
1313.HK,3.3693652153015137,62317,3.3753933906555176,375.6578035354614,0.18,2014-03-04 09:39:20.633768,2014-03-17 09:39:20.633768,9,62.249916159421204,52.49993596590984,410.0455107756237
0345.HK,9.53299331665039,20094,9.58527660369873,1050.5803699493408,0.55,2014-01-29 09:39:20.633768,2014-03-18 09:39:20.633768,32,25.998114622656452,16.948894066744238,660.6760634047829
3669.HK,4.7217583656311035,44468,4.788261890411377,2957.278739929199,1.41,2014-03-06 09:39:20.633768,2014-03-25 09:39:20.633768,13,54.552814027860656,49.294133263045545,482.12834338281095
0867.HK,6.610136985778809,30158,6.052044868469238,-16830.94207382202,-8.44,2014-03-18 09:39:20.633768,2014-03-25 09:39:20.633768,5,40.89682938508686,37.72194266670358,490.1134403277433
0670.HK,2.510838508605957,79398,2.3692495822906494,-11241.877571582794,-5.64,2014-03-19 09:39:20.633768,2014-03-27 09:39:20.633768,6,19.0615314453647,12.606989530011136,591.7325113514879
1193.HK,19.54838752746582,10198,19.829368591308594,2865.4448890686035,1.44,2014-03-21 09:39:20.633768,2014-03-31 09:39:20.633768,6,32.34043091761371,28.456067053800393,554.3492551361328
0371.HK,3.655947208404541,53999,3.4487547874450684,-11188.183539390564,-5.67,2014-04-01 09:39:20.633768,2014-04-03 09:39:20.633768,2,40.55820105874177,29.513275341678035,630.6593186730264
1093.HK,2.919590473175049,63735,2.7573904991149902,-10337.815346717834,-5.56,2014-04-03 09:39:20.633768,2014-04-07 09:39:20.633768,2,22.63637328538085,20.090907770678633,645.09028967407
0998.HK,2.2368526458740234,89125,2.4706332683563232,20835.69797873497,10.45,2014-03-24 09:39:20.633768,2014-04-08 09:39:20.633768,11,33.95256179013795,21.42987099187265,573.7707529684587
0322.HK,16.628042221069336,11593,16.740646362304688,1305.4198093414307,0.68,2014-03-28 09:39:20.633768,2014-04-08 09:39:20.633768,7,50.775184454108015,37.86165434672357,540.7046686563574
0011.HK,82.48418426513672,2395,86.75411987304688,10226.495780944824,5.18,2014-03-26 09:39:20.633768,2014-04-11 09:39:20.633768,12,28.55706111830448,18.642339786371274,552.8278361975698
0267.HK,9.172533988952637,21424,9.198372840881348,553.5715637207031,0.28,2014-04-09 09:39:20.633768,2014-04-11 09:39:20.633768,2,59.29512949127883,58.09634727842399,434.5279880967548
1339.HK,2.3861899375915527,82355,2.255638360977173,-10751.575092077255,-5.47,2014-04-10 09:39:20.633768,2014-04-15 09:39:20.633768,3,65.00005774906427,52.57154970427306,140.79639984957467
1199.HK,5.742711067199707,34376,6.171964168548584,14756.004611968994,7.47,2014-03-31 09:39:20.633768,2014-04-17 09:39:20.633768,13,8.189887420309152,7.746725697641719,587.9221886805507
2238.HK,4.233788967132568,46415,4.273173809051514,1828.0474376678467,0.93,2014-04-08 09:39:20.633768,2014-04-17 09:39:20.633768,7,86.63801767347414,83.3832291383948,106.94086161767757
0354.HK,2.379335403442383,84083,2.244473934173584,-11339.556920528412,-5.67,2014-04-24 09:39:20.633768,2014-04-28 09:39:20.633768,2,15.09143777517796,9.643535842208188,515.9735883458486
0135.HK,6.781766891479492,29500,6.374646186828613,-12010.060787200928,-6.0,2014-04-17 09:39:20.633768,2014-05-07 09:39:20.633768,10,26.12711525643124,24.88270249599362,76.72143707871747
1766.HK,4.086655139923096,48252,3.8712027072906494,-10396.010779380798,-5.27,2014-04-29 09:39:20.633768,2014-05-19 09:39:20.633768,12,12.92443199900705,10.868593617997183,581.5242304318737
0960.HK,6.4371771812438965,30154,6.565516471862793,3869.9429693222046,1.99,2014-05-12 09:39:20.633768,2014-05-22 09:39:20.633768,8,10.326291205271417,8.971697170243385,607.8107191778853
0941.HK,41.81327438354492,4715,44.18708801269531,11192.531261444092,5.68,2014-05-02 09:39:20.633768,2014-05-23 09:39:20.633768,14,49.712416040424124,41.51140064337273,577.670775507192
0241.HK,5.820000171661377,32070,5.869999885559082,1603.4908246994019,0.86,2014-05-21 09:39:20.633768,2014-05-23 09:39:20.633768,2,65.7553966212831,65.71222673845296,49.62736740546566
1908.HK,0.5755214095115662,343724,0.5265409350395203,-16835.764607429504,-8.51,2014-05-22 09:39:20.633768,2014-05-29 09:39:20.633768,5,54.83719447899948,53.59880463056902,332.9008130537985
6030.HK,12.089452743530273,16056,12.358771324157715,4324.179130554199,2.23,2014-05-13 09:39:20.633768,2014-06-03 09:39:20.633768,14,12.636353644506766,9.272040383522349,641.7171077593553
0011.HK,86.07632446289062,2255,87.58045959472656,3391.824722290039,1.75,2014-05-14 09:39:20.633768,2014-06-06 09:39:20.633768,16,45.67565426979303,33.75744295960202,658.2010803448348
2018.HK,38.07731628417969,5203,42.612884521484375,23598.56153869629,11.91,2014-05-23 09:39:20.633768,2014-06-09 09:39:20.633768,10,60.18863166519061,54.264114255681626,433.72187037192236
0388.HK,111.8092041015625,1772,116.50440216064453,8319.89096069336,4.2,2014-05-26 09:39:20.633768,2014-06-09 09:39:20.633768,9,48.19259869289307,45.58266328154247,514.3742288156815
3993.HK,0.9583703279495239,206888,0.9718307852745056,2784.8070950508118,1.4,2014-06-03 09:39:20.633768,2014-06-09 09:39:20.633768,4,56.64832217800066,54.54596566325481,140.55788525937706
2313.HK,23.206510543823242,7794,23.46078109741211,1981.7846946716309,1.1,2014-05-30 09:39:20.633768,2014-06-10 09:39:20.633768,6,45.07461841237038,39.63715929490278,392.92275594029303
0867.HK,6.876589775085449,29165,6.971490859985352,2767.790141105652,1.38,2014-06-10 09:39:20.633768,2014-06-19 09:39:20.633768,7,38.84614952266675,33.31627599526808,353.3365387231483
0762.HK,8.53530216217041,23498,8.63656997680664,2379.5911083221436,1.19,2014-06-12 09:39:20.633768,2014-06-26 09:39:20.633768,10,32.41325776810389,18.01464194280181,682.30773774583
0014.HK,23.985103607177734,8416,24.150291442871094,1390.2208251953125,0.69,2014-06-20 09:39:20.633768,2014-06-26 09:39:20.633768,4,31.818278827319336,31.48083495729613,580.1279853407067
0728.HK,2.578035831451416,80104,2.617799758911133,3185.2496452331543,1.54,2014-06-09 09:39:20.633768,2014-07-02 09:39:20.633768,16,42.37441854356651,35.26968182319401,514.0925163306767
1128.HK,21.222671508789062,9512,23.371322631835938,20437.969482421875,10.12,2014-06-24 09:39:20.633768,2014-07-02 09:39:20.633768,5,12.230246466251373,8.70976552468024,500.83689198298146
2007.HK,1.8819265365600586,114687,2.0659635066986084,21106.64799427986,9.78,2014-07-02 09:39:20.633768,2014-07-04 09:39:20.633768,2,26.122324372949134,14.663713948721362,605.2321093111926
0966.HK,10.707071304321289,18953,11.401335716247559,13158.393399238586,6.48,2014-06-26 09:39:20.633768,2014-07-11 09:39:20.633768,10,63.47407135687566,57.53892968448154,472.60949510451155
2628.HK,15.864945411682129,14922,16.28244400024414,6229.913938522339,2.63,2014-07-04 09:39:20.633768,2014-07-23 09:39:20.633768,13,31.794793079652653,23.461148963493404,571.1388477738125
3888.HK,22.777568817138672,8805,23.448909759521484,5911.156997680664,2.95,2014-06-13 09:39:20.633768,2014-07-28 09:39:20.633768,30,30.70580737281357,28.22532783685054,257.92435137144287
1910.HK,23.005191802978516,9386,21.742164611816406,-11854.773216247559,-5.49,2014-07-14 09:39:20.633768,2014-07-28 09:39:20.633768,10,66.3574076941472,60.65224572219164,236.0890236711616
