STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,1000000
7974.T,4749.906738,42,4673.867676,-3193.640625,-1.6,2020-10-28,2020-11-09,8,23.55861429,14.53533719,-9.0232771,996806.3594
2413.T,6950.978027,28,8109.309082,32433.26953,16.66,2020-10-30,2020-11-09,6,64.76786783,62.84643658,-1.921431243,1029239.629
4506.T,1208.866333,165,1363.311401,25483.43628,12.78,2020-10-29,2020-11-11,9,14.5316154,9.23776791,-5.293847494,1054723.065
2871.T,2529.540283,79,2847.512451,25119.80127,12.57,2020-10-27,2020-11-13,13,10.01727569,6.588368491,-3.428907195,1079842.866
8766.T,1458.428345,145,1571.623535,16413.30261,7.76,2020-11-09,2020-11-16,5,51.97405967,39.02824706,-12.94581261,1096256.169
5301.T,1109.691895,202,1088.598389,-4260.888184,-1.9,2020-11-11,2020-11-19,6,39.45946367,38.01014326,-1.449320411,1091995.281
5541.T,1578.721924,135,1759.491577,24403.9032,11.45,2020-11-10,2020-11-25,11,41.96656617,28.59254078,-13.37402539,1116399.184
3436.T,1578.730103,143,1768.949707,27201.40344,12.05,2020-11-16,2020-11-26,8,72.14240516,68.13239821,-4.010006946,1143600.588
8354.T,1616.622803,127,1653.90918,4735.369873,2.31,2020-11-02,2020-11-30,20,36.84840477,27.77447206,-9.073932706,1148335.957
7832.T,2854.452474,79,3078.299479,17683.91341,7.84,2020-11-17,2020-11-30,9,73.05971177,67.8484879,-5.211223868,1166019.871
6753.T,1227.190308,181,1328.980469,18424.01917,8.29,2020-11-19,2020-12-01,8,28.35166158,15.47919887,-12.87246271,1184443.89
4704.T,5178.373535,45,5122.990234,-2492.248535,-1.07,2020-11-25,2020-12-03,6,20.04250594,12.40522383,-7.637282114,1181951.641
7733.T,2212.524902,116,2201.233643,-1309.786133,-0.51,2020-11-26,2020-12-07,7,51.93178782,48.11216514,-3.819622676,1180641.855
9983.T,27976.94727,8,27801.1582,-1406.3125,-0.63,2020-11-30,2020-12-08,6,73.63006284,70.18497119,-3.445091644,1179235.543
8630.T,3619.571289,65,3646.806152,1770.266113,0.75,2020-12-01,2020-12-09,6,60.82648128,58.12676467,-2.699716603,1181005.809
7011.T,2365.86084,108,2734.88208,39854.29395,15.6,2020-12-07,2020-12-15,6,66.19511139,58.47928279,-7.715828594,1220860.103
4042.T,1543.97229,152,1506.789307,-5651.813477,-2.41,2020-12-02,2020-12-16,10,51.81989245,49.50099393,-2.318898523,1215208.289
7974.T,4872.229004,48,5392.924805,24993.39844,10.69,2020-12-09,2020-12-21,8,75.17769831,69.75731421,-5.420384107,1240201.688
3863.T,1115.351074,207,1121.956543,1367.332031,0.59,2020-12-03,2020-12-22,13,20.72071809,14.93069703,-5.790021056,1241569.02
8233.T,788.1227417,282,790.9645996,801.4039307,0.36,2020-12-08,2020-12-23,11,40.25209016,38.45707819,-1.795011975,1242370.424
1963.T,937.9302979,318,902.446228,-11283.9342,-3.78,2020-12-15,2020-12-23,6,32.00086485,24.10904852,-7.891816329,1231086.49
6770.T,1283.279785,179,1274.9104,-1498.119873,-0.65,2020-12-16,2020-12-28,7,19.22072665,11.02642958,-8.194297069,1229588.37
1928.T,1779.449463,145,1827.172485,6919.838257,2.68,2020-12-21,2021-01-06,10,59.75709766,57.20650588,-2.550591777,1236508.208
2801.T,6468.900879,36,6860.955078,14113.95117,6.06,2020-12-22,2021-01-06,9,28.90908526,25.34524407,-3.563841191,1250622.159
8630.T,3622.207031,70,3657.348389,2459.89502,0.97,2020-12-24,2021-01-06,7,31.46471619,24.06100648,-7.403709715,1253082.054
4151.T,2614.230469,97,2657.417725,4189.163818,1.65,2020-12-23,2021-01-07,9,21.24617702,14.73930651,-6.50687051,1257271.218
8697.T,2516.018799,92,2501.723389,-1315.177734,-0.57,2020-12-28,2021-01-07,7,39.84155612,31.15370265,-8.687853469,1255956.04
7912.T,1724.405273,148,1746.921997,3332.475098,1.31,2021-01-06,2021-01-18,8,15.68813702,12.06065033,-3.627486692,1259288.515
6501.T,4085.132568,61,4162.084961,4694.095947,1.88,2021-01-07,2021-01-19,8,42.82373117,32.5121916,-10.31153957,1263982.611
3402.T,608.5560303,411,626.1656494,7237.553467,2.89,2021-01-08,2021-01-19,7,50.26137971,39.60255419,-10.65882552,1271220.165
4631.T,2386.127686,105,2284.241943,-10698.00293,-4.27,2021-01-13,2021-01-19,4,48.34299477,38.64113038,-9.701864384,1260522.162
7751.T,1833.935791,136,1994.536011,21841.62988,8.76,2021-01-12,2021-01-22,8,52.10230788,41.46327369,-10.63903419,1282363.792
7201.T,539.8814087,468,535.8046265,-1907.934082,-0.76,2021-01-20,2021-01-28,6,31.04212677,22.11831495,-8.923811827,1280455.858
6902.T,1192.602051,218,1168.077759,-5346.295654,-2.06,2021-01-22,2021-01-28,4,53.14073609,42.79736701,-10.34336907,1275109.562
4021.T,5640.752441,44,5593.824219,-2064.841797,-0.83,2021-01-21,2021-01-29,6,18.05557105,13.50792931,-4.547641745,1273044.72
4183.T,2808.136475,92,3106.386475,27439,10.62,2021-01-25,2021-02-10,12,39.92603763,32.41304456,-7.512993073,1300483.72
7762.T,293.1743774,862,329.8211975,31589.5589,12.5,2021-01-28,2021-02-10,9,64.29676652,58.76407639,-5.532690137,1332073.279
5332.T,6143.813477,40,6738.375977,23782.5,9.68,2021-02-01,2021-02-12,8,33.87727715,25.30446883,-8.572808317,1355855.779
2269.T,3391.836182,73,3391.836182,0,0,2021-01-29,2021-02-15,9,30.55555109,24.74357405,-5.811977039,1355855.779
4452.T,7025.788574,42,6945.075684,-3389.941406,-1.15,2021-02-12,2021-02-17,2,41.24999629,35.6785519,-5.571444394,1352465.838
2282.T,4235.172852,62,4388.924316,9532.59082,3.63,2021-01-26,2021-02-18,15,24.95592085,11.65541525,-13.30050559,1361998.428
9434.T,1230.272827,223,1214.207275,-3582.618042,-1.31,2021-02-16,2021-02-19,3,87.46877285,84.36375523,-3.105017623,1358415.81
6273.T,63702.91406,4,63538.90625,-656.03125,-0.26,2021-02-10,2021-02-22,6,29.21373467,24.5511924,-4.662542271,1357759.779
4063.T,3626.046484,74,3468.349609,-11669.56875,-4.35,2021-02-15,2021-02-24,7,24.96197576,18.8145352,-6.147440564,1346090.21
4021.T,5922.320801,46,5434.269531,-22450.3584,-8.24,2021-02-19,2021-02-26,5,60.97731906,55.91866916,-5.058649892,1323639.852
9107.T,525.7245483,556,526.5106812,437.0898438,0.15,2021-02-17,2021-03-01,8,35.8254912,30.30578495,-5.519706249,1324076.942
5201.T,3491.632324,77,3573.895752,6334.283936,2.36,2021-02-18,2021-03-02,8,35.49295119,27.88730268,-7.605648503,1330411.226
5233.T,2520.057373,101,2399.923584,-12133.5127,-4.77,2021-02-22,2021-03-02,6,32.74233901,22.38113193,-10.36120708,1318277.713
4755.T,1143.546509,225,1127.732422,-3558.169556,-1.38,2021-02-24,2021-03-03,5,76.15386599,73.67522659,-2.478639398,1314719.544
1808.T,1247.249756,207,1236.036621,-2321.118896,-0.9,2021-03-02,2021-03-09,5,75.89456529,71.27514524,-4.619420053,1312398.425
5406.T,564.4660645,444,626.4195557,27507.3501,10.98,2021-02-26,2021-03-10,8,82.2221942,79.59593239,-2.626261804,1339905.775
6302.T,2729.198975,107,2695.872314,-3565.952637,-1.22,2021-03-01,2021-03-10,7,30.18079449,23.14448464,-7.03630985,1336339.822
4151.T,3056.27002,84,3027.437744,-2421.911133,-0.94,2021-03-04,2021-03-16,8,31.93072529,26.33556171,-5.595163582,1333917.911
4502.T,3309.194824,77,3712.266113,31036.48926,12.18,2021-03-03,2021-03-17,10,31.03309479,21.42107427,-9.612020527,1364954.4
9433.T,3169.771973,89,3179.765381,889.4133301,0.32,2021-03-10,2021-03-19,7,60.92819992,51.14934107,-9.778858849,1365843.814
9983.T,31322.14063,9,28349.79883,-26751.07617,-9.49,2021-03-17,2021-03-22,3,19.12125684,14.91503099,-4.206225855,1339092.737
4043.T,2457.164795,105,2533.215576,7985.332031,3.1,2021-03-09,2021-03-24,11,36.63659797,31.13202716,-5.50457081,1347078.069
1721.T,2991.024414,95,2959.445068,-3000.037842,-1.06,2021-03-11,2021-03-24,9,30.57380827,21.44280036,-9.131007909,1344078.032
3436.T,2384.335205,106,2358.498779,-2738.661133,-1.08,2021-03-16,2021-03-24,6,49.55490283,41.99938639,-7.555516437,1341339.37
7205.T,1032.416382,279,926.9282837,-29431.17938,-10.22,2021-03-19,2021-03-25,4,49.53840864,39.51690103,-10.0215076,1311908.191
2871.T,2817.138916,94,2703.007813,-10728.32373,-4.05,2021-03-29,2021-04-01,3,60.05235992,53.61842834,-6.433931579,1301179.867
