STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,1000000,
2412.T,205.8290405,971,207.3536987,1480.443115,0.74,11/5/2013,11/7/2013,2,10.41139875,8.44083197,676.4352037,1001480.443,
4751.T,383.9562378,520,425.2171936,21455.69702,10.75,11/6/2013,11/22/2013,12,67.35190223,52.53420995,368.7177978,1022936.14,
2331.T,202.494873,1092,205.581665,3370.776855,1.52,11/25/2013,12/4/2013,7,37.45469329,22.97512478,454.7207491,1026306.917,
5105.T,856.5593872,233,871.3276367,3441.002136,1.72,11/11/2013,12/5/2013,18,27.09091861,16.90627503,539.3917903,1029747.919,
3092.T,802.6260376,266,740.6170044,-16494.40283,-7.73,12/6/2013,12/13/2013,5,33.3617276,24.38636442,344.090407,1013253.516,
9022.T,1740.245605,115,1635.278809,-12071.18164,-6.03,11/14/2013,12/16/2013,22,26.29012925,18.16777902,595.9799515,1001182.335,
4552.T,421.4271545,507,390.7565918,-15549.97531,-7.28,12/9/2013,12/16/2013,5,42.79788923,31.20482525,489.2367688,985632.3593,
9432.T,0.004633895,43310133,0.004755611,5271.533734,2.63,11/12/2013,12/24/2013,30,49.32662548,29.38933486,635.7358173,990903.8931,
6954.T,3419.883594,57,3694.390625,15646.90078,8.03,12/18/2013,12/26/2013,4,74.28560022,64.0368096,393.6463285,1006550.794,
8308.T,352.5487061,570,363.3135986,6135.98877,3.05,11/15/2013,1/14/2014,39,47.56756073,36.35803972,618.1134571,1012686.783,
5334.T,1736.076172,111,1812.873779,8524.534424,4.42,12/17/2013,1/14/2014,17,38.19221991,33.79230617,493.0488128,1021211.317,
4812.T,453.2297363,430,463.530426,4429.29657,2.27,12/19/2013,1/16/2014,17,23.73208163,18.3244887,571.5392784,1025640.614,
9682.T,719.0512695,289,780.4678345,17749.38727,8.54,12/26/2013,1/16/2014,14,37.77611981,29.44511367,609.356462,1043390.001,
8111.T,522.6703491,399,538.3391113,6251.836121,3,12/27/2013,1/23/2014,18,18.93938335,11.52285089,597.3586394,1049641.837,
2782.T,1955.966797,104,1844.633667,-11578.64551,-5.69,1/15/2014,1/27/2014,8,81.70029126,76.22952914,29.97574321,1038063.192,
4912.T,518.1973877,404,479.9769897,-15441.04077,-7.38,1/17/2014,1/27/2014,6,39.36357371,30.07867462,165.017614,1022622.151,
2801.T,1781.826294,117,1680.985596,-11798.36169,-5.66,1/22/2014,1/27/2014,3,32.12448761,27.05175526,510.8432164,1010823.789,
7282.T,1755.027466,113,1660.923584,-10633.73865,-5.36,1/29/2014,2/4/2014,2,12.3063528,9.100077376,227.2276678,1000190.05,
2587.T,2835.731689,74,2873.654297,2806.272949,1.34,1/21/2014,2/12/2014,14,31.74419871,22.78425059,643.9260821,1002996.323,
3880.T,761.1351929,258,826.923645,16973.42065,8.64,2/5/2014,2/12/2014,5,10.07008876,9.865431771,632.2610659,1019969.744,
6506.T,1256.250244,157,1387.593628,20620.91125,10.46,2/7/2014,2/25/2014,12,11.28241902,6.650444658,693.9585316,1040590.655,
5344.T,3357.658203,58,3768.705811,23840.76123,12.24,2/10/2014,2/27/2014,13,40.7633279,26.80859617,679.6892179,1064431.416,
4528.T,1551.038696,138,1623.769775,10036.88892,4.69,2/12/2014,3/3/2014,13,17.27270407,8.044715979,652.7962348,1074468.305,
7735.T,917.0718384,214,974.7376709,12340.48816,6.29,2/6/2014,3/4/2014,18,13.02975843,7.246736891,629.3159687,1086808.794,
6594.T,2816.746826,77,2873.312744,4355.575684,2.01,2/25/2014,3/6/2014,7,70.61421764,69.17649299,140.1544665,1091164.369,
3038.T,77.52327728,2802,77.79633331,765.1029968,0.35,3/5/2014,3/12/2014,5,64.49807849,54.47472425,341.8458701,1091929.472,
6754.T,961.0855713,226,893.3012695,-15319.2522,-7.05,3/4/2014,3/14/2014,8,89.16958856,85.37378349,3.692136521,1076610.22,
4553.T,1312.7146,168,1234.281738,-13176.7207,-5.97,3/7/2014,3/14/2014,5,75.57843078,73.48476961,354.8999735,1063433.499,
5857.T,593.2785034,361,563.2261963,-10848.88287,-5.07,2/17/2014,3/17/2014,20,14.0024508,11.00248062,559.544913,1052584.616,
4516.T,1768.805176,123,1679.690308,-10961.12878,-5.04,3/6/2014,3/24/2014,12,58.25131816,48.30922465,64.22339798,1041623.488,
3254.T,541.5478516,383,554.541748,4976.662354,2.4,3/18/2014,3/31/2014,9,14.00346308,10.9787788,151.3440723,1046600.15,
2702.T,2501.739258,83,2561.810791,4985.937256,2.4,3/27/2014,4/7/2014,7,37.92575723,27.45606981,613.8193035,1051586.087,
9613.T,715.5984497,299,677.2786255,-11457.62744,-5.35,3/31/2014,4/9/2014,7,30.89552675,20.29757131,620.1921529,1040128.46,
4202.T,660.9467773,313,661.7877808,263.2340698,0.13,3/24/2014,4/16/2014,17,39.54018491,27.3393879,646.4771388,1040391.694,
6754.T,931.8023071,223,935.0578003,725.9749756,0.35,4/17/2014,4/23/2014,2,43.38670647,40.01220567,481.14576,1041117.669,
4704.T,2417.699707,85,2432.857666,1288.426514,0.63,3/28/2014,4/25/2014,18,22.37128077,18.38144318,581.4315452,1042406.095,
3769.T,839.6358032,247,748.9598389,-22396.9632,-10.8,4/15/2014,4/30/2014,9,6.4239022,4.621669902,363.0490005,1020009.132,
4521.T,2550.434082,81,2817.681396,21647.03247,10.48,4/16/2014,5/1/2014,8,80.72881265,69.80905993,400.9312664,1041656.165,
3402.T,574.96875,360,543.0726318,-11482.60254,-5.55,3/26/2014,5/7/2014,26,33.63131489,18.13847128,600.4519119,1030173.562,
3360.T,1607.97998,125,1512.741699,-11904.78516,-5.92,5/8/2014,5/12/2014,2,25.24960908,16.73065926,653.6713483,1018268.777,
4848.T,274.4015198,733,259.0221558,-11273.07382,-5.6,5/9/2014,5/12/2014,1,54.28570753,45.2253441,482.4241898,1006995.703,
2670.T,797.5089111,259,863.894104,17193.76495,8.32,4/25/2014,5/13/2014,10,30.19247067,18.19249026,478.6263965,1024189.468,
6465.T,1882.711304,106,1887.024536,457.2026367,0.23,5/13/2014,5/19/2014,4,70.33082293,68.07784939,388.0974092,1024646.671,
6586.T,2425.140625,85,2447.390625,1891.25,0.92,5/1/2014,5/22/2014,14,30.37036565,21.88417592,572.9463782,1026537.921,
5947.T,2784.492188,75,2934.058919,11217.50488,5.37,4/23/2014,5/26/2014,21,44.71845447,38.37954809,482.8184002,1037755.426,
5020.T,346.4335022,579,364.2344055,10306.72302,5.14,5/20/2014,6/2/2014,8,59.64289732,58.52713744,396.037179,1048062.149,
1802.T,491.5230713,447,528.4448853,16504.05084,7.51,5/26/2014,6/6/2014,8,46.13336301,31.09857079,585.9604652,1064566.199,
1911.T,824.5379028,244,884.7007446,14679.7334,7.3,5/14/2014,6/10/2014,18,64.44460392,42.56785208,475.0894844,1079245.933,
2897.T,4207.907715,48,4444.406738,11351.95313,5.62,5/22/2014,6/10/2014,12,27.3469617,19.13713797,547.4978187,1090597.886,
2502.T,2536.007324,93,2549.181396,1225.188721,0.52,6/6/2014,6/13/2014,5,84.3066446,76.10728169,207.8535742,1091823.075,
4912.T,530.6412964,405,531.5301514,359.9862671,0.17,6/11/2014,6/16/2014,3,89.70896376,83.87805432,131.7741824,1092183.061,
7453.T,871.2235107,237,877.4352417,1472.180237,0.71,5/23/2014,6/18/2014,17,54.36127684,47.69715365,546.319638,1093655.241,
6849.T,2040.178467,103,2199.153076,16374.38477,7.79,6/2/2014,6/19/2014,13,71.98623656,66.15830998,310.3258887,1110029.626,
1928.T,942.8377686,233,974.6427612,7410.563293,3.37,6/17/2014,6/26/2014,7,71.57150633,70.48973959,341.6918098,1117440.189,
9508.T,902.9320679,237,1047.940552,34367.01068,16.06,6/18/2014,7/3/2014,10,15.29411475,11.73783697,360.1111845,1151807.2,
9509.T,648.9367676,348,715.2764893,23086.22314,10.22,6/13/2014,7/4/2014,14,47.11387374,39.08144946,444.0614083,1174893.423,
4536.T,957.9522095,237,1015.294434,13590.10712,5.99,6/26/2014,7/22/2014,17,39.67218496,32.28244758,561.4778032,1188483.53,
3880.T,850.2792969,262,805.3345947,-11775.51196,-5.29,6/23/2014,7/24/2014,22,2.026003427,1.891995198,533.3106127,1176708.018,
6506.T,1182.15625,210,1231.524902,10367.41699,4.18,7/4/2014,7/29/2014,17,42.2927108,26.35160906,681.5915414,1187075.435,
8850.T,1308.318359,161,1349.600098,6646.359863,3.16,7/25/2014,8/5/2014,7,44.01018169,31.81270646,734.4280392,1193721.795,
8308.T,406.4981689,636,381.2266235,-16072.70288,-6.22,7/29/2014,8/6/2014,6,29.15202853,20.62521724,614.9227771,1177649.092,
2670.T,977.1915894,254,1000.205383,5845.503662,2.36,7/14/2014,8/7/2014,18,39.38888649,29.86337744,563.9260194,1183494.596,
2412.T,191.056366,1263,203.5408173,15767.86198,6.53,7/22/2014,8/8/2014,13,38.46143683,28.66059901,620.2387782,1199262.458,
7272.T,1372.818726,173,1384.373413,1998.960938,0.84,8/7/2014,8/18/2014,7,53.76002069,25.36598606,532.3885519,1201261.419,
4967.T,2990.473389,73,3123.281006,9694.956055,4.44,6/19/2014,8/26/2014,47,19.72601499,13.33870044,600.5460137,1210956.375,
8279.T,2752.978271,88,2970.676758,19157.4668,7.91,8/11/2014,8/26/2014,11,53.33176746,40.06152507,669.3367227,1230113.842,
9065.T,2045.956787,119,2054.190186,979.7744141,0.4,8/12/2014,8/26/2014,10,27.9999925,22.16931518,674.0803158,1231093.616,
7419.T,134.9690247,1829,136.0267944,1934.660919,0.78,8/13/2014,8/26/2014,9,8.841950709,5.20169205,610.1942368,1233028.277,
6367.T,5945.189941,40,6541.871094,23867.24609,10.04,8/18/2014,8/28/2014,8,23.78994133,21.58382203,563.3568778,1256895.523,
2146.T,568.704834,432,530.6704712,-16430.84473,-6.69,8/27/2014,9/4/2014,6,47.09675732,36.83867624,315.7582848,1240464.678,
3941.T,394.923645,632,403.8622131,5649.175049,2.26,9/1/2014,9/8/2014,5,76.65605116,66.98266254,288.8761135,1246113.853,
9064.T,1891.757813,132,1785.947144,-13967.0083,-5.59,9/2/2014,9/10/2014,5,42.06919494,37.00941461,324.1355884,1232146.845,
4921.T,590.0637817,414,559.3768311,-12704.39758,-5.2,9/8/2014,9/18/2014,7,50.76001391,46.9197742,403.6223312,1219442.448,
9989.T,2004.163086,121,2076.181885,8714.274658,3.59,9/11/2014,10/1/2014,13,21.84226733,14.38191956,534.5815857,1228156.722,
1951.T,1124.651855,222,1061.463013,-14027.9231,-5.62,9/3/2014,10/2/2014,18,69.42026135,66.34782452,241.2587063,1214128.799,
3349.T,6415.553711,37,6521.356934,3914.719238,1.65,9/10/2014,10/2/2014,14,23.39427228,14.42179621,607.7168847,1218043.518,
2229.T,3079.343018,78,3101.401611,1720.570313,0.72,9/19/2014,10/6/2014,9,22.34141644,13.9887431,602.97742,1219764.089,
8279.T,2780.190674,85,3085.312256,25935.33447,10.97,9/18/2014,10/7/2014,11,21.37506776,12.18379098,630.8000666,1245699.423,
7701.T,858.3604736,282,812.703064,-12875.38953,-5.32,10/3/2014,10/16/2014,9,55.00309956,49.61435198,353.0413757,1232824.034,
4587.T,1118.75,216,1147.5,6210,2.57,10/6/2014,10/20/2014,10,12.50380169,9.817945054,391.8121091,1239034.034,
3436.T,995.7357178,245,1080.479004,20762.1051,8.51,10/22/2014,10/28/2014,4,35.00003183,24.0990653,696.2541568,1259796.139,
7419.T,131.4243774,1856,138.9650879,13995.55859,5.74,10/20/2014,10/31/2014,9,16.23196919,12.51989818,519.5591184,1273791.697,
8053.T,734.7044678,339,814.0864258,26910.48376,10.8,10/15/2014,11/4/2014,14,3.813168085,3.397465848,398.9444971,1300702.181,
8282.T,610.0595093,400,579.1628418,-12358.66699,-5.06,10/27/2014,11/4/2014,6,27.42799625,25.0627852,651.1143606,1288343.514,
4612.T,432.4237671,612,470.783905,23476.40442,8.87,10/29/2014,11/4/2014,4,33.69953127,19.97639948,10.18554951,1311819.919,
7164.T,3067.060059,87,2904.979736,-14100.98804,-5.28,11/5/2014,11/10/2014,3,71.09501844,49.10830972,271.2390407,1297718.93,
9432.T,0.015047926,17816271,0.014188669,-15308.7692,-5.71,11/4/2014,11/12/2014,6,65.28438546,56.97294038,186.8640513,1282410.161,
2384.T,775.4227295,314,856.6896362,25517.80872,10.48,10/24/2014,11/13/2014,14,25.40403933,21.76672594,597.6931825,1307927.97,
9983.T,12444.4541,20,13421.75879,19546.09375,7.85,10/31/2014,11/18/2014,12,44.15245727,30.1659525,649.3612688,1327474.064,0.30792797
1332.T,314.5693359,856,356.4550171,35854.14307,13.32,11/7/2014,11/18/2014,7,83.03134158,75.08897219,152.4967322,1363328.207,
8279.T,3281.277588,76,3290.391846,692.6835938,0.28,11/11/2014,11/18/2014,5,75.95105999,65.32886713,124.5898697,1364020.89,
2782.T,2047.236328,134,1941.911987,-14113.46167,-5.14,11/19/2014,11/26/2014,5,73.83099362,69.20082641,352.5704606,1349907.429,
3549.T,2719.69165,96,2788.693115,6624.140625,2.54,11/13/2014,11/27/2014,10,82.6769155,72.37041083,249.8494884,1356531.569,
1820.T,1639.84436,159,1653.341187,2145.995361,0.82,11/26/2014,11/28/2014,2,31.66666629,29.98126387,572.3262812,1358677.565,
4613.T,1592.899048,173,1790.657227,34212.16492,12.41,11/18/2014,12/1/2014,9,73.97877822,68.45295911,229.6391558,1392889.73,
5947.T,2874.397135,96,2890.330729,1529.625,0.55,11/21/2014,12/1/2014,6,14.71708121,13.17346569,501.8838657,1394419.355,
2670.T,1078.400635,245,1024.118652,-13299.08569,-5.03,11/28/2014,12/8/2014,6,24.77281233,21.00004112,617.0323352,1381120.269,
3167.T,421.8089294,674,398.7172852,-15563.76825,-5.47,12/2/2014,12/10/2014,6,49.33296107,44.21712594,570.977573,1365556.501,
4521.T,4115.623047,69,3840.830811,-18960.66431,-6.68,12/4/2014,12/10/2014,4,27.41359297,14.14920279,662.7766319,1346595.836,
4921.T,690.3665161,411,789.8787842,40899.54218,14.41,12/1/2014,12/11/2014,8,27.33989449,15.66945663,571.0678431,1387495.379,
2914.T,2132.703125,130,1884.615723,-32251.3623,-11.63,12/12/2014,12/17/2014,3,8.746056722,8.135410365,498.538618,1355244.016,
9022.T,2421.005615,111,2660.501709,26584.06641,9.89,12/17/2014,12/24/2014,5,26.61779767,22.91824072,608.403645,1381828.083,
2282.T,4188.229492,62,4608.396973,26050.38379,10.03,11/14/2014,12/25/2014,28,49.10930789,40.8368309,484.9217347,1407878.466,
9449.T,912.3283691,295,864.2837524,-14173.16193,-5.27,12/18/2014,1/7/2015,11,38.79306056,32.04654776,565.9089621,1393705.305,
2871.T,942.2067871,286,974.2061768,9151.825439,3.4,12/19/2014,1/7/2015,10,56.21130365,44.03893001,642.5787402,1402857.13,
9435.T,6023.947266,49,5600.483887,-20749.70557,-7.03,12/24/2014,1/7/2015,7,19.67222538,8.838939223,682.0534555,1382107.424,
