STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,2270000,TOTAL GAIN%
6920.T,8963.579102,100,9790.078125,82649.90234,9.22,2020-11-04,2020-11-09,3,44.12906253,37.79976987,597.5881303,2352649.902,3.640964861
2371.T,2772.808594,100,3189.914551,41710.5957,15.04,2020-11-05,2020-11-10,3,37.47858656,29.24708277,625.2048188,2394360.498,5.478436037
3088.T,1272.849121,300,1449.25354,52921.32568,13.86,2020-11-09,2020-11-16,5,46.51682094,28.6512058,692.555318,2447281.824,7.809771971
6967.T,1758.762695,200,1933.667236,34980.9082,9.94,2020-11-10,2020-11-16,4,30.25354051,22.98032505,667.0735154,2482262.732,9.350781142
7747.T,3233.74292,200,3243.602295,1971.875,0.3,2020-11-02,2020-11-18,12,32.75862341,24.39984916,585.2664263,2484234.607,9.437647883
9069.T,884.4297485,200,908.0144653,4716.943359,2.67,2020-11-06,2020-11-19,9,35.09800247,21.37911721,591.4832963,2488951.55,9.645442744
6902.T,1029.830811,300,1031.017212,355.9204102,0.12,2020-11-11,2020-11-25,10,59.97337706,47.02318226,526.9290263,2489307.471,9.661122057
4980.T,1124.980103,500,1281.778442,78399.16992,13.94,2020-11-16,2020-12-02,12,23.55026764,19.36660799,411.3818983,2567706.641,13.11482998
7974.T,4497.823242,200,4705.275391,41490.42969,4.61,2020-11-19,2020-12-04,11,28.09683011,24.94158576,167.5914319,2609197.07,14.94260222
2384.T,2320.842285,100,2380.716309,5987.402344,2.58,2020-11-24,2020-12-07,9,46.84415939,41.97719731,483.4544397,2615184.473,15.20636443
4689.T,595.7345581,500,597.3920898,828.7658691,0.28,2020-11-20,2020-12-09,13,11.61382171,7.670312617,670.4878781,2616013.239,15.24287394
4205.T,1234.720337,200,1300.396851,13135.30273,5.32,2020-11-26,2020-12-10,10,50.24631347,34.42440182,502.8553055,2629148.541,15.82152164
7733.T,2234.124756,100,2111.888428,-12223.63281,-5.47,2020-11-27,2020-12-14,11,61.71991339,49.42188108,401.3439837,2616924.908,15.28303561
7203.T,1367.530762,600,1479.739258,67325.09766,8.21,2020-12-09,2020-12-14,3,45.26265895,36.66334048,513.9024653,2684250.006,18.24889895
2531.T,1129.572876,300,1147.078369,5251.647949,1.55,2020-12-02,2020-12-15,9,76.42934881,74.060706,319.5482163,2689501.654,18.48024908
4506.T,1334.710449,400,1264.161499,-28219.58008,-5.29,2020-12-14,2020-12-18,4,33.71793763,22.12741116,594.8136874,2661282.074,17.23709577
1721.T,2860.195557,200,2932.376953,14436.2793,2.52,2020-12-16,2021-01-08,15,50.00010747,39.86270445,614.2872459,2675718.353,17.87305521
2670.T,1430.424438,200,1498.91626,13698.36426,4.79,2020-12-23,2021-01-08,10,13.64506482,9.751882628,585.9665439,2689416.718,18.47650738
1605.T,491.5622559,100,544.2935791,5273.132324,10.73,2020-12-29,2021-01-08,7,43.84030561,28.19519971,596.6510161,2694689.85,18.70880396
6506.T,4852.060547,100,5481.569336,62950.87891,12.97,2020-12-24,2021-01-13,12,34.53332864,26.55586945,674.1034197,2757640.729,21.48197043
5411.T,929.3825073,400,879.260437,-20048.82813,-5.39,2021-01-08,2021-01-14,4,48.53822866,30.99929168,624.3162215,2737591.901,20.59876214
9613.T,1328.692749,200,1413.254761,16912.40234,6.36,2020-12-18,2021-01-18,19,33.06934391,27.94493573,570.7537273,2754504.303,21.34380189
2181.T,112.771553,100,114.191246,141.9692993,1.26,2021-01-06,2021-01-18,8,13.02467362,11.66293411,526.7457649,2754646.272,21.35005605
8410.T,194.4086914,100,197.9433899,353.4698486,1.82,2021-01-07,2021-01-19,8,25.99992832,21.0750586,2.339269234,2754999.742,21.36562741
9719.T,1824.891724,100,1718.829468,-10606.22559,-5.81,2020-12-25,2021-01-20,17,21.71428358,15.25887836,583.4115671,2744393.517,20.8983928
1925.T,2727.072754,100,2756.219727,2914.697266,1.07,2020-12-28,2021-01-20,16,7.006219953,4.654226264,675.6519414,2747308.214,21.02679356
9684.T,6061.227539,100,5603.055664,-45817.1875,-7.56,2021-01-14,2021-01-21,5,32.17394468,20.1817944,608.1421403,2701491.026,19.00841526
2379.T,2416.882813,100,2694.838379,27795.55664,11.5,2021-01-22,2021-01-28,4,28.8910437,16.91611576,688.639872,2729286.583,20.23288912
3116.T,1549.015137,200,1742.757324,38748.4375,12.51,2021-01-21,2021-02-03,9,48.53205289,39.80593224,618.6019988,2768035.02,21.93986874
3635.T,2168.615967,100,2244.390869,7577.490234,3.49,2021-01-25,2021-02-03,7,23.14463933,18.39203533,741.15969,2775612.511,22.27367888
2702.T,5065.383789,100,5102.491211,3710.742188,0.73,2020-12-11,2021-02-05,38,33.14284983,21.31310253,531.3199562,2779323.253,22.4371477
1959.T,2946.226318,100,3257.318359,31109.2041,10.56,2021-01-27,2021-02-08,8,33.12818964,31.90770275,539.7080059,2810432.457,23.80759722
3107.T,1601.055542,200,1509.515381,-18308.03223,-5.72,2021-02-03,2021-02-12,6,20.7586078,17.36888572,628.3559926,2792124.425,23.00107598
