STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,2270000,
2801.T,5730.286621,100,5826.755371,9646.875,1.68,2018-11-06,2018-11-16,8,13.50848026,12.37505053,105.3108142,2279646.875,0.424972467
6724.T,1567.889648,300,1575.476074,2275.927734,0.48,2018-11-08,2018-11-19,7,37.08338205,31.3836102,220.2786471,2281922.803,0.525233601
7532.T,1804.10083,300,1662.178101,-42576.81885,-7.87,2018-11-22,2018-11-29,5,62.38277854,51.36366982,229.8254766,2239345.984,-1.350397186
4751.T,1133.192749,100,1253.542236,12034.94873,10.62,2018-11-26,2018-11-29,3,39.26170214,38.23895124,165.036348,2251380.933,-0.820223233
5947.T,2651.354004,200,2625.55013,-5160.77474,-0.97,2018-11-15,2018-11-30,11,55.69660117,42.82921114,76.64182612,2246220.158,-1.047570138
5108.T,3627.59375,300,3860.927734,70000.19531,6.43,2018-11-19,2018-11-30,9,62.76590141,55.09208245,261.4888168,2316220.353,2.036138907
5857.T,947.6965332,500,940.9696655,-3363.433838,-0.71,2018-12-03,2018-12-17,10,47.31354739,35.678333,477.8513088,2312856.919,1.887970015
3291.T,1665.10376,200,1714.620483,9903.344727,2.97,2018-11-29,2018-12-19,14,31.51216225,24.25605053,504.2672377,2322760.264,2.324240708
9503.T,1453.571533,100,1366.175781,-8739.575195,-6.01,2018-12-12,2018-12-19,5,27.43028471,20.26780628,535.0941181,2314020.689,1.939237396
2768.T,1582.509399,400,1547.080322,-14171.63086,-2.24,2018-11-30,2018-12-20,14,44.37379192,40.57213271,509.4565736,2299849.058,1.314936477
8088.T,3596.878662,200,3414.462158,-36483.30078,-5.07,2018-12-07,2018-12-20,9,17.13980566,11.92816248,368.8343058,2263365.757,-0.29225739
3186.T,1145.584229,300,1268.639282,36916.51611,10.74,2019-01-11,2019-01-17,4,54.17718709,41.06675667,33.23435497,2300282.273,1.334020852
3405.T,1297.161133,200,1439.155518,28398.87695,10.95,2018-12-27,2019-01-21,16,13.00587454,6.225258415,665.5005014,2328681.15,2.5850727
7564.T,3727.694824,100,3496.190186,-23150.46387,-6.21,2019-01-07,2019-01-21,10,36.18497505,25.21541649,499.6471018,2305530.686,1.565228477
7269.T,5166.646973,100,5399.370605,23272.36328,4.5,2019-01-08,2019-01-25,13,50.35347507,44.0603036,184.0702288,2328803.05,2.590442718
3962.T,1078.555542,800,1015.037903,-50814.11133,-5.89,2019-01-17,2019-01-28,7,57.72696087,50.6168229,158.5429879,2277988.938,0.351935611
9602.T,3953.945313,100,3680.763184,-27318.21289,-6.91,2019-01-21,2019-01-28,5,72.65625307,68.468728,257.6501921,2250670.725,-0.85150989
3402.T,670.1853027,300,719.9911499,14941.75415,7.43,2018-12-26,2019-01-29,23,3.69372377,2.872138726,613.3183575,2265612.48,-0.193282835
6723.T,615,500,625,5000,1.63,2019-01-24,2019-01-31,5,86.21800403,81.53241447,58.41650531,2270612.48,0.026981482
3382.T,4289.691895,100,4295.117676,542.578125,0.13,2019-01-25,2019-02-01,5,36.7496086,34.48093222,314.2458613,2271155.058,0.050883602
7564.T,3732.419434,300,3486.740967,-73703.54004,-6.58,2019-01-31,2019-02-07,2,57.40211925,52.50958778,312.7952098,2197451.518,-3.195968382
6544.T,840.8110962,700,842.2674561,1019.451904,0.17,2019-01-29,2019-02-08,5,45.73295265,39.11264173,89.76797391,2198470.97,-3.151058607
1973.T,771.1408081,700,728.711792,-29700.31128,-5.5,2019-02-04,2019-02-13,4,49.36683651,29.85557714,345.232083,2168770.658,-4.459442364
9508.T,1165.105835,400,1171.275269,2467.773438,0.53,2019-02-13,2019-02-19,4,35.65217487,34.03417736,525.5921776,2171238.432,-4.350729877
2282.T,3854.084717,100,3609.310303,-24477.44141,-6.35,2019-02-14,2019-02-25,7,26.00005961,23.43849099,563.6362651,2146760.99,-5.429031261
7735.T,1972.961426,300,1950.330933,-6789.147949,-1.15,2019-02-12,2019-02-26,10,31.50374114,25.41179299,426.551968,2139971.842,-5.728112668
9433.T,2244.406982,200,2266.600098,4438.623047,0.99,2019-02-18,2019-02-27,7,43.18408229,37.213283,579.527464,2144410.465,-5.532578614
6326.T,1451.546631,200,1376.267456,-15055.83496,-5.19,2019-02-25,2019-03-01,4,27.92855974,24.43604782,457.9485398,2129354.631,-6.195831255
6301.T,2305.333252,200,2367.639893,12461.32813,2.7,2019-02-19,2019-03-04,9,44.66250348,37.43016666,591.0645251,2141815.959,-5.646874069
9104.T,583.0040894,400,565.6173706,-6954.6875,-2.98,2019-02-20,2019-03-06,10,42.930353,34.16618175,533.5022235,2134861.271,-5.953247967
3288.T,1772.289063,400,1679.010742,-37311.32813,-5.26,2019-02-27,2019-03-08,7,25.72974969,22.11893465,611.0954704,2097549.943,-7.59691881
5105.T,1185.983398,400,1077.70166,-43312.69531,-9.13,2019-03-01,2019-03-08,5,17.33334275,11.02620372,529.6175096,2054237.248,-9.504967062
9697.T,1095.590942,400,1157.872559,24912.64648,5.68,2019-03-04,2019-03-25,15,27.90702476,17.01833671,593.9153514,2079149.894,-8.407493648
6201.T,5349.147949,100,4965.791992,-38335.5957,-7.17,2019-03-12,2019-03-25,9,83.45081683,78.38417444,172.4682272,2040814.298,-10.09628641
7956.T,3930.821533,100,4001.887207,7106.567383,1.81,2019-03-15,2019-03-27,8,31.92308083,26.25129692,627.9351538,2047920.866,-9.783221768
2503.T,2211.022705,100,2233.438965,2241.625977,1.01,2019-03-11,2019-03-28,13,20.33797453,11.34310186,665.1794372,2050162.492,-9.684471725
