STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,2270000,
3880.T,1350.202393,3400,1362.494141,41791.94336,0.91,2017-11-07,2017-11-13,4,77.56627363,60.4303067,468.1235092,2311791.943,1.841054774
8593.T,472.7111816,9600,448.6880798,-230621.7773,-5.08,2017-11-08,2017-11-15,5,53.52931627,44.73437014,613.7755593,2081170.166,-8.318494889
2768.T,1207.700562,3700,1211.498291,14051.59912,0.31,2017-11-21,2017-11-24,3,28.20514415,26.04994096,684.2803535,2095221.765,-7.699481712
5857.T,788.2324829,5700,794.7593384,37203.07617,0.83,2017-11-22,2017-11-24,2,10.170648,8.576085144,566.9743352,2132424.841,-6.060579678
1951.T,2101.152832,2200,2195.397461,207338.1836,4.49,2017-11-16,2017-11-28,8,68.98640994,58.75544376,394.9553865,2339763.025,3.073261009
9519.T,298.75,15000,297,-26250,-0.59,2017-11-17,2017-12-05,12,23.89771837,16.81253411,587.6998677,2313513.025,1.916873344
6098.T,2548.222412,200,2600.688477,10493.21289,2.06,2017-11-30,2017-12-08,6,31.13634102,22.20105146,655.5014563,2324006.238,2.379129418
6976.T,1698.842896,2600,1586.882202,-291097.8027,-6.59,2017-12-05,2017-12-13,6,12.8865969,11.1728429,683.7323619,2032908.435,-10.44456233
1719.T,708.5715942,12700,708.5715942,0,0,2017-11-24,2017-12-15,15,43.45045948,40.87479016,616.387534,2032908.435,-10.44456233
6367.T,12385.5459,700,12493.73633,75733.30078,0.87,2017-11-29,2017-12-19,14,51.35099231,43.21451258,639.6160629,2108641.736,-7.108293575
5713.T,3526.64209,100,4034.808594,50816.65039,14.41,2017-12-08,2017-12-22,10,9.476509439,6.772846188,684.5846062,2159458.386,-4.869674615
4849.T,4278.006836,1000,4713.281738,435274.9023,10.17,2017-12-14,2017-12-26,6,59.98079543,57.1647288,326.4448561,2594733.289,14.30543121
2181.T,104.0851135,800,114.9190979,8667.1875,10.41,2017-12-01,2017-12-27,16,19.72815812,16.95370043,645.8522036,2603400.476,14.68724564
6753.T,3587.407959,1700,3555.254395,-54661.05957,-0.9,2017-12-18,2018-01-02,8,71.87253446,66.78781603,226.6479985,2548739.417,12.27926945
6758.T,4937.546387,2300,5085.913086,341243.4082,3,2017-12-20,2018-01-04,8,22.57620395,14.50095927,467.4245961,2889982.825,27.31201871
2782.T,6421.414063,1000,6091.881836,-329532.2266,-5.13,2018-01-05,2018-01-10,3,42.73384303,29.03576622,667.1388964,2560450.598,12.79518054
6506.T,4611.450684,100,5171.546387,56009.57031,12.15,2017-12-22,2018-01-12,12,40.56728722,35.33051575,665.5156381,2616460.168,15.26256249
4922.T,17119.99219,200,16714.16992,-81164.45313,-2.37,2017-12-27,2018-01-12,11,71.39609239,60.74711039,556.5878865,2535295.715,11.68703592
8194.T,2795.61792,2400,2650.154785,-349111.5234,-5.2,2018-01-04,2018-01-12,6,39.41178494,32.93467677,521.2389788,2186184.192,-3.692326348
8282.T,1241.244263,5000,1335.034668,468952.0264,7.56,2018-01-09,2018-01-19,8,28.20353057,22.54173199,648.76156,2655136.218,16.96635323
