STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
7733.T,1431.4732666015625,3200,1648.7158203125,695176.171875,15.18,2019-11-06 16:03:25.228388,2019-11-07 16:03:25.228388,1,55.54337351303818,41.695593394445716,620.2989463180102
3563.T,1856.5797119140625,2600,2038.83544921875,473864.9169921875,9.82,2019-11-07 16:03:25.228388,2019-11-12 16:03:25.228388,3,60.42556295712624,52.94755923669961,572.6034510421777
6857.T,1126.6334228515625,4200,1153.606201171875,113285.6689453125,2.39,2019-11-11 16:03:25.228388,2019-11-19 16:03:25.228388,6,54.2400740643943,47.01446090342766,510.6078362188062
8174.T,939.6898193359375,5000,1033.8079833984375,470590.8203125,10.02,2019-11-08 16:03:25.228388,2019-11-27 16:03:25.228388,13,26.309406487060567,18.12927650396866,428.5690898783616
9090.T,1151.312744140625,4000,1249.0521240234375,390957.51953125,8.49,2019-11-05 16:03:25.228388,2019-11-29 16:03:25.228388,18,20.454524209528916,13.74523346047408,438.23432853450703
7832.T,2110.2189127604165,4600,2146.806640625,168303.54817708404,1.73,2019-11-12 16:03:25.228388,2019-12-03 16:03:25.228388,15,33.44384047100384,31.977512660458636,505.2648101539121
3635.T,902.4444580078125,100,927.8355712890625,2539.111328125,2.81,2019-11-18 16:03:25.228388,2019-12-04 16:03:25.228388,12,67.7788368717822,65.36004500914635,256.79575016511006
3064.T,1505.9097900390625,3200,1486.352294921875,-62583.984375,-1.3,2019-11-22 16:03:25.228388,2019-12-10 16:03:25.228388,12,37.57490764343051,31.600347120802564,522.0561108223573
7013.T,2340.981689453125,2200,2336.37353515625,-10137.939453125,-0.2,2019-11-27 16:03:25.228388,2019-12-11 16:03:25.228388,10,27.10438510343115,20.452535532144843,681.6790919199643
8410.T,297.7638854980469,100,299.4605712890625,169.6685791015625,0.57,2019-12-09 16:03:25.228388,2019-12-13 16:03:25.228388,4,91.465041949864,89.49807386292078,28.431415514433297
7269.T,4424.71826171875,1100,4401.4541015625,-25590.576171875,-0.53,2019-12-02 16:03:25.228388,2019-12-16 16:03:25.228388,10,7.595058657553397,7.241583311032272,640.8425968755216
1893.T,591.7142944335938,17100,600.5723266601562,151472.35107421875,1.5,2019-12-05 16:03:25.228388,2019-12-16 16:03:25.228388,7,32.10870619571283,18.713548758717973,586.8193774108883
4689.T,380.9404602050781,8800,412.2896728515625,275873.0712890625,8.23,2019-12-13 16:03:25.228388,2019-12-20 16:03:25.228388,5,21.82612851850424,14.527097842365027,560.5810198197923
2433.T,1613.197998046875,3400,1576.61767578125,-124373.095703125,-2.27,2019-12-17 16:03:25.228388,2020-01-08 16:03:25.228388,13,31.620199355399944,27.76560212625222,645.1365818188041
3141.T,3291.67578125,3100,3286.8701171875,-14897.55859375,-0.15,2019-12-20 16:03:25.228388,2020-01-09 16:03:25.228388,11,49.35071016998687,34.84850838546246,643.7926611837332
8876.T,2865.61474609375,1100,2917.80322265625,57407.32421875,1.82,2019-12-26 16:03:25.228388,2020-01-09 16:03:25.228388,9,57.14281561237093,37.19270384900623,570.0572491028612
2181.T,103.24593353271484,200,103.89089965820312,128.99322509765625,0.62,2019-12-27 16:03:25.228388,2020-01-09 16:03:25.228388,8,74.90525609903406,55.75453515027973,85.38186076084274
7550.T,2390.77783203125,2700,2383.980712890625,-18352.2216796875,-0.28,2019-12-24 16:03:25.228388,2020-01-16 16:03:25.228388,14,21.06596692644354,16.719747011764433,625.7291277669831
3626.T,2106.271484375,4500,2084.265625,-99026.3671875,-1.04,2020-01-09 16:03:25.228388,2020-01-24 16:03:25.228388,11,37.999864121124176,21.686369191201255,584.8670539123525
9684.T,5352.64697265625,1200,5211.04248046875,-169925.390625,-2.65,2020-01-10 16:03:25.228388,2020-01-27 16:03:25.228388,10,49.99997755906894,34.65074357163629,587.4254851442446
