STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
4403.T,1637.3726806640625,200,1665.095458984375,5544.5556640625,1.69,2015-11-09 08:59:08.679575,2015-11-17 08:59:08.679575,6,61.894721358697076,52.174666203719084,435.86932166859833
8892.T,199.0060272216797,900,196.77000427246094,-2012.420654296875,-1.12,2015-11-06 08:59:08.679575,2015-11-20 08:59:08.679575,10,16.314055830365824,9.042596338168165,595.0829031842992
2871.T,1488.48974609375,200,1501.04345703125,2510.7421875,0.84,2015-11-05 08:59:08.679575,2015-11-24 08:59:08.679575,13,64.77082070850005,51.62032254723617,503.0899563473758
3141.T,1432.2425537109375,100,1548.3077392578125,11606.5185546875,8.1,2015-11-11 08:59:08.679575,2015-11-27 08:59:08.679575,12,60.06501792316385,39.079446244086185,548.8527619462537
1893.T,405.83441162109375,100,396.9238586425781,-891.0552978515625,-2.2,2015-11-12 08:59:08.679575,2015-11-27 08:59:08.679575,11,19.129214364278656,18.33346854313488,368.50898783891023
9715.T,2694.00830078125,100,2555.961181640625,-13804.7119140625,-5.12,2015-11-24 08:59:08.679575,2015-11-30 08:59:08.679575,4,27.69229242900447,23.014386449800803,594.1933950325142
8572.T,559.6853637695312,600,562.4110107421875,1635.38818359375,0.49,2015-11-17 08:59:08.679575,2015-12-02 08:59:08.679575,11,15.541609063709311,14.819225552498889,497.1143433762461
4182.T,996.05712890625,100,996.05712890625,0.0,0.0,2015-11-20 08:59:08.679575,2015-12-07 08:59:08.679575,11,33.08645358562844,24.948876166893555,613.2831830190227
9433.T,2339.64208984375,100,2217.89794921875,-12174.4140625,-5.2,2015-12-01 08:59:08.679575,2015-12-15 08:59:08.679575,10,69.80732615878719,62.911881690331555,417.06985927810035
8354.T,2212.63037109375,100,2057.821044921875,-15480.9326171875,-7.0,2015-12-07 08:59:08.679575,2015-12-15 08:59:08.679575,6,12.363757195865292,11.29260453436073,482.51241251005837
2371.T,2030.9525146484375,100,2061.330078125,3037.75634765625,1.5,2015-12-11 08:59:08.679575,2015-12-16 08:59:08.679575,3,81.44150337524647,79.21842478418486,173.1384567907884
4503.T,1398.6561279296875,200,1369.6195068359375,-5807.32421875,-2.08,2015-12-16 08:59:08.679575,2016-01-06 08:59:08.679575,13,28.21471897991944,18.93341931442049,672.7451869162276
8411.T,1793.333251953125,100,1697.8516845703125,-9548.15673828125,-5.32,2015-12-17 08:59:08.679575,2016-01-06 08:59:08.679575,12,24.8017879302915,13.661405957160804,657.5054747261802
6305.T,1550.740966796875,200,1471.8336181640625,-15781.4697265625,-5.09,2015-12-25 08:59:08.679575,2016-01-07 08:59:08.679575,8,23.292722208372535,18.449012555054562,410.37075948113426
5021.T,1221.8123779296875,100,1158.6151123046875,-6319.7265625,-5.17,2015-12-28 08:59:08.679575,2016-01-07 08:59:08.679575,7,30.769360674443398,24.05374300904611,273.81435360313185
3407.T,651.4564208984375,100,600.6610107421875,-5079.541015625,-7.8,2015-12-29 08:59:08.679575,2016-01-12 08:59:08.679575,9,42.868387141412654,31.690368950530114,597.9124370197164
9989.T,3306.166748046875,100,3094.95166015625,-21121.5087890625,-6.39,2016-01-13 08:59:08.679575,2016-01-20 08:59:08.679575,5,45.23653664088915,34.91818204402769,1.1863938746350833
8876.T,1254.388916015625,100,1153.7452392578125,-10064.36767578125,-8.02,2016-01-19 08:59:08.679575,2016-01-21 08:59:08.679575,2,69.086947143047,66.5275574264873,403.11902596638146
9517.T,448.2464904785156,200,485.1932678222656,7389.35546875,8.24,2016-01-22 08:59:08.679575,2016-01-27 08:59:08.679575,3,10.332098123833385,7.498530388987064,411.91801819454406
4812.T,985.2296142578125,100,1070.48974609375,8526.01318359375,8.65,2016-01-25 08:59:08.679575,2016-02-01 08:59:08.679575,5,30.11805307889829,19.86444915523868,688.3169272603091
2871.T,1495.663330078125,200,1651.685546875,31204.443359375,10.43,2016-01-27 08:59:08.679575,2016-02-01 08:59:08.679575,3,32.74080943009997,20.01055158688183,464.08737650909256
6723.T,827.0,600,772.0,-33000.0,-6.65,2016-02-01 08:59:08.679575,2016-02-03 08:59:08.679575,2,63.6231884057971,55.93527893587452,16.969783601350095
3769.T,2949.549560546875,100,2725.954345703125,-22359.521484375,-7.58,2016-01-29 08:59:08.679575,2016-02-05 08:59:08.679575,5,56.78574525772169,38.83275219120517,232.23785569983372
8002.T,408.0013122558594,300,376.7484130859375,-9375.869750976562,-7.66,2016-02-08 08:59:08.679575,2016-02-10 08:59:08.679575,0,44.829619427042054,38.53793336571739,4.7313328849584835
2413.T,1313.910888671875,100,1315.371337890625,146.044921875,0.11,2016-02-22 08:59:08.679575,2016-02-26 08:59:08.679575,4,61.626988302658745,56.92395770879407,493.7941704621939
8795.T,877.839111328125,100,848.501953125,-2933.7158203125,-3.34,2016-02-15 08:59:08.679575,2016-02-29 08:59:08.679575,10,10.249791768082694,6.2980488422859935,14.446075503173766
2782.T,2525.182861328125,100,2856.2822265625,33109.9365234375,13.11,2016-02-16 08:59:08.679575,2016-03-02 08:59:08.679575,11,25.42979111478956,18.08116444654804,310.78381839452516
6465.T,3629.62353515625,100,4008.63671875,37901.318359375,10.44,2016-02-18 08:59:08.679575,2016-03-02 08:59:08.679575,9,49.60004037284415,38.70100419677245,519.0433609711727
4091.T,916.60498046875,100,1000.8192749023438,8421.429443359375,9.19,2016-03-01 08:59:08.679575,2016-03-07 08:59:08.679575,4,29.37759544376626,26.382356929499156,357.83534928350105
