STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,22700000,
3563.T,1856.579712,2500,2089.866943,583218.0786,12.57,2019-11-07,2019-11-13,4,60.42556065,52.94755842,572.6038286,23283218.08,0.025692426
6857.T,1126.633301,4000,1153.606079,107891.1133,2.39,2019-11-11,2019-11-19,6,54.24013039,47.01450311,510.6074111,23391109.19,0.030445339
3038.T,1652.78772,2800,1674.989258,62164.30664,1.34,2019-11-18,2019-11-27,7,71.7120038,62.14409961,409.9683056,23453273.5,0.033183855
8174.T,939.6896973,4900,1012.892761,358695.0134,7.79,2019-11-08,2019-12-03,17,26.30935152,18.12924787,428.5698861,23811968.51,0.048985397
7832.T,2110.219076,2200,2146.806641,80492.64323,1.73,2019-11-12,2019-12-03,15,33.44380831,31.97751276,505.2648402,23892461.16,0.052531328
4901.T,4841.787598,1000,4832.435059,-9352.539063,-0.19,2019-11-15,2019-12-10,17,55.72715516,43.82682965,439.1172645,23883108.62,0.052119322
3064.T,1505.90979,3000,1380.254272,-376966.5527,-8.34,2019-11-22,2019-12-13,15,37.57489172,31.60034,522.056405,23506142.06,0.035512866
1893.T,591.7142944,16600,600.5722656,147042.3218,1.5,2019-12-05,2019-12-16,7,32.1087526,18.71350469,586.8192287,23653184.39,0.041990502
7013.T,2340.981934,2000,2319.78418,-42395.50781,-0.91,2019-11-27,2019-12-18,15,27.10443265,20.45255018,681.6792111,23610788.88,0.040122858
4689.T,380.9404602,5300,426.5393066,241673.8861,11.97,2019-12-13,2019-12-26,7,21.82608472,14.52706158,560.5812647,23852462.76,0.050769285
2433.T,1613.197998,3600,1576.617676,-131689.1602,-2.27,2019-12-17,2020-01-08,13,31.62020469,27.76557994,645.1360032,23720773.6,0.044968
8876.T,2865.614502,1400,2917.803223,73064.20898,1.82,2019-12-26,2020-01-09,9,57.14278182,37.19270301,570.0573909,23793837.81,0.048186688
3141.T,3291.675537,1600,3310.896973,30754.29688,0.58,2019-12-20,2020-01-10,12,49.35061119,34.84839987,643.7941481,23824592.11,0.049541503
4848.T,2332.413818,1400,2341.632813,12906.5918,0.4,2019-12-27,2020-01-10,9,70.10571972,53.74290635,630.739836,23837498.7,0.050110075
7550.T,2390.777588,2200,2383.980469,-14953.66211,-0.28,2019-12-24,2020-01-16,14,21.06598325,16.71982745,625.7300928,23822545.04,0.049451323
6670.T,760.2775879,100,694.9616089,-6531.5979,-8.59,2020-01-14,2020-01-27,8,69.25885097,52.2856762,81.42066439,23816013.44,0.049163588
3626.T,2106.271973,2400,2071.691406,-82993.35938,-1.64,2020-01-09,2020-01-31,14,37.99990138,21.68636449,584.865011,23733020.08,0.045507493
9684.T,5352.646973,2500,5107.199219,-613619.3848,-4.59,2020-01-10,2020-02-03,14,49.99989938,34.6507085,587.4257615,23119400.7,0.018475802
8174.T,986.0019531,2700,1089.08374,278320.8252,10.45,2020-01-17,2020-02-07,13,17.17282294,17.03684842,623.4668323,23397721.52,0.030736631
1820.T,2002.620728,1300,1981.001343,-28105.2002,-1.08,2020-01-20,2020-02-12,15,46.05584403,35.49045139,655.9554916,23369616.32,0.029498516
9532.T,1684.993896,3200,1703.946533,60648.4375,1.12,2020-02-04,2020-02-17,9,5.364098008,3.184194218,557.0967334,23430264.76,0.032170254
1605.T,867.0077515,2000,876.2626343,18509.76563,1.07,2020-01-31,2020-02-18,12,8.734670599,7.578231136,455.7029287,23448774.52,0.032985662
7167.T,206.6744232,400,199.8422241,-2732.879639,-3.31,2020-01-29,2020-02-20,16,3.819765601,3.372156418,50.94536552,23446041.65,0.032865271
2587.T,4329.357422,700,3957.3396,-260412.4756,-8.59,2020-02-20,2020-02-27,5,56.27114231,46.20385922,403.646666,23185629.17,0.021393355
4901.T,5035.384277,2400,5044.736816,22446.09375,0.19,2020-02-19,2020-03-02,8,20.53678463,13.62087549,616.6108526,23208075.26,0.02238217
6869.T,6685.709961,700,6123.061035,-393854.248,-8.42,2020-03-02,2020-03-09,5,8.095197342,7.258567106,550.5685135,22814221.02,0.005031763
4523.T,7278.654297,700,6311.597656,-676939.6484,-13.29,2020-03-10,2020-03-13,3,20.30313106,16.31461858,595.6825992,22137281.37,-0.024789367
8591.T,1153.571777,2600,962.4373779,-496949.4385,-16.57,2020-03-17,2020-03-19,2,10.58420863,10.38654501,504.0921722,21640331.93,-0.046681413
9434.T,1180.77771,4000,1087.69397,-372334.9609,-7.88,2020-03-05,2020-03-24,13,42.24121362,27.64917674,617.2670698,21267996.97,-0.063083834
6702.T,8441.633789,200,9468.749023,205423.0469,12.17,2020-03-19,2020-03-30,7,9.847043784,8.597857243,620.5580711,21473420.01,-0.054034361
4768.T,3909.990479,500,4384.504395,237256.958,12.14,2020-03-23,2020-03-31,6,23.33571915,15.59007137,682.7468204,21710676.97,-0.043582512
4021.T,3329.386475,800,3439.798584,88329.6875,3.32,2020-03-25,2020-04-06,8,18.31444473,7.956570438,583.9148865,21799006.66,-0.039691337
9984.T,3675.363281,600,4238.393066,337817.8711,15.32,2020-03-24,2020-04-10,12,14.19246733,7.768878775,339.2545483,22136824.53,-0.024809492
8035.T,7071.147786,2100,7151.120443,167942.5781,1.13,2020-04-07,2020-04-15,4,63.78470534,55.71232113,18.23649024,22304767.11,-0.017411141
6920.T,5387.831543,800,5554.667969,133469.1406,3.1,2020-04-08,2020-04-15,3,78.77940718,69.39904174,73.69257086,22438236.25,-0.011531443
8174.T,1059.2052,100,1092.399536,3319.433594,3.13,2020-04-14,2020-04-27,9,25.01686029,18.06945454,95.8090477,22441555.68,-0.011385212
4188.T,574.4864502,200,524.3237915,-10032.53174,-8.73,2020-04-27,2020-05-01,2,33.47888948,21.32738422,265.6099181,22431523.15,-0.011827174
3880.T,1425.342529,2000,1403.266846,-44151.36719,-1.55,2020-04-10,2020-05-07,16,71.08494237,66.01794056,304.6886833,22387371.78,-0.013772168
4088.T,1352.817383,14300,1361.939575,130447.3511,0.67,2020-04-17,2020-05-07,12,67.71305425,62.87456893,261.5839302,22517819.14,-0.008025589
9069.T,766.5289917,100,770.1109009,358.190918,0.47,2020-04-23,2020-05-07,8,78.77843884,77.05548204,150.4724538,22518177.33,-0.008009809
8308.T,287.9202881,100,290.9583435,303.805542,1.06,2020-04-28,2020-05-13,9,48.32868409,37.40091021,355.7808358,22518481.13,-0.007996426
3923.T,860.9510498,13100,949.6883545,1162458.691,10.31,2020-05-07,2020-05-19,8,64.14197477,60.6912724,403.1306403,23680939.82,0.043213208
7956.T,3700.551758,900,3714.107422,12200.09766,0.37,2020-05-11,2020-05-21,8,31.53438366,21.1685966,522.2222289,23693139.92,0.043750657
4527.T,1603.815796,100,1642.637451,3882.165527,2.42,2020-05-15,2020-05-27,8,57.62713553,42.32714328,366.7720025,23697022.09,0.043921678
4519.T,4121.746094,3000,4640.643555,1556692.383,12.59,2020-05-19,2020-05-27,6,31.11017376,23.51846979,681.8874858,25253714.47,0.112498435
4523.T,7006.586426,1100,8088.596191,1190210.742,15.44,2020-05-08,2020-06-03,18,41.56619834,33.27165391,476.9595793,26443925.21,0.164930626
3167.T,879.5498047,100,895.5740967,1602.429199,1.82,2020-05-20,2020-06-03,10,75.1386361,71.32541117,279.2064843,26445527.64,0.165001218
4503.T,1645.873779,8600,1682.992065,319217.2607,2.26,2020-05-27,2020-06-04,6,41.67979636,31.1811196,604.6331719,26764744.9,0.179063652
4348.T,2651.250488,1200,2747.344971,115313.3789,3.62,2020-05-25,2020-06-08,10,30.2623238,23.63937082,667.8234167,26880058.28,0.184143537
6727.T,453.0955505,200,492.741394,7929.168701,8.75,2020-05-28,2020-06-08,7,86.14543591,83.26884196,176.4596747,26887987.45,0.184492839
6754.T,2097.350098,4200,2173.734619,320814.9902,3.64,2020-06-03,2020-06-12,7,48.81989627,31.43672131,397.7453608,27208802.44,0.198625658
7735.T,2337.55957,1400,2084.614502,-354123.0957,-10.82,2020-06-08,2020-06-15,5,40.47060374,31.28776089,585.3923668,26854679.34,0.183025522
8056.T,3167.230713,4600,3157.928955,-42788.08594,-0.29,2020-06-04,2020-06-25,14,79.6322727,66.94953294,380.8512935,26811891.26,0.181140584
3941.T,804.8257446,100,791.1846924,-1364.105225,-1.69,2020-06-05,2020-06-26,14,58.41736834,46.81425052,436.9796728,26810527.15,0.181080491
4716.T,10459.39355,400,11494.8916,414199.2188,9.9,2020-06-16,2020-07-14,18,30.72215353,25.56398334,562.5920232,27224726.37,0.199327153
4568.T,2846.074707,1500,2715.992188,-195123.7793,-4.57,2020-06-23,2020-07-14,13,26.39753205,24.42937023,664.7409818,27029602.59,0.190731392
9503.T,909.5128784,3000,944.3267822,104441.7114,3.83,2020-06-30,2020-07-20,13,15.45121071,10.57551807,392.5716713,27134044.3,0.195332348
6988.T,5468.35498,900,5477.46875,8202.392578,0.17,2020-07-03,2020-07-29,18,38.33327255,35.49905915,623.402346,27142246.7,0.195693687
5344.T,8023.304199,300,8947.556641,277275.7324,11.52,2020-06-26,2020-07-31,24,36.66668706,32.66670643,666.6618939,27419522.43,0.207908477
1417.T,1444.272705,3900,1310.677368,-521021.814,-9.25,2020-07-20,2020-07-31,9,53.91308458,47.0935397,407.2041202,26898500.61,0.184955974
7309.T,20759.25781,200,22021.18945,252386.3281,6.08,2020-07-21,2020-08-11,15,59.01278501,55.20908049,372.8713281,27150886.94,0.196074315
9143.T,2140.703613,2300,2215.651855,172380.957,3.5,2020-08-03,2020-08-12,7,80.20832431,72.45897972,191.0364688,27323267.9,0.203668189
2433.T,1156.261841,7400,1255.396484,733596.3623,8.57,2020-07-15,2020-08-14,22,27.14930121,17.13884106,603.7351209,28056864.26,0.23598521
