STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,22700000,,
8593.T,152.9257965,28800,175.129715,639472.8516,14.52,2003-11-25,2003-12-02,5,22.64703829,20.56335297,547.7175181,23339472.85,2.81706102,
3626.T,853.8900757,5400,872.0027466,97808.42285,2.12,2003-11-13,2003-12-09,18,14.31384163,12.21865033,632.1869333,23437281.27,3.24793513,
1801.T,1172.984497,3700,1185.838745,47560.71777,1.1,2003-11-26,2003-12-09,9,42.23759826,33.57879079,624.8781811,23484841.99,3.45745371,
4716.T,2645.627686,1800,2607.968262,-67786.96289,-1.42,2003-11-20,2003-12-12,16,6.507572827,4.501687634,643.9319785,23417055.03,3.158832728,
6504.T,778.2014771,5800,784.9390869,39078.13721,0.87,2003-11-21,2003-12-15,16,8.297774541,6.940964887,639.5548632,23456133.17,3.330983112,
8279.T,608.4046021,14900,611.4989014,46105.05981,0.51,2003-12-09,2003-12-18,7,37.8643733,32.07024089,181.9452461,23502238.23,3.534089103,
7276.T,241.6647491,19500,244.3670197,52694.2749,1.12,2003-12-12,2003-12-22,6,20.04022858,19.328959,131.4453278,23554932.5,3.766222472,
1332.T,156.7119293,100,157.399292,68.73626709,0.44,2003-12-11,2003-12-24,9,60.76913586,57.95953039,108.2491462,23555001.24,3.766525275,
5020.T,324.5404663,15700,326.9489746,37813.58032,0.74,2003-12-02,2003-12-26,16,46.16117868,32.68201714,386.6866215,23592814.82,3.933104924,
2802.T,897.4147339,5000,910.9434814,67643.73779,1.51,2003-12-15,2003-12-26,7,67.50988504,59.5472982,166.9613428,23660458.56,4.231094959,
9433.T,607.4968872,16000,620.8145752,213083.0078,2.19,2003-12-26,2004-01-08,8,46.99989351,36.16748409,483.6326062,23873541.56,5.169786623,
4612.T,54.53015137,200,55.31363297,156.6963196,1.44,2003-12-29,2004-01-09,8,42.72694935,34.79180799,191.935403,23873698.26,5.170476915,
4502.T,2040.543579,4400,2074.471924,149284.7168,1.66,2003-12-18,2004-01-14,16,48.7997383,46.76125461,526.0211667,24022982.98,5.828118839,
4452.T,1450.807739,3400,1454.150757,11366.25977,0.23,2003-12-22,2004-01-14,14,21.39873966,16.59865494,113.2686249,24034349.24,5.878190468,
2702.T,1694.39856,2000,1702.913208,17029.29688,0.5,2004-01-19,2004-01-23,2,18.366241,17.54121503,620.6051332,24051378.53,5.953209397,
4519.T,374.5377197,26500,400.6296997,691437.4695,6.97,2004-01-08,2004-01-29,13,64.49094239,59.52096154,404.2105756,24742816,8.999189439,
9107.T,1035.93396,10300,957.4537964,-808345.6848,-7.58,2004-01-16,2004-02-04,11,72.72643883,69.45974925,404.8606103,23934470.32,5.438195233,
8111.T,154.0371552,31700,158.4070282,138524.9756,2.84,2004-02-06,2004-02-09,1,51.99613311,51.4811901,519.588532,24072995.29,6.048437416,
6902.T,113.7404175,200,113.7404175,0,0,2004-01-20,2004-02-10,13,33.1515027,21.56145352,218.4496004,24072995.29,6.048437416,
4183.T,1982.60437,1700,1833.033691,-254270.1538,-7.54,2004-01-23,2004-02-13,15,39.4203256,25.4056327,647.7202048,23818725.14,4.92830458,
9744.T,733.7592163,14500,739.3607178,81221.77124,0.76,2004-01-30,2004-02-13,10,36.5518471,34.17939994,625.8171963,23899946.91,5.286109739,
8830.T,956.3895264,5700,828.8151855,-727173.7427,-13.34,2004-02-13,2004-02-24,7,47.36666577,36.71899855,640.9913708,23172773.17,2.082701181,
7516.T,1134.745605,4400,1179.074463,195046.9727,3.91,2004-02-05,2004-02-25,14,25.16851382,18.52993786,529.9958081,23367820.14,2.941938946,
6501.T,2461.919434,1100,2550.106689,97005.98145,3.58,2004-02-12,2004-02-26,10,25.54215713,21.6372352,658.3506572,23464826.12,3.369278072,
6976.T,1251.206787,4300,1449.151978,851164.3188,15.82,2004-02-16,2004-03-01,10,28.01360854,17.86083894,660.031436,24315990.44,7.118900622,
6849.T,314.4972839,17000,321.1028748,112295.0439,2.1,2004-02-17,2004-03-04,12,26.99209592,17.28076878,645.8314755,24428285.49,7.613592445,
4686.T,536.5256958,11800,551.0263062,171107.2021,2.7,2004-03-01,2004-03-10,7,33.91985896,16.13416853,607.4195512,24599392.69,8.367368666,
4506.T,617.5007324,13800,657.9682007,558451.062,6.55,2004-02-26,2004-03-11,10,52.19983818,48.43724991,292.6812363,25157843.75,10.8275055,
3088.T,231.5237427,100,256.0670166,2454.327393,10.6,2004-03-02,2004-03-18,12,52.79576601,33.80325381,287.9511237,25160298.08,10.83831752,
3382.T,1340.905884,4000,1464.64978,494975.5859,9.23,2004-03-04,2004-03-18,10,66.77417265,58.14699162,476.5871787,25655273.66,13.01882671,
9531.T,1356.837158,3000,1333.443481,-70181.03027,-1.72,2004-02-27,2004-03-19,15,30.96982959,18.93826328,646.8266098,25585092.63,12.70965917,
6301.T,416.8651123,6000,418.7409058,11254.76074,0.45,2004-03-24,2004-04-05,7,46.9700203,39.28542394,560.0269149,25596347.39,12.75923962,
1973.T,223.9591675,70000,228.8528595,342558.4412,2.19,2004-03-15,2004-04-06,15,34.11777417,26.44886812,505.5987905,25938905.83,14.26830764,
9503.T,1308.098755,1900,1280.840942,-51789.84375,-2.08,2004-03-23,2004-04-13,12,55.4630957,42.79217524,507.1497734,25887115.99,14.04015855,
7459.T,940.9205322,2700,981.9575806,110800.0305,4.36,2004-03-25,2004-04-15,12,11.78204291,5.536307771,485.7950752,25997916.02,14.52826441,
