STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
TRMB,32.70000076293945,6200,31.5,-7440.004730224609,-3.67,2013-11-04 15:24:22.705917,2013-11-19 15:24:22.705917,11,42.82646093963456,21.301137074398063,668.0908906714358
ATVI,15.83332633972168,12600,16.09305763244629,3272.614288330078,1.64,2013-11-08 15:24:22.705917,2013-11-21 15:24:22.705917,9,32.34927365054016,26.636659914867465,403.09928100948287
ZTS,29.53031349182129,6700,29.120697021484375,-2744.430351257324,-1.39,2013-11-13 15:24:22.705917,2013-11-27 15:24:22.705917,10,30.343958674186307,26.368456918907448,491.52478009497577
ODFL,30.5555362701416,6600,33.407127380371094,18820.50132751465,9.33,2013-11-06 15:24:22.705917,2013-12-02 15:24:22.705917,18,59.999958312938546,57.29236518431649,417.2132121545592
GL,46.175933837890625,4200,46.06573486328125,-462.835693359375,-0.24,2013-11-14 15:24:22.705917,2013-12-03 15:24:22.705917,13,57.56387202875756,45.06197851472641,566.3915565093423
EOG,65.28147888183594,3000,65.55606842041016,823.7686157226562,0.42,2013-11-27 15:24:22.705917,2013-12-04 15:24:22.705917,5,17.680459867115193,16.969513795786558,605.3758096162107
BIO,123.73999786376953,1700,122.73999786376953,-1700.0,-0.81,2013-11-21 15:24:22.705917,2013-12-06 15:24:22.705917,11,53.97765352037177,48.082215098804596,573.3652951585293
NUE,40.07941436767578,5200,39.91053771972656,-878.1585693359375,-0.42,2013-12-06 15:24:22.705917,2013-12-20 15:24:22.705917,10,22.563442667144024,13.19364324366602,651.9213641985236
BR,31.546951293945312,6000,33.189361572265625,9854.461669921875,5.21,2013-11-22 15:24:22.705917,2013-12-26 15:24:22.705917,22,51.91755146560549,47.30087884943289,595.4501834143585
FCX,30.223684310913086,6800,32.571407318115234,15964.51644897461,7.77,2013-12-09 15:24:22.705917,2014-01-03 15:24:22.705917,16,16.878360786257467,12.283231722209248,695.732837995984
AWK,33.71696853637695,6100,34.262386322021484,3327.0484924316406,1.62,2013-12-13 15:24:22.705917,2014-01-03 15:24:22.705917,12,8.941918335745802,7.920656640473856,614.7239164568997
ROST,33.0224494934082,6000,33.518165588378906,2974.2965698242188,1.5,2013-12-16 15:24:22.705917,2014-01-08 15:24:22.705917,14,7.356008817811954,4.364890822500408,621.726638727441
MSCI,39.31283187866211,6800,39.068199157714844,-1663.5025024414062,-0.62,2013-12-26 15:24:22.705917,2014-01-13 15:24:22.705917,11,25.97347497817936,18.443531237890895,660.433410739143
FLT,116.62000274658203,3700,110.20999908447266,-23717.013549804688,-5.5,2014-01-03 15:24:22.705917,2014-01-15 15:24:22.705917,8,29.648469803010624,27.20121168441064,19.497779750655603
ASML,80.841552734375,3400,76.28607177734375,-15488.63525390625,-5.64,2014-01-15 15:24:22.705917,2014-01-17 15:24:22.705917,2,37.90670612691578,35.592701049826935,391.4252391658046
EXPD,38.64028549194336,6900,38.825592041015625,1278.6151885986328,0.48,2014-01-14 15:24:22.705917,2014-01-21 15:24:22.705917,5,45.41642070315505,41.28628680607171,416.43886250136916
SIRI,3.449995756149292,100,3.342741012573242,-10.72547435760498,-3.11,2014-01-07 15:24:22.705917,2014-01-22 15:24:22.705917,11,64.95316564999891,49.09957388452118,14.097071028468292
MU,22.877283096313477,8700,23.2808837890625,3511.326026916504,1.76,2014-01-09 15:24:22.705917,2014-01-22 15:24:22.705917,9,38.71890765753457,26.045722632019505,679.5128176516932
PFE,20.10256576538086,7000,20.607622146606445,3535.3946685791016,2.51,2013-12-20 15:24:22.705917,2014-01-23 15:24:22.705917,21,18.588193333619838,13.782675403268957,665.1958054669432
DD,50.97126770019531,3500,48.0924186706543,-10075.971603393555,-5.65,2014-01-22 15:24:22.705917,2014-01-27 15:24:22.705917,3,59.066887226672726,49.397540977523995,581.2491760700802
CME,52.12733840942383,6400,50.66808319091797,-9339.2333984375,-2.8,2014-01-21 15:24:22.705917,2014-02-04 15:24:22.705917,8,20.915835650586132,15.732190346345913,529.1919145138514
NWSA,14.4730224609375,11500,15.979142189025879,17320.376873016357,10.41,2014-01-28 15:24:22.705917,2014-02-11 15:24:22.705917,8,10.126049392970156,8.188995980154877,473.68647848033845
GNRC,47.099998474121094,3100,56.63999938964844,29574.002838134766,20.25,2014-02-04 15:24:22.705917,2014-02-13 15:24:22.705917,7,15.496352516007068,13.67653995908915,618.7597108962877
