stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date,,60000
2192.HK,10.11708927,2965,12.31211853,6508.261752,2022-02-23,2022-03-01,,66508.26175
1691.HK,8.636748314,3473,7.967233181,-2325.226057,2022-02-22,2022-03-02,,64183.0357
2772.HK,2.19081831,12694,1.985181808,-2610.349748,2022-03-02,2022-03-04,,61572.68595
0388.HK,367.3938293,99,332.217804,-3482.426514,2022-03-01,2022-03-07,,58090.25943
2338.HK,12.03645611,2093,11.16424942,-1825.528598,2022-03-04,2022-03-08,,56264.73084
2772.HK,2.024727345,16248,2.49000001,7559.750261,2022-03-07,2022-03-10,,63824.4811
2382.HK,140.3845367,288,122.2672043,-5217.791748,2022-03-10,2022-03-14,,58606.68935
0909.HK,7.596315861,4641,6.960807323,-2949.395122,2022-03-14,2022-03-15,,55657.29423
3690.HK,106,304,140,10336,2022-03-15,2022-03-16,,65993.29423
0754.HK,10.6570282,4001,12.2025671,6183.701148,2022-03-16,2022-03-17,,72176.99538
0973.HK,21.697155,1076,23.21546745,1633.704201,2022-03-08,2022-03-18,,73810.69958
2313.HK,99.76913452,489,103.8853455,2012.827148,2022-03-17,2022-03-28,,75823.52673
3998.HK,3.441778898,7270,3.374669313,-487.8866816,2022-03-18,2022-03-28,,75335.64004
1579.HK,22.72576714,1657,20.89782524,-3028.899719,2022-03-30,2022-04-07,,72306.74032
1717.HK,7.284909248,5170,7.088273048,-1016.609154,2022-03-29,2022-04-08,,71290.13117
0728.HK,2.745319605,12619,2.727550507,-224.2282512,2022-04-07,2022-04-13,,71065.90292
0371.HK,2.40237546,15254,2.43041873,427.7720423,2022-04-08,2022-04-19,,71493.67496
0257.HK,4.36320591,7888,4.093412876,-2128.127449,2022-04-13,2022-04-25,,69365.54751
0151.HK,6.320250034,5866,6.698142529,2216.717371,2022-04-19,2022-04-29,,71582.26488
0763.HK,15.11173916,2136,16.07999992,2068.204994,2022-04-25,2022-05-05,,73650.46988
0179.HK,8.656414986,4540,8.280049324,-1708.700104,2022-04-29,2022-05-10,,71941.76977
9858.HK,3.200000048,10734,3.230000019,322.0196929,2022-05-05,2022-05-16,,72263.78947
0012.HK,29.5197525,1273,30.88509941,1738.086615,2022-05-10,2022-05-20,,74001.87608
0013.HK,16.60000038,2089,14.85999966,-3634.861514,2022-05-16,2022-05-25,,70367.01457
0512.HK,4.400767326,8935,4.040527821,-3218.739984,2022-05-20,2022-05-26,,67148.27458
0345.HK,14.24701881,2179,13.94729137,-653.1060915,2022-05-25,2022-05-30,,66495.16849
0011.HK,135.94664,265,138.7150269,733.6225128,2022-05-26,2022-06-06,,67228.791
0013.HK,16.04000092,1899,18.18000031,4063.858841,2022-05-30,2022-06-09,,71292.64985
9923.HK,19.23999977,1911,22.29999924,5847.658979,2022-06-06,2022-06-09,,77140.30883
0512.HK,4.139999866,9316,4.46999979,3074.279289,2022-06-09,2022-06-20,,80214.58811
3323.HK,8.550000191,4511,8.06000042,-2210.388968,2022-06-10,2022-06-20,,78004.19915
0270.HK,8.339506149,4676,8.182505608,-734.1345329,2022-06-20,2022-06-24,,77270.06461
0002.HK,63.88554382,598,64.13050842,146.4888306,2022-06-24,2022-06-29,,77416.55344
2772.HK,1.123090863,34198,1.04400003,-2704.74833,2022-06-29,2022-06-30,,74711.80511
0778.HK,6.241346836,6250,6.202700615,-241.5388823,2022-06-21,2022-07-04,,74470.26623
0002.HK,63.78755951,559,64.47344971,383.4126205,2022-06-30,2022-07-11,,74853.67885
2196.HK,31.79999924,1220,31.79999924,0,2022-07-04,2022-07-14,,74853.67885
2400.HK,18.89999962,1907,20,2097.700727,2022-07-11,2022-07-21,,76951.37958
0873.HK,2.809999943,13811,2.75999999,-690.5493414,2022-07-14,2022-07-25,,76260.83024
1658.HK,5.050000191,7552,5.090000153,302.0797119,2022-07-21,2022-08-01,,76562.90995
2638.HK,6.87371254,5546,6.991044521,650.7231703,2022-07-25,2022-08-04,,77213.63312
0873.HK,2.289999962,16932,2.109999895,-3047.76113,2022-08-04,2022-08-10,,74165.87199
1888.HK,6.988796234,5500,7.116400719,701.8246651,2022-08-01,2022-08-11,,74867.69666
2007.HK,2.329999924,15333,2.569999933,3679.920146,2022-08-10,2022-08-22,,78547.6168
1800.HK,3.650000095,10723,3.720000029,750.6092842,2022-08-11,2022-08-22,,79298.22609
9858.HK,2.519999981,15733,2.329999924,-2989.2709,2022-08-22,2022-09-01,,76308.95519
0667.HK,3.00999999,13173,3.24000001,3029.790251,2022-08-23,2022-09-02,,79338.74544
0006.HK,45.45000076,806,43.95000076,-1209,2022-09-01,2022-09-13,,78129.74544
0008.HK,3.910000086,10922,3.930000067,218.4397917,2022-09-02,2022-09-13,,78348.18523
2015.HK,106.0999985,370,94.09999847,-4440,2022-09-14,2022-09-19,,73908.18523
0316.HK,145.6999969,268,139.8999939,-1554.400818,2022-09-13,2022-09-23,,72353.78441
0006.HK,43.79999924,795,40.45000076,-2663.248787,2022-09-19,2022-09-27,,69690.53562
9626.HK,126,297,120.4000015,-1663.199547,2022-09-23,2022-10-03,,68027.33608
0493.HK,0.155000001,208184,0.149000004,-1249.103429,2022-09-27,2022-10-07,,66778.23265
0586.HK,12.52000046,2856,12.93999958,1199.517494,2022-10-03,2022-10-13,,67977.75014
1060.HK,0.340000004,91238,0.300000012,-3649.519239,2022-10-07,2022-10-13,,64328.2309
6185.HK,43.25,743,48.79999924,4123.649433,2022-10-13,2022-10-24,,68451.88034
1833.HK,14.02000046,2296,14.02000046,0,2022-10-14,2022-10-24,,68451.88034
0002.HK,51.9247818,659,52.71601486,521.4225883,2022-10-24,2022-11-03,,68973.30293
0754.HK,5.64545393,6063,6,2149.612823,2022-10-25,2022-11-04,,71122.91575
0123.HK,6.489999771,5353,7.429999828,5031.820306,2022-11-03,2022-11-09,,76154.73605
9698.HK,9.510000229,3825,12.47999954,11360.24737,2022-11-04,2022-11-11,,87514.98343
0992.HK,6.291840553,6322,6.33134985,249.7777719,2022-11-09,2022-11-21,,87764.7612
1717.HK,3.730000019,12798,3.700000048,-383.9396338,2022-11-11,2022-11-21,,87380.82157
9901.HK,22.14999962,1972,20.5,-3253.799248,2022-11-21,2022-11-23,,84127.02232
2328.HK,7.559999943,5780,7.409999847,-867.0005512,2022-11-22,2022-12-02,,83260.02177
1171.HK,23.95000076,1688,23.85000038,-168.8006439,2022-11-23,2022-12-05,,83091.22112
0268.HK,13.27999973,3225,15.26000023,6385.501599,2022-12-02,2022-12-05,,89476.72272
1929.HK,14.9143362,2999,15.14000034,676.7667522,2022-12-05,2022-12-15,,90153.48948
2359.HK,76.69999695,583,77.09999847,233.2008896,2022-12-06,2022-12-16,,90386.69036
0558.HK,7.260805607,6257,6.78000021,-3008.399369,2022-12-15,2022-12-21,,87378.291
1088.HK,22.70000076,1980,22.45000076,-495,2022-12-16,2022-12-21,,86883.291
2380.HK,2.74000001,15863,3.279999971,8566.019395,2022-12-22,2022-12-28,,95449.31039
1038.HK,40.20000076,1080,41.09999847,971.9975281,2022-12-21,2023-01-03,,96421.30792
0754.HK,7.889999866,5625,9.539999962,9281.250536,2023-01-03,2023-01-06,,105702.5585
3800.HK,2.109999895,24660,2.069999933,-986.3990593,2022-12-28,2023-01-09,,104716.1594
0493.HK,0.114,470789,0.137999997,11298.93434,2023-01-06,2023-01-09,,116015.0937
1171.HK,23.5,2468,25.79999924,5676.398117,2023-01-09,2023-01-19,,121691.4919
1919.HK,7.980000019,7270,7.949999809,-218.1015253,2023-01-10,2023-01-19,,121473.3903
6158.HK,0.400000006,151841,0.400000006,0,2023-01-19,2023-01-30,,121473.3903
0004.HK,21,2892,20.95000076,-144.5977936,2023-01-20,2023-01-30,,121328.7925
0322.HK,13.18000031,4602,13.02000046,-736.3192978,2023-01-30,2023-02-06,,120592.4732
2252.HK,30.85000038,1966,31.14999962,589.7985001,2023-01-31,2023-02-10,,121182.2717
1816.HK,1.870000005,32054,1.830000043,-1282.158777,2023-02-06,2023-02-13,,119900.113
1199.HK,5.670000076,10346,5.570000172,-1034.599013,2023-02-13,2023-02-17,,118865.5139
0973.HK,18.94000053,3233,19.62000084,2198.440987,2023-02-10,2023-02-20,,121063.9549
