stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
1882.HK,15.988789558410645,2084,14.682101249694824,-2723.1384353637695,2020-02-18 11:52:07.413136,2020-02-25 11:52:07.413136
0696.HK,17.19978141784668,1939,15.974002838134766,-2376.7846660614014,2020-02-20 11:52:07.413136,2020-02-27 11:52:07.413136
0425.HK,22.534530639648438,1479,26.136363983154297,5327.111515045166,2020-02-19 11:52:07.413136,2020-03-04 11:52:07.413136
0006.HK,47.51812744140625,643,47.644500732421875,81.25802612304688,2020-02-25 11:52:07.413136,2020-03-10 11:52:07.413136
3918.HK,10.312493324279785,3007,9.673832893371582,-1920.4519157409668,2020-02-27 11:52:07.413136,2020-03-12 11:52:07.413136
3633.HK,6.521767616271973,5928,5.963034629821777,-3312.169143676758,2020-03-04 11:52:07.413136,2020-03-16 11:52:07.413136
3606.HK,17.820594787597656,1632,15.773512840270996,-3340.8377380371094,2020-03-12 11:52:07.413136,2020-03-16 11:52:07.413136
0558.HK,0.3622699975967407,84571,0.33171725273132324,-2583.8761860132217,2020-03-10 11:52:07.413136,2020-03-17 11:52:07.413136
0179.HK,12.895973205566406,2368,11.161697387695312,-4106.76513671875,2020-03-16 11:52:07.413136,2020-03-18 11:52:07.413136
0973.HK,12.28866958618164,2271,11.126485824584961,-2639.3193225860596,2020-03-19 11:52:07.413136,2020-03-20 11:52:07.413136
6160.HK,89.55000305175781,282,78.0,-3257.100860595703,2020-03-20 11:52:07.413136,2020-03-23 11:52:07.413136
1821.HK,12.885000228881836,1708,15.927292823791504,5196.235752105713,2020-03-23 11:52:07.413136,2020-03-26 11:52:07.413136
1044.HK,48.789329528808594,600,50.29783248901367,905.1017761230469,2020-03-17 11:52:07.413136,2020-03-31 11:52:07.413136
2500.HK,41.400001525878906,673,45.849998474121094,2994.847946166992,2020-03-18 11:52:07.413136,2020-04-01 11:52:07.413136
0316.HK,21.02800750732422,1293,26.003332138061523,6433.094747543335,2020-03-26 11:52:07.413136,2020-04-08 11:52:07.413136
3692.HK,25.715518951416016,1174,28.59996223449707,3386.336414337158,2020-03-31 11:52:07.413136,2020-04-14 11:52:07.413136
3633.HK,5.666792869567871,5446,5.616233825683594,-275.3445529937744,2020-04-01 11:52:07.413136,2020-04-15 11:52:07.413136
0973.HK,11.507529258728027,2922,10.745441436767578,-2226.8206157684326,2020-04-08 11:52:07.413136,2020-04-22 11:52:07.413136
1308.HK,5.0929179191589355,6592,5.164851665496826,474.187255859375,2020-04-14 11:52:07.413136,2020-04-28 11:52:07.413136
1579.HK,58.760536193847656,520,60.769859313964844,1044.8480224609375,2020-04-15 11:52:07.413136,2020-04-29 11:52:07.413136
2400.HK,20.5,1533,19.0,-2299.5,2020-04-23 11:52:07.413136,2020-05-04 11:52:07.413136
2688.HK,83.55001831054688,407,83.55001068115234,-0.00310516357421875,2020-04-28 11:52:07.413136,2020-05-12 11:52:07.413136
0316.HK,22.297237396240234,1419,24.69847869873047,3407.3614082336426,2020-04-29 11:52:07.413136,2020-05-13 11:52:07.413136
0973.HK,10.707337379455566,2721,12.479191780090332,4821.215824127197,2020-05-04 11:52:07.413136,2020-05-18 11:52:07.413136
