stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,wave_1_max,slope,wave_depth,wave_length
1359.HK,1.18,169500,1.18,0.0,0.0,2020-09-04 09:34:06.528341,2020-09-07 09:34:06.528341,1,1.117,0.0010943396226415103,0.15300000000000002,53
0392.HK,21.972,9102,22.86,8082.575999999983,4.04,2020-09-01 09:34:06.528341,2021-02-09 09:34:06.528341,110,26.538,0.040009090909090904,5.9140000000000015,110
0522.HK,71.418,2800,110.016,108074.4,54.05,2020-09-08 09:34:06.528341,2021-02-16 09:34:06.528341,108,92.433,0.30311111111111116,34.732000000000006,108
0220.HK,6.161,32462,7.766,52101.51000000002,26.05,2020-09-02 09:34:06.528341,2021-02-23 09:34:06.528341,117,7.342,0.014803418803418797,2.433,117
0001.HK,46.758,4450,54.019,32311.449999999983,15.53,2021-02-09 09:34:06.528341,2021-02-25 09:34:06.528341,10,51.438,0.037800000000000014,14.108000000000004,245
1995.HK,19.755,13507,16.287,-46842.276,-17.56,2021-02-25 09:34:06.528341,2021-03-08 09:34:06.528341,7,23.957,0.1093157894736843,3.1880000000000024,19
1995.HK,17.214,14141,18.084,12302.670000000015,5.05,2021-03-10 09:34:06.528341,2021-04-09 09:34:06.528341,19,23.957,0.1093157894736843,3.1880000000000024,19
1099.HK,16.021,16656,19.669,60761.087999999996,22.77,2021-03-03 09:34:06.528341,2021-04-15 09:34:06.528341,28,18.287,0.01830677290836653,5.6129999999999995,251
3990.HK,14.28,14005,13.139,-15979.705,-7.99,2020-09-03 09:34:06.528341,2021-04-21 09:34:06.528341,154,16.241,0.028110389610389603,5.504,154
0884.HK,6.121,30062,4.314,-54322.034000000014,-29.52,2021-04-21 09:34:06.528341,2021-07-27 09:34:06.528341,66,6.845,0.012567796610169489,1.7009999999999996,118
0270.HK,10.188,25102,9.198,-24850.980000000007,-9.72,2021-04-09 09:34:06.528341,2021-08-17 09:34:06.528341,89,11.995,0.020674157303370785,2.036999999999999,89
9888.HK,139.4,1656,157.1,29311.199999999983,12.7,2021-08-18 09:34:06.528341,2021-11-01 09:34:06.528341,50,200.0,0.4319999999999999,29.400000000000006,50
9992.HK,57.706,2247,45.789,-26777.499000000003,-20.65,2021-07-27 09:34:06.528341,2021-12-14 09:34:06.528341,97,77.287,0.2389278350515465,31.266000000000005,97
2611.HK,9.202,21739,9.832,13695.570000000018,6.85,2020-09-09 09:34:06.528341,2022-01-06 09:34:06.528341,329,12.205,0.011446808510638298,4.077999999999999,329
3900.HK,8.398,39011,11.957,138840.14900000003,42.38,2021-04-15 09:34:06.528341,2022-01-26 09:34:06.528341,197,13.635,0.03934517766497462,8.251999999999999,197
9961.HK,226.6,1148,230.8,4821.6000000000195,1.85,2021-11-02 09:34:06.528341,2022-02-15 09:34:06.528341,71,261.2,0.988732394366197,75.5,71
2158.HK,12.94,20475,12.8,-2866.4999999999754,-1.08,2022-02-15 09:34:06.528341,2022-02-16 09:34:06.528341,1,22.45,-0.019387755102040837,-0.3500000000000014,98
3759.HK,39.87,6573,40.989,7355.186999999998,2.81,2022-02-16 09:34:06.528341,2022-02-17 09:34:06.528341,1,53.82,-0.16743055555555555,-6.586999999999996,72
2158.HK,13.22,20381,12.72,-10190.5,-3.78,2022-02-17 09:34:06.528341,2022-02-18 09:34:06.528341,1,22.45,-0.019387755102040837,-0.3500000000000014,98
2158.HK,12.72,20381,12.18,-11005.740000000018,-4.25,2022-02-18 09:34:06.528341,2022-02-21 09:34:06.528341,1,22.45,-0.019387755102040837,-0.3500000000000014,98
1238.HK,4.095,60623,3.754,-20672.442999999985,-8.33,2022-02-22 09:34:06.528341,2022-02-24 09:34:06.528341,2,4.484,-0.000978494623655916,0.3380000000000001,93
9869.HK,18.6,11492,8.75,-113196.20000000001,-52.96,2022-01-06 09:34:06.528341,2022-03-15 09:34:06.528341,45,22.55,0.14100000000000001,8.67,50
0027.HK,39.692,2594,46.15,16752.051999999996,16.27,2021-12-15 09:34:06.528341,2022-03-29 09:34:06.528341,70,49.925,0.13269999999999993,11.872,70
0425.HK,32.419,7508,17.688,-110600.34799999998,-45.44,2021-03-11 09:34:06.528341,2022-04-29 09:34:06.528341,280,41.992,0.09646071428571427,28.209999999999997,280
0345.HK,13.088,7683,14.247,8904.597000000005,8.86,2022-03-15 09:34:06.528341,2022-05-25 09:34:06.528341,46,20.931,0.011043478260869623,2.6240000000000023,46
