stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,wave_1_max,slope,wave_depth,wave_length
7751.T,1581.84,126,1520.74,-7698.5999999999885,-3.86,2020-09-03 15:21:20.735993,2020-09-25 15:21:20.735993,16,1701.8,8.154999999999989,206.93000000000006,14
4507.T,5471.64,36,5173.77,-10723.319999999996,-5.44,2020-09-09 15:21:20.735993,2020-10-02 15:21:20.735993,15,5965.79,10.344999999999995,284.9399999999996,14
3863.T,1252.21,159,1241.8,-1655.190000000013,-0.83,2020-09-02 15:21:20.735993,2020-10-08 15:21:20.735993,24,1292.48,1.5216666666666658,74.92000000000007,24
4452.T,7363.24,27,7172.36,-5153.760000000003,-2.59,2020-09-08 15:21:20.735993,2020-10-08 15:21:20.735993,20,7587.32,17.981500000000004,615.9899999999998,20
7912.T,1977.48,104,1941.64,-3727.3599999999915,-1.81,2020-09-10 15:21:20.735993,2020-10-13 15:21:20.735993,21,2160.22,3.640476190476182,117.4699999999998,21
7751.T,1520.74,126,1477.48,-5450.759999999998,-2.84,2020-09-25 15:21:20.735993,2020-10-15 15:21:20.735993,12,1701.8,8.154999999999989,206.93000000000006,14
7751.T,1513.6,128,1700.02,23861.76000000001,12.32,2020-10-21 15:21:20.735993,2020-11-11 15:21:20.735993,14,1701.8,8.154999999999989,206.93000000000006,14
7211.T,210.89,914,213.86,2714.580000000025,1.41,2020-10-15 15:21:20.735993,2020-12-21 15:21:20.735993,46,264.36,1.1662222222222227,61.390000000000015,45
6305.T,2618.63,75,2728.94,8273.249999999996,4.21,2020-12-24 15:21:20.735993,2021-02-02 15:21:20.735993,26,2799.39,12.12192307692308,456.05999999999995,26
7912.T,1960.55,99,1897.19,-6272.63999999999,-3.23,2020-10-14 15:21:20.735993,2021-02-08 15:21:20.735993,80,2475.35,7.5945569620253135,707.6299999999999,79
7011.T,2038.15,94,2848.04,76129.65999999999,39.74,2020-10-16 15:21:20.735993,2021-02-18 15:21:20.735993,84,2832.31,4.731547619047617,562.9299999999998,84
4503.T,1522.79,155,1624.69,15794.500000000015,6.69,2021-04-28 15:21:20.735993,2021-05-10 15:21:20.735993,8,1582.7,1.5720000000000103,54.25,15
6861.T,51412.95,4,53237.09,7296.559999999998,3.55,2021-04-22 15:21:20.735993,2021-06-02 15:21:20.735993,28,53177.6,191.41959999999992,6526.8499999999985,25
4324.T,2793.2,69,3477.59,47222.910000000025,24.5,2020-10-13 15:21:20.735993,2021-06-11 15:21:20.735993,164,3085.77,8.14398773006135,1464.8,163
9735.T,8345.41,30,7891.57,-13615.200000000004,-5.44,2021-05-18 15:21:20.735993,2021-06-21 15:21:20.735993,22,8962.03,2.7772340425532054,351.65000000000146,47
2282.T,4191.56,54,4101.37,-4870.2600000000275,-2.15,2021-06-11 15:21:20.735993,2021-06-30 15:21:20.735993,12,4343.46,9.49384615384616,237.34000000000015,13
9202.T,2630.0,82,2773.0,11726.0,5.44,2020-11-11 15:21:20.735993,2021-07-07 15:21:20.735993,160,2906.5,3.6739130434782608,846.5,161
3659.T,2497.63,94,2332.51,-15521.27999999999,-6.61,2021-06-22 15:21:20.735993,2021-07-07 15:21:20.735993,10,2574.97,12.529090909090883,190.3699999999999,11
1963.T,1015.83,225,979.06,-8273.250000000022,-3.62,2021-06-15 15:21:20.735993,2021-07-19 15:21:20.735993,23,1076.78,2.459166666666666,88.03999999999996,24
6762.T,4155.08,53,3940.6,-11367.44,-5.16,2021-07-21 15:21:20.735993,2021-08-03 15:21:20.735993,9,4414.37,1.7970175438596543,179.26000000000022,57
9983.T,24463.81,9,23972.11,-4425.300000000007,-2.01,2021-07-29 15:21:20.735993,2021-08-03 15:21:20.735993,3,27909.01,-9.41531914893618,462.2099999999991,47
1963.T,974.23,224,884.25,-20155.520000000004,-9.24,2021-08-03 15:21:20.735993,2021-08-19 15:21:20.735993,12,1076.78,2.459166666666666,88.03999999999996,24
6762.T,3882.98,56,3697.32,-10396.959999999992,-4.78,2021-08-06 15:21:20.735993,2021-08-19 15:21:20.735993,9,4414.37,1.7970175438596543,179.26000000000022,57
9983.T,24142.57,9,23618.09,-4720.319999999996,-2.17,2021-08-04 15:21:20.735993,2021-08-20 15:21:20.735993,12,27909.01,-9.41531914893618,462.2099999999991,47
3659.T,2105.22,104,2099.26,-619.8399999999565,-0.28,2021-08-05 15:21:20.735993,2021-08-23 15:21:20.735993,12,2574.97,12.529090909090883,190.3699999999999,11
9022.T,15479.33,14,16945.58,20527.500000000025,9.47,2021-09-03 15:21:20.735993,2021-09-27 15:21:20.735993,15,16281.34,20.911428571428587,1121.8400000000001,28
1963.T,867.81,241,1030.34,39169.729999999996,18.73,2021-08-24 15:21:20.735993,2021-09-29 15:21:20.735993,25,1076.78,2.459166666666666,88.03999999999996,24
9983.T,24124.08,8,23216.34,-7261.920000000013,-3.76,2021-09-01 15:21:20.735993,2021-10-06 15:21:20.735993,23,27909.01,-9.41531914893618,462.2099999999991,47
4506.T,1931.76,128,1852.48,-10147.839999999997,-4.1,2021-09-30 15:21:20.735993,2021-10-18 15:21:20.735993,10,1903.07,12.242499999999987,201.63999999999987,12
4004.T,2408.53,77,2585.96,13662.109999999988,7.37,2021-10-06 15:21:20.735993,2021-11-05 15:21:20.735993,21,2688.83,15.280000000000005,410.53999999999996,21
5233.T,2327.02,90,2261.26,-5918.399999999979,-2.83,2021-08-25 15:21:20.735993,2021-11-10 15:21:20.735993,52,2516.64,5.108653846153848,294.75,52
7974.T,4140.89,60,4300.75,9591.59999999998,3.86,2021-10-05 15:21:20.735993,2021-11-12 15:21:20.735993,27,4756.11,11.265925925925902,486.6799999999994,27
9001.T,2852.93,77,2504.93,-26796.0,-12.2,2021-04-15 15:21:20.735993,2021-12-02 15:21:20.735993,159,3217.74,0.7667391304347823,343.1399999999999,230
4506.T,1517.95,131,1281.07,-31031.280000000013,-15.61,2021-11-05 15:21:20.735993,2021-12-06 15:21:20.735993,21,1927.89,2.1201234567901235,226.46000000000004,81
6753.T,1220.55,158,1281.43,9619.040000000017,4.99,2021-12-02 15:21:20.735993,2022-01-04 15:21:20.735993,22,1350.04,2.6228571428571392,96.63999999999987,21
9007.T,2162.21,94,2030.45,-12385.439999999999,-6.09,2022-01-05 15:21:20.735993,2022-01-13 15:21:20.735993,6,2213.34,2.9495454545454693,124.87000000000035,22
9531.T,1837.48,129,2106.7,34729.379999999976,14.65,2021-10-19 15:21:20.735993,2022-01-18 15:21:20.735993,64,2109.75,2.564193548387097,205.81999999999994,62
4755.T,1192.96,171,954.55,-40768.110000000015,-19.98,2021-11-10 15:21:20.735993,2022-01-28 15:21:20.735993,56,1266.1,3.0215714285714284,237.19999999999982,70
4151.T,2960.09,64,2833.51,-8101.119999999995,-4.28,2022-01-13 15:21:20.735993,2022-02-03 15:21:20.735993,12,3228.94,5.478000000000005,198.17999999999984,15
9201.T,2108.17,77,2272.54,12656.48999999999,7.8,2022-01-28 15:21:20.735993,2022-02-04 15:21:20.735993,2,2225.01,5.370909090909098,261.4100000000003,33
9007.T,1975.39,138,2155.33,24831.719999999976,9.11,2022-01-18 15:21:20.735993,2022-02-18 15:21:20.735993,20,2213.34,2.9495454545454693,124.87000000000035,22
6952.T,1332.37,131,1231.64,-13195.629999999972,-7.56,2022-02-04 15:21:20.735993,2022-02-21 15:21:20.735993,11,1459.72,1.3199999999999994,79.82999999999993,36
4506.T,1335.21,125,1099.3,-29488.75000000001,-17.67,2021-12-07 15:21:20.735993,2022-03-09 15:21:20.735993,62,1927.89,2.1201234567901235,226.46000000000004,81
3401.T,1398.65,131,1195.72,-26583.83000000001,-14.51,2022-02-03 15:21:20.735993,2022-03-09 15:21:20.735993,24,1431.05,3.507021276595743,192.46000000000004,47
2871.T,2581.19,100,2391.14,-19005.00000000002,-7.36,2021-11-12 15:21:20.735993,2022-03-10 15:21:20.735993,80,2774.15,3.6595000000000026,327.3699999999999,80
6841.T,1774.91,129,2012.28,30620.729999999985,13.37,2022-02-22 15:21:20.735993,2022-03-14 15:21:20.735993,14,1888.22,1.4649999999999994,119.17000000000007,14
6594.T,9792.43,23,8592.7,-27593.78999999999,-12.25,2022-02-25 15:21:20.735993,2022-03-14 15:21:20.735993,11,10392.8,38.164499999999954,1189.869999999999,20
4452.T,4656.19,42,4750.23,3949.6799999999985,2.02,2022-03-10 15:21:20.735993,2022-04-01 15:21:20.735993,16,5218.54,14.33066666666667,317.6400000000003,15
2531.T,1018.53,192,1057.64,7509.120000000024,3.84,2022-03-11 15:21:20.735993,2022-04-11 15:21:20.735993,20,1108.15,3.827500000000009,112.0200000000001,20
6594.T,8992.61,25,8782.82,-5244.750000000022,-2.33,2022-03-16 15:21:20.735993,2022-04-14 15:21:20.735993,20,10392.8,38.164499999999954,1189.869999999999,20
5332.T,4412.85,48,4251.4,-7749.600000000035,-3.66,2022-04-14 15:21:20.735993,2022-04-18 15:21:20.735993,0,4980.35,0.1181249999999998,141.8700000000008,176
4543.T,3799.1,55,3985.1,10230.0,4.9,2022-04-19 15:21:20.735993,2022-04-21 15:21:20.735993,2,3940.58,14.673000000000002,515.0299999999997,30
4506.T,1111.41,199,1097.73,-2722.3200000000124,-1.23,2022-04-21 15:21:20.735993,2022-04-22 15:21:20.735993,1,1372.92,-2.39525,-328.51,160
4506.T,1097.73,199,1074.27,-4668.540000000007,-2.14,2022-04-22 15:21:20.735993,2022-04-25 15:21:20.735993,1,1372.92,-2.39525,-328.51,160
9984.T,4577.41,32,5125.15,17527.679999999993,11.97,2022-03-09 15:21:20.735993,2022-05-06 15:21:20.735993,38,5675.36,12.302162162162146,682.2699999999995,37
2502.T,4284.65,50,4596.28,15581.500000000005,7.27,2022-04-08 15:21:20.735993,2022-05-13 15:21:20.735993,21,4386.92,16.631428571428582,606.8600000000001,21
7205.T,674.0,312,686.0,3744.0,1.78,2022-04-13 15:21:20.735993,2022-05-19 15:21:20.735993,22,754.0,4.3845454545454565,136.07000000000005,22
5332.T,4310.11,49,4133.99,-8629.879999999994,-4.09,2022-04-20 15:21:20.735993,2022-05-20 15:21:20.735993,20,4980.35,0.1181249999999998,141.8700000000008,176
4506.T,1057.65,199,1027.35,-6029.700000000036,-2.86,2022-05-24 15:21:20.735993,2022-05-25 15:21:20.735993,1,1372.92,-2.39525,-328.51,160
5202.T,395.0,543,432.0,20091.0,9.37,2022-04-28 15:21:20.735993,2022-06-07 15:21:20.735993,25,407.0,0.5581395348837209,45.0,43
4543.T,3753.59,43,4212.65,19739.57999999998,12.23,2022-05-11 15:21:20.735993,2022-07-11 15:21:20.735993,41,4016.76,12.008604651162798,591.21,43
2531.T,970.87,187,1017.14,8652.489999999996,4.77,2022-07-13 15:21:20.735993,2022-07-22 15:21:20.735993,7,997.86,1.9924444444444438,112.80000000000007,45
4061.T,3187.95,72,3207.3,1393.2000000000262,0.61,2022-05-13 15:21:20.735993,2022-08-12 15:21:20.735993,63,3434.67,5.353650793650797,413.05999999999995,63
5233.T,1846.24,113,2026.5,20369.379999999997,9.76,2022-05-20 15:21:20.735993,2022-08-15 15:21:20.735993,59,2072.05,3.751186440677969,289.9000000000001,59
9064.T,2154.73,109,2187.68,3591.54999999998,1.53,2022-06-08 15:21:20.735993,2022-10-19 15:21:20.735993,92,2470.1,3.7705555555555543,404.3299999999999,90
5631.T,2885.33,82,2889.11,309.9600000000164,0.13,2022-08-12 15:21:20.735993,2022-11-29 15:21:20.735993,75,3130.91,7.419583333333334,722.06,72
9301.T,3189.52,74,3036.93,-11291.66000000001,-4.78,2022-12-06 15:21:20.735993,2022-12-21 15:21:20.735993,11,3371.64,2.685454545454542,191.96000000000004,11
3861.T,519.08,459,517.11,-904.2300000000125,-0.38,2022-10-25 15:21:20.735993,2023-01-18 15:21:20.735993,58,548.62,0.46473684210526334,36.190000000000055,57
5332.T,4163.34,49,4617.7,22263.639999999985,10.91,2022-05-26 15:21:20.735993,2023-02-09 15:21:20.735993,175,4980.35,0.1181249999999998,141.8700000000008,176
7205.T,622.0,368,566.0,-20608.0,-9.0,2022-08-24 15:21:20.735993,2023-03-09 15:21:20.735993,133,757.0,0.7478195488721807,139.07000000000005,133
9008.T,4550.8,52,4720.08,8802.559999999987,3.72,2023-01-18 15:21:20.735993,2023-03-17 15:21:20.735993,39,5028.78,5.100487804878046,303.71999999999935,41
6841.T,2182.55,104,2129.0,-5569.200000000019,-2.45,2023-02-09 15:21:20.735993,2023-03-30 15:21:20.735993,35,2277.79,6.553636363636363,254.96000000000004,33
6702.T,16783.99,11,17520.0,8096.109999999982,4.39,2022-08-02 15:21:20.735993,2023-04-12 15:21:20.735993,170,19134.54,24.5301754385965,4816.75,171
4061.T,2846.67,73,2694.0,-11144.910000000005,-5.36,2023-03-09 15:21:20.735993,2023-04-27 15:21:20.735993,32,2915.91,11.287647058823522,433.23,34
8304.T,2387.25,85,2580.02,16385.449999999997,8.07,2023-04-27 15:21:20.735993,2023-06-16 15:21:20.735993,34,2455.28,4.719393939393947,222.6600000000003,33
8750.T,2514.5,81,2682.5,13608.0,6.68,2023-04-28 15:21:20.735993,2023-06-21 15:21:20.735993,36,2569.0,8.46257142857143,355.03999999999996,35
2413.T,3089.0,66,3227.0,9108.0,4.47,2023-05-02 15:21:20.735993,2023-07-14 15:21:20.735993,51,3474.0,5.982200000000002,335.9000000000001,50
8331.T,870.8,252,998.7,32230.800000000025,14.69,2023-06-16 15:21:20.735993,2023-07-31 15:21:20.735993,30,921.0,1.5573076923076927,108.90999999999997,52
4005.T,426.21,581,403.5,-13194.509999999987,-5.33,2023-03-17 15:21:20.735993,2023-08-03 15:21:20.735993,93,495.28,0.029343065693430523,16.539999999999964,137
4021.T,6053.81,37,6084.0,1117.0299999999852,0.5,2022-12-21 15:21:20.735993,2023-08-21 15:21:20.735993,161,6811.77,4.133048780487808,969.9100000000008,164
