stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,wave_1_max,slope,wave_depth,wave_length
AMGN,169.87,1177,173.95,4802.16,2.4,2018-09-05,2018-09-10,3,172.39,0.248947368,11,38
PG,72.64,2753,75.02,6552.14,3.28,2018-09-06,2018-09-20,10,74,0.050272109,8.57,147
JPM,98.27,2035,100.05,3622.3,1.81,2018-09-07,2018-09-25,11,100.81,0.210833333,3.7,12
GOOG,59.23,3441,59.73,1720.5,0.84,2018-09-25,2018-09-27,2,59.61,0.02,2.01,15
EBAY,31.3,6514,26.8,-29313,-14.38,2018-09-26,2018-10-19,15,32.89,0.061071429,2.27,28
INTC,39.63,5087,36.89,-13938.38,-6.91,2018-09-13,2018-10-24,26,42.49,0.033666667,2.36,30
ROST,93.15,2191,78,-33193.65,-16.26,2018-09-21,2018-11-21,40,94.26,0.189027778,15.09,72
KHC,44.09,4661,34.44,-44978.65,-21.89,2018-09-28,2018-12-24,59,51.44,0.081935484,9.06,93
BKNG,1804.53,100,1717.55,-8698,-4.82,2018-10-25,2019-01-04,48,2017.11,3.082765957,201.61,47
GILD,59.41,3393,56.76,-8991.45,-4.46,2018-09-10,2019-01-11,83,64.76,0.124166667,12.52,84
IDXX,187.43,916,208.85,19620.72,11.43,2019-01-04,2019-01-25,15,207.75,-0.001470588,17.75,33
MDLZ,37.19,4870,43.62,31314.1,17.29,2018-10-24,2019-02-15,76,39.67,0.031901408,6.38,142
COST,197.63,971,214.66,16536.13,8.62,2019-01-29,2019-03-08,25,202.56,0.583703704,24.47,27
JPM,88.03,2182,91.75,8117.04,4.23,2019-02-11,2019-04-02,36,91.84,0.250857143,12.97,35
ISRG,163.87,1047,192.27,29734.8,17.33,2018-11-21,2019-04-15,96,193.71,0.334897959,37.72,98
TSLA,18.94,11005,15.68,-35876.3,-17.21,2019-03-08,2019-04-26,32,21.33,0.05,2.71,35
WBD,28.64,7417,27.42,-9048.74,-4.26,2019-02-27,2019-05-22,55,29.69,0.076833333,5.9,60
KHC,27.1,6371,23.82,-20896.88,-12.1,2019-04-26,2019-05-28,20,27.69,0.008490566,1.93,52
